,Index,Word,CUI
112,168,intracoronary,C0595454
113,171,myocardial infarction,C0027051
114,174,symptomatic,C0231220
115,175,anaemia chronic renal failure,C0271932
116,177,associated,C0332281
117,178,chronic renal failure crf,C0022661
118,181,reduction,C0301630
119,182,transfusion,C0005841
120,183,requirements,C3245502
121,185,receiving,C1514756
122,186,chemotherapy,C0392920
123,187,solid tumours malignant,C1698088
124,188,malignant lymphoma,C0024299
125,190,multiple myeloma,C0026764
126,192,risk assessed,C0086930
127,195,patients status,C0449437
128,196,general status,C0947124
129,197,cardiovascular,C3887460
130,198,preexisting,C2347662
131,199,start,C1552850
132,201,increase,C0442805
133,202,autologous,C0439859
134,203,blood,C0005767
135,204,program,C1709697
136,205,administered subcutaneously,C1736929
137,206,epoetin zeta,C1997870
138,207,equivalent,CL448883
139,208,terms,C0233324
140,209,clinical effectiveness,C3850123
141,211,treatment unresponsive treatment,C0205269
142,213,pagets disease,C0029401
143,215,alternate,C1523987
144,218,emergency situations,C0013956
145,219,serum calcium decreased,C0595882
146,221,calcium levels decreased,C0595881
147,222,until,CL448861
148,223,condition,C0348080
149,224,identified,C0205396
150,225,added,CL448698
151,226,therapeutic regimens,C1276413
152,227,hypercalcemia,C0020437
153,228,intravenous fluids,C1289919
154,229,furosemide,C0016860
155,230,oral,C0442027
156,231,phosphate,C0031603
157,232,corticosteroids,C0001617
158,233,agents,C1254351
159,234,calcitonin,C0073994
160,236,azotemia,C0242528
161,237,cases,C1706255
162,239,contraindicated,C1444657
163,241,limited,C0439801
164,242,cardiac,C1522601
165,243,reserves,C1514889
166,244,postmenopausal osteoporosis,C0029458
167,247,intralesional,C1512954
168,249,refractory,C0205269
169,250,external,C0205101
170,251,condylomata acuminata,C0009663
171,252,increases leukocyte,C0023518
172,253,production,C0033268
173,255,cancer bone marrow,C0282609
174,256,neutropenia,C0027947
175,257,bone marrow transplant,C0005961
176,260,treatment bone,C2729339
177,264,diagnosis,C0011900
178,265,pancreatic exocrine dysfunction,C3151951
179,266,gastrinoma,C0017150
180,270,protease,C1418544
181,271,genotype,C0017431
182,272,without,C0332288
183,273,26,C0227067
184,278,significant other,C0682323
185,282,treatment acute,C0520010
186,283,acute leukemia,C0085669
187,285,nonhodgkins lymphoma,C0024305
188,287,detection,C1511790
189,288,recurrent thyroid cancer,C0278861
190,292,hemophilia,C0684275
191,293,von willebrand factor deficiency,C0042974
192,294,disease factor xiii deficiency,C0015530
193,300,inflammatory disease,C1290884
194,301,treatment skin,C1718338
195,302,lesions wounds,C0564445
196,303,surface wounds,C0564444
197,304,wounds infections,C0043241
198,306,eye infections,C0015403
199,309,immunodeficiencies,C0021051
200,310,autoimmune disorders,C0004364
201,311,disorders idiopathic thrombocytopenic purpura,C0920163
202,312,indications,C0392360
203,313,includes,C0332257
204,314,kawasaki disease,C0026691
205,315,disease skin,C0037274
206,317,hypogammaglobulinemia,C0086438
207,318,b cell chronic lymphocytic leukemia,C0023434
208,326,cell bone marrow transplant,C1258861
209,328,bone marrow transplant complications,C0161802
210,330,syndrome,C0039082
211,331,chronic inflammatory demyelinating polyneuropathy,C0393819
212,333,multiple sclerosis,C0026769
213,337,gravis,C0205082
214,348,diet,C0012155
215,349,exercise,C0015259
216,350,control,C2587213
217,351,adults children,C0683572
218,353,type 1 type diabetes mellitus,C0011854
219,354,type type 2 diabetes mellitus,C0011860
220,360,lysis,C1536403
221,363,interferon,C0021747
222,365,chronic granulomatous disease,C0018203
223,368,osteopetrosis,C0029454
224,369,treatment treatment warts,C0555965
225,370,chronic hepatitis c,C0524910
226,372,hairy cell leukemia,C0023443
227,374,kaposis sarcoma,C0036220
228,376,chronic myelogenous leukemia,C0023473
229,380,oral warts,C1262299
230,381,arising,C4019053
231,382,hiv infection,C0019693
232,385,formulations,C0524527
233,387,primary nocturnal enuresis,C2228139
234,389,vasopressin,CL448364
235,390,sensitive,C0332324
236,391,diabetes insipidus,C0011848
237,393,temporary,C0205374
238,394,polyuria,C0032617
239,395,polydipsia,C0085602
240,396,following,C0332282
241,397,head trauma,C0018674
242,399,trauma surgery,C0586908
243,400,trauma surgery,C0587695
244,401,pituitary region,CL466491
245,402,intranasal,C0442118
246,403,parenteral,C1518896
247,406,spontaneous,C0205359
248,407,bleeds mucosal,C0854375
249,408,hemarthrosis,C0018924
250,409,intramuscular hematoma,C0240412
251,412,von willebrands disease type i,C1264039
252,417,uremia,C0041948
253,418,treatment complications,C0679861
254,420,hemorrhagic complications,C0940931
255,421,hemophilia b,C0008533
256,423,increases platelet,C0836924
257,425,reduced,C0392756
258,426,levels,C0456079
259,430,oral mucositis,C1568868
260,434,radiation therapy,C1522449
261,437,severe,C0205082
262,438,hypoglycemia,C0020615
263,439,used gastrointestinal,C1543491
264,440,gastrointestinal imaging,C0920702
265,443,metastatic renal cell carcinoma,C0278678
266,447,cervical dystonia,C0152116
267,448,cervical pain cervical,C0007859
268,450,severity,C0522510
269,451,abnormal position,C0333042
270,452,abnormal head neck,C4021817
271,454,neck pain,C0007859
272,458,asthma,C0004096
273,459,allergies,C1527304
274,460,treatment infertility,C0200070
275,462,hypothalamic insufficiency,C4014709
276,463,pituitary,C0032002
277,464,hypogonadotropic hypogonadism,C0022735
278,465,hypogonadotropic hypogonadism,C0271623
279,466,profound,C0439808
280,467,deficiency,CL426295
281,468,12,C0227047
282,469,international units,C0439453
283,471,prophylactic treatment,C0199176
284,472,lyme disease,C0024198
285,475,type 1 diabetes mellitus,C0011854
286,476,type 2 diabetes mellitus,C0011860
287,479,conjunction,C2699427
288,480,intermediate,C0205103
289,481,insulin continuous insulin infusion pump,C0149658
290,483,type 1 diabetes mellitus hyperglycemia type 1 diabetes mellitus,C2874070
291,484,17,C0227054
292,485,old,C0580836
293,486,basal insulin,C0650607
294,489,pediatric,C1521725
295,490,patients type,C1550335
296,492,promote,C0033414
297,493,debridement,C0011079
298,494,necrotic,CL448527
299,495,tissue,C0040300
300,498,burns,C0006434
301,499,dermal,C0221928
302,500,ulcers decubitus ulcers,C0011127
303,502,including,C0332257
304,504,hyperuricemia,C0740394
305,505,reduces,C0392756
306,506,elevated uric acid,C0041981
307,507,elevated uric acid,C0740394
308,508,plasma uric acid,C0857451
309,511,inhibition,C3463820
310,512,premature,C0151526
311,513,surges,C1948041
312,515,controlled ovarian stimulation,C3160898
313,517,rheumatoid,C0003873
314,519,arthritis psoriatic arthritis,C0003872
315,525,crohns disease,C0010346
316,529,acromegaly,C0001206
317,534,gauchers disease,C0017205
318,536,disease deficiency glucocerebrosidase,C0017205
319,539,abciximab,C0288672
320,541,percutaneous coronary intervention,C1532338
321,545,cardiac complications,C0161816
322,554,conventional therapy,C2945704
323,555,medical,C0205476
324,560,24 hours,C0439505
325,562,intended,C1283828
326,563,use heparin,C0239945
327,564,aspirin,C0004057
328,565,only,C0205171
329,566,setting,C0542559
330,568,mortality,C0026565
331,570,severe sepsis,C1719672
332,574,patients age patients,CL386174
333,575,patients positive patients,C1561964
334,577,cd33,C0054952
335,578,acute myeloid leukemia relapse,C2349276
336,579,first,C0205435
337,580,60,C3816724
338,581,age 2,C1332035
339,582,other chemotherapy,C0478584
340,583,cytotoxic chemotherapy,C0677881
341,586,initial,C0205435
342,589,chronic,C0205191
343,590,augmentation,C1293122
344,591,maintenance therapy,C0677908
345,592,therapy individuals,C0204525
346,593,a1pi,C0795657
347,595,clinical,C0205210
348,597,emphysema,C0034067
349,598,unfractionated heparin,C0019134
350,601,prophylaxis,C0199176
351,603,extension,C0231448
352,605,postoperative,C0032790
353,606,deep venous thrombosis,C0149871
354,610,venous thrombosis,C0392108
355,611,thrombosis pulmonary embolism,C0852030
356,613,arterial,C0221464
357,614,cardiac surgery,C0524727
358,615,cardiac surgery,C0018821
359,616,cardiology,C0007189
360,618,atrial fibrillation,C0004238
361,621,antithrombin,C0003438
362,625,wave,C0678544
363,626,myocardial infarctions,C0027051
364,628,elevated,C3163633
365,629,acute coronary syndrome,C0948089
366,632,platelet glycoprotein,C0086816
367,634,receptor,C0597357
368,635,inhibitors,C0243077
369,636,clotting,C0005779
370,637,during,C0347984
371,638,dialysis procedures,C0011946
372,639,surgical procedures,C0543467
373,640,procedures intravenous injection,C0021494
374,641,maintain,C0024501
375,642,patency,C0175566
376,643,devices coagulation blood blood,C1648942
377,644,blood transfusions,C0005841
378,646,blood samples,C0005834
379,647,blood drawn,C3166519
380,648,laboratory,C0022877
381,649,values,C1554112
382,650,topical application,C0683174
383,652,tinea pedis,C0040259
384,653,tinea tinea tinea tinea versicolor,C0040262
385,654,foot,C0016504
386,655,cruris tinea,C1384589
387,656,tinea corporis,C0040252
388,658,cutaneous candidiasis,C0006846
389,660,cutaneous moniliasis,C0006846
390,664,acute chronic,C0439588
391,665,chronic infections,CL481910
392,668,strains,C0080194
393,670,bacilli,C1040746
394,672,many,CL387725
395,673,different,C0009671
396,674,types bacterial,C0087124
397,676,bacterial infections,C0004623
398,678,infections infections infections urinary tract infections,C0042029
399,681,bronchitis,C0006277
400,682,sinusitis,C0037199
401,683,tonsillitis infections,C0001361
402,685,ear,C0699744
403,687,ear skin,C0222110
404,689,gonorrhea,CL449144
405,691,rhinitis,C0035455
406,692,urticaria,C0042109
407,693,allergy cold,C0939251
408,694,common cold,C0009443
409,696,asthma hay fever,C0264411
410,698,vasospastic angina,C0002963
411,699,angina chronic stable angina,C0340288
412,702,chronic stable angina,C0340288
413,705,raynauds phenomenon,C0034735
414,709,line,CL448916
415,710,agent,C0450442
416,711,left ventricular hypertrophy hypertension,C1997092
417,712,isolated systolic hypertension,C0745133
418,713,controlled blood pressure,C1753303
419,716,surgery,C0038894
420,717,treatment emergencies,C0013969
421,719,hypertensive emergencies,C0745136
422,721,pneumonia,C0032285
423,723,intolerant intolerant,C0231200
424,725,acute treatment,C0520010
425,727,mild moderate,C1299392
426,728,pcp,C1422070
427,730,initiation,C1704686
428,733,frequently,C0332183
429,734,ventricular ventricular tachycardia recurrent ventricular recurrent ventricular recurrent ventricular tachycardia,C1737264
430,735,unstable,CL466513
431,738,other therapy,C0418967
432,739,orally,C0226896
433,741,ventricular,C0085612
434,743,recurrent ventricular fibrillation recurrent,C1739149
435,744,ventricular fibrillation recurrent,C1739149
436,750,secondary,C0175668
437,751,insulinoma,C0021670
438,758,seizures,C0036572
439,760,epilepsy,C0014544
440,761,ambenonium,C0002412
441,763,muscle,C0026845
442,764,weakness due disease,C3853326
443,766,myasthenia gravis,C0026896
444,767,topical used,C1522168
445,768,antiseptic,C0003205
446,769,wound dressings,C0178388
447,770,wound dressings,C0460765
448,772,niddm diabetes mellitus,C0011860
449,774,diabetes mellitus diet,C0011878
450,777,prophylaxis embolization prophylaxis pulmonary,C1963942
451,778,treatment treatment treatment adjunct treatment,C3858690
452,779,venous thrombosis,C0042487
453,784,coronary occlusion,C0151814
454,788,benign prostatic hyperplasia bph,C0005001
455,789,prostatic bph enlarged,C0005001
456,790,men,C1427925
457,791,gland symptoms,C0424818
458,792,risk,C0035647
459,793,acute urinary retention,C0341742
460,794,need,C0027552
461,798,tinea pedis tinea,C0040259
462,800,pedis tinea,C0040259
463,808,together,C1883357
464,810,lhrh analogue,C1268900
465,811,advanced cancer,C0877373
466,812,prostatic cancer,C0376358
467,813,prostatic cancer,C0600139
468,815,disorders peptic ulcer,C0030920
469,816,peptic ulcer disease,C0030920
470,817,h pylori,C0079488
471,819,bleeds,C0019080
472,820,relief,C0564405
473,821,inflammatory,C0333348
474,822,manifestations,C0205319
475,823,dermatoses,C0037274
476,824,prevention malaria,C0857372
477,825,suppression,CL466504
478,826,malaria susceptible,C1970028
479,828,ip,C1308226
480,829,species plasmodium,C0032148
481,830,found,C0150312
482,831,geographical areas,C0017446
483,832,world,C2700280
484,833,pioglitazone,C0071097
485,835,diet control type 2 diabetes mellitus,C3875001
486,840,pagets disease bone osteitis deformans,C0029401
487,842,provide,C1999230
488,843,skeletal muscle,C0242692
489,845,muscle relaxation general anesthesia,C0565543
490,846,anesthesia endotracheal,C0002919
491,848,endotracheal intubation,C0021932
492,850,intubation facilitate,C0857231
493,851,mechanical ventilation,C0199470
494,855,nyha class iii heart failure,C1319795
495,856,nyha class ii heart failure,C1319794
496,858,origin,C0439659
497,860,bacterial conjunctivitis,C0009768
498,862,susceptible,C0231204
499,863,strains organisms,C1518614
500,865,species,C1705920
501,866,groups viridans streptococci,C0318157
502,868,gout arthritis,C0409898
503,869,gouty arthritis,C0003868
504,872,infections susceptible,C0239998
505,873,bacteria,C0004611
506,876,infections skin,C0037278
507,878,pneumoniae h influenzae,C0276026
508,879,s group,C0441853
509,880,coli,C0326141
510,881,p mirabilis,C0033701
511,882,treatment treatment antifungals treatment,C2363963
512,883,candidemia,C0877445
513,884,acute disseminated candidiasis,C0343884
514,886,invasive invasive aspergillosis,C0238013
515,887,infections prophylaxis infections,C0877629
516,888,infections esophageal infections,C0341107
517,889,infections esophageal infections,C0851979
518,891,hematopoietic stem cell transplantation,C0472699
519,894,micafungin,C1120386
520,895,alternative,C1523987
521,896,oropharyngeal,C0521367
522,897,candidiases,C0006840
523,898,success,C0597535
524,899,primary therapy,C1708063
525,900,salvage therapy,C0085405
526,902,therapy combination,C0009429
527,903,alone,C0205171
528,904,doxepin,C0013085
529,906,depression anxiety,C0338908
530,908,chronic urticaria,C0263338
531,910,management pain,C0002766
532,913,cumulative,C1511559
533,914,renal toxicity,C0599918
534,915,renal toxicity,C0595916
535,916,patients cancer patients cancer,C1516213
536,917,ovarian cancer,C0919267
537,918,ovarian cancer,C1140680
538,919,cancer radiation treatment cancer,C0804731
539,920,cancer head neck cancer,C0278996
540,922,cisplatin,C0008838
541,923,moderate severe,C1299393
542,924,xerostomia,C0043352
543,926,adjunctive treatment,C3858690
544,927,chronic simple,C0339573
545,930,acute,C0205178
546,931,delay surgery,C1710256
547,932,order,C1705178
548,933,lower intraocular pressure,C0028841
549,935,allergic rhinitis,C2607914
550,937,hay fever,C0018621
551,939,skin disorders,C0037274
552,942,infections,C0009450
553,944,group,C1257890
554,945,penicillin,C0220892
555,947,symptomatic relief,C3242309
556,948,dysuria,C0013428
557,949,urgency,C0439609
558,950,nocturia,C0028734
559,951,suprapubic pain,C0241310
560,952,frequency incontinence,C0426369
561,954,occur,C1709305
562,955,cystitis urethritis,C0810320
563,956,prostatitis,C0033581
564,958,depression,C0011570
565,961,infections respiratory,C0035243
566,965,infections soft tissue,C0149778
567,967,skin tissue,C0684084
568,969,s pyogenes,C0038411
569,971,e coli,C0014834
570,973,klebsiella sp,C1295798
571,974,staph,C0038160
572,976,symptoms depressive,C0086132
573,978,various,C0440102
574,979,depressive endogenous,C0011573
575,981,syndromes,C0039082
576,983,peripheral neuropathic pain,C0458960
577,984,second,C0205436
578,987,anxiety disorders generalized anxiety,C0270549
579,988,disorders panic,C0030319
580,991,third,C0205437
581,994,topical,C0332237
582,996,interdigital,C0442105
583,998,immunocompetent,C1512656
584,1003,complete,C0205197
585,1004,anaesthesia general anaesthesia state,C1719976
586,1005,short duration,C0439593
587,1006,induction general anaesthesia,C0473960
588,1007,inducing,C0205263
589,1008,hypnotic state,C0221171
590,1010,bacterial infection,C0004623
591,1012,infection susceptible,C0239998
592,1014,im,C0231377
593,1016,multidrug resistant,C0242640
594,1019,treatment smoking cessation,C1095963
595,1021,aid,C0449435
596,1022,concurrent,C0521115
597,1023,leucovorin,C0023413
598,1024,administration,CL414711
599,1026,protection,C1545588
600,1027,alternative therapy,C0002346
601,1032,immunocompromised,C0085393
602,1035,acquired immunodeficiency syndrome aids,C0001175
603,1038,several,C0443302
604,1039,types,C0332307
605,1040,cancer colon cancer,C0699790
606,1041,cancer colon cancer,C0007102
607,1044,therapy,C0087111
608,1045,ventricular fibrillation,C0042510
609,1050,ventricular tachycardia,C0042514
610,1052,failed,C0231175
611,1053,adequate,C0205411
612,1054,doses,C0178602
613,1055,antiarrhythmic agent,C0003195
614,1056,lidocaine,C0023660
615,1057,induction general anesthesia,C0473960
616,1058,induction maintenance anesthesia,C0853211
617,1059,aborting pregnancy,C0854468
618,1060,aborting incomplete,C0812470
619,1062,aborting therapeutic,C0392535
620,1063,aborting therapeutic,C0000820
621,1064,between,CL449145
622,1065,twelfth,C0205446
623,1066,week gestation,C1135241
624,1067,week gestation,C2825545
625,1069,intrauterine fetal death,C0015927
626,1072,congenital abnormalities,C0000768
627,1074,life,C0376558
628,1075,medically induction labor,C0200066
629,1077,term,C1705313
630,1078,injected intraarterially,C1561451
631,1080,vasodilator,C0042402
632,1081,assist,C1515950
633,1082,angiography,CL378222
634,1084,local anesthesia infiltration,C0198813
635,1085,anesthesia caudal anesthesia,C0002909
636,1087,anesthesia peripheral block anesthesia,C0198807
637,1088,anesthesia nerve block anesthesia,C0198802
638,1089,peripheral nerve block,C0198807
639,1090,lumbar,C0024090
640,1091,caudal epidural,C0394837
641,1095,moderate hypertension,C1969581
642,1096,used urinary tract used,C0203407
643,1098,urinary tract infections,C0042029
644,1103,klebsiella enterobacter species,CL502439
645,1104,against,C0521124
646,1105,gram,C0439208
647,1106,negative,C0205160
648,1107,organisms,C0029235
649,1108,treatment treatment intoxication,C0683528
650,1109,hypocalcemia,C0020598
651,1110,conditions,C0012634
652,1111,requiring increase,C0520917
653,1112,prompt,C1602245
654,1113,increase plasma calcium,C0858095
655,1114,increase blood calcium,C0580487
656,1116,increase calcium levels,C0553702
657,1117,increase levels potassium,C0553704
658,1118,increase extracellular fluid,C0235441
659,1119,blood calcium levels,C0729820
660,1120,plasma calcium levels,C1272114
661,1121,plasma levels magnesium magnesium,C0729823
662,1123,magnesium sulfate,C0024480
663,1125,effects,C1280519
664,1126,hyperkalemia,C0020461
665,1127,measured ecg,C3642352
666,1128,pending,C1547325
667,1129,correction,C1947976
668,1131,infections respiratory tract,C0035243
669,1133,kidney,C0022646
670,1135,soft tissue cervical,C1276274
671,1136,urethral,C0041967
672,1137,gonorrhoea,C0018081
673,1139,symptoms,C1457887
674,1140,intermittent claudication,C0021775
675,1142,pain legs walking,C0311395
676,1143,occurs,C1709305
677,1144,disappears,CL463083
678,1145,rest,C0035253
679,1148,fungal infections,C0026946
680,1150,immunocompromised patients,C0085393
681,1152,pulmonary blastomycosis,C0339964
682,1153,extrapulmonary histoplasmosis,C0343900
683,1154,aspergillosis,C0004030
684,1155,onychomycosis,C0040261
685,1156,nutritional supplementation,C0242295
686,1157,nutritional supplementation,C0242297
687,1158,treating,C1522326
688,1159,dietary,C0012155
689,1160,imbalance,C1397014
690,1161,supplemental,C2348609
691,1162,simplex,C2338991
692,1163,virus activity,C0042767
693,1165,activity research activity,C0242481
694,1167,preliminary,C0439611
695,1175,vitamin c deficiency,C0003969
696,1177,scurvy,C0036474
697,1178,delayed wound healing,C0151692
698,1181,bone,C0262950
699,1182,urine,C0042036
700,1183,acidification,C2987513
701,1184,general,C0205246
702,1185,antioxidant,C0003402
703,1186,effective,C1704419
704,1187,antiviral agent,C0003451
705,1194,no support,CL494610
706,1195,aspartates,C0085845
707,1197,performance,C0597198
708,1198,enhancers,C2985765
709,1199,aids,C0449435
710,1205,ornithine,C0029277
711,1206,improves,C0184511
712,1207,athletic performance,C0871966
713,1209,anabolic effects,C3179309
714,1217,complications,C0009566
715,1218,sickle cell disease,C0002895
716,1220,disease adult,C0277562
717,1221,disease pediatric,C0679381
718,1232,supplementation dietary,C0242295
719,1236,natural,C0205296
720,1238,cosmetics,C0010164
721,1239,skin care products,C3897599
722,1240,protein synthesis,C0597295
723,1241,synthesis formation,C1157689
724,1243,same,C0445247
725,1244,taurine,C0039350
726,1245,sulfate,C3536965
727,1246,tyrosine,C0041485
728,1247,act,C1551336
729,1249,antidepressant,C0003289
730,1250,results,C1274040
731,1251,mixed,C0205430
732,1253,stress,C0038435
733,1254,narcolepsy,C0027404
734,1255,chronic fatigue,C0518656
735,1256,studies,C0008972
736,1258,vitamin d deficiency,C0042870
737,1260,insufficiency,C0231179
738,1262,rickets vitamin d resistant rickets hypophosphatemia,C2363065
739,1263,familial,C0241888
740,1264,hypoparathyroidism,C0020626
741,1267,renal osteodystrophy,C0035086
742,1270,chronic renal failure,C0022661
743,1272,dialysis,C0011946
744,1274,calcium,C0006675
745,1276,prevention primary,C0033144
746,1278,primary osteoporosis,C0410438
747,1279,xanthophylls,C0949636
748,1280,taken,C1883727
749,1286,antiinflammatory,C0003209
750,1287,properties,C0871161
751,1290,toxins,C0040549
752,1291,helpful,C3898897
753,1292,osteoarthritis,C0029408
754,1295,research,C0035168
755,1296,done,C1272695
756,1297,before,C0332152
757,1299,any,CL448990
758,1302,date,C0011008
759,1303,mostly,C0205393
760,1304,animal models,C0599779
761,1312,ariboflavinosis,C0035528
762,1313,vitamin b2 deficiency,C0035528
763,1314,treatment prevention combination,CL106587
764,1316,chondroitin sulfate,C0008466
765,1318,natures,C1262865
766,1319,brain,C0006104
767,1320,food,C0016452
768,1321,improving,C1272745
769,1322,mental,C0229992
770,1323,capacities,C1516240
771,1324,helps,C1552861
772,1325,speed,C0678536
773,1326,healing ulcers,C1265810
774,1327,lift,C0206244
775,1328,fatigue,C0015672
776,1331,alcoholism craving,C0556385
777,1333,schizophrenia,C0036341
778,1334,craving sugar,C0522058
779,1340,phosphatidylserine,C0301704
780,1342,cognitive impairment,C0338656
781,1345,alzheimers disease,C0002395
782,1347,memory impairment,C0233794
783,1349,dementias,C0497327
784,1350,research needed,C0683934
785,1353,indicated immune,C2924047
786,1354,enhancement,CL427959
787,1355,reduction stress,C0679002
788,1356,exercise stress,CL381817
789,1358,glycine,C0017890
790,1360,activity activity antioxidant,C1148564
791,1361,very,C0442824
792,1362,early,C1279919
793,1363,findings suggest,C0424012
794,1365,antipsychotic,C0040615
795,1389,pyridoxal,C0034263
796,1392,forms,C0376315
797,1393,available,C0470187
798,1394,vitamin b6,C0087162
799,1401,imbalances,C1397014
800,1407,indicated prevention,C0814362
801,1409,breakdown proteins,C1623036
802,1410,muscle proteins,C0026832
803,1412,sometimes,C1998882
804,1414,after,C0231290
805,1415,trauma,C3714660
806,1418,tryptophan,C0041249
807,1420,increasing serotonin production,C1372585
808,1421,production promoting,C0683749
809,1422,healthy,C3898900
810,1423,sleep managing enhancing,C1444224
811,1424,managing managing managing weight,C0920298
812,1425,depression mental,C0011570
813,1427,emotional,C0849912
814,1428,wellbeing,CL449628
815,1429,pain tolerance,CL448224
816,1431,liver damage,C0151763
817,1435,overdoses acetaminophen,C0572025
818,1437,thiamine niacin deficiency states,C0154239
819,1438,korsakovs alcoholic psychosis peripheral neuritis,C0338637
820,1440,delirium,C0011206
821,1449,hypophosphatemia vitamin d resistant rickets,C2363065
822,1450,vitamin d nutritional vitamin d,C1518507
823,1451,drug,C0013227
824,1453,osteomalacia,C0029442
825,1454,dependent,C3244310
826,1457,high dose,C0444956
827,1458,anticonvulsant therapy,C0521306
828,1459,therapy early,C3177188
829,1463,osteoporosis,C0029456
830,1467,fanconi syndrome,C0015624
831,1470,acidosis,C0001122
832,1476,collagen,C0009325
833,1477,elastin,C0013765
834,1478,enamel,C0011350
835,1479,protein,C0033684
836,1481,fat metabolism,C0598783
837,1482,metabolism liver metabolism,C1373178
838,1484,digestive tracts,C0017189
839,1485,intestinal tracts,C0021853
840,1486,function,C0542341
841,1487,assists,C0011327
842,1488,assimilation,CL025197
843,1490,suggests,C0038659
844,1492,parkinsons disease,C0030567
845,1494,disease disease cardiovascular disease,C0007222
846,1496,chronic fatigue syndrome,C0015674
847,1498,syndrome alzheimers,C0002395
848,1503,folic acid deficiency anemia,C0151482
849,1505,megaloblastic anemia nutritional infancy,C0271941
850,1506,nutritional supplements,C0242295
851,1508,nutritional pregnancy,C0598901
852,1510,childhood,C0231335
853,1511,lowering triglycerides,C0858892
854,1512,elevated triglycerides,C0020557
855,1515,play therapeutic,C0032216
856,1516,play role play role,C0035822
857,1521,disease severity,C0264097
858,1522,disease severity,C0521117
859,1524,similar,C2348205
860,1525,type 2 diabetics nephropathy,C1720457
861,1526,slowing progression,C1854494
862,1528,promotes,C0033414
863,1531,coordination,C0700114
864,1532,calm,CL449160
865,1533,emotions,C0013987
866,1535,minority,C0026192
867,1536,patients encephalopathy some,C4013377
868,1537,hepatic,C0205054
869,1538,phenylketonuria,C0751434
870,1540,vitamin deficiency,C1510471
871,1542,vitamin e,C0042874
872,1544,known,C0205309
