,CUI,Drug,Indication,Contraindication
10,,salmeterol xinafoate,"['the maintenance prevention of bronchospasm (e', 'asthma, including nocturnal asthma symptoms, in patients receiving optimum treatment with antiinflammatory asthma agents and who still require a inhaled beta-adrenergic bronchodilator on a regular schedule', 'exercise-induced bronchospasm prophylaxis', 'the maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (copd) including emphysema and chronic bronchitis', 'altitude sickness prophylaxis<strong>***formoterol***formoterol; mometasone']","['monotherapy treatment of asthma', 'milk protein hypersensitivity', 'acute bronchospasm', 'asthma-related death', 'status asthmaticus', 'alcoholism', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'tachycardia', 'diabetes mellitus', 'hyperthyroidism', 'pheochromocytoma', 'seizure disorder', 'seizures', 'thyroid disease', 'thyrotoxicosis', 'labor', 'pregnancy', 'breast-feeding', 'children', 'infants', 'hepatic disease', 'paradoxical bronchospasm', 'maoi therapy', 'geriatric']"
11,,triamcinolone acetonide,"['bronchospasm prophylaxis or maintenance therapy in patients who require chronic treatment with corticosteroids for control of bronchial asthma', 'severe or incapacitating allergic conditions such as asthma that are intractable to adequate trials of conventional treatment', 'symptoms of seasonal and perennial allergic rhinitis', 'severe or incapacitating allergic conditions that are intractable to adequate trials of conventional treatment', 'ocular inflammation (i', 'visualization during ocular surgery (i', 'acute rheumatic carditis, berylliosis, temporal arteritis�, or systemic lupus erythematosus (sle)', 'pruritus and topical inflammation associated with moderate to severe corticosteroid-responsive dermatoses (e', 'ulcerative or inflammatory oral lesions including aphthous ulcer, desquamative gingivitis�, and oral lichen planus�', 'severe or incapacitating allergic conditions such as atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, serum sickness, transfusion reactions, bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (stevens-johnson syndrome) that are intractable to adequate trials of conventional treatment and for the treatment of idiopathic eosinophilic pneumonias', 'symptomatic sarcoidosis', ""primary (addison's disease) or secondary adrenocortical insufficiency"", 'congenital adrenal hyperplasia', 'hypercalcemia associated with cancer', 'nonsuppurative thyroiditis', 'a critical period of regional enteritis and ulcerative colitis', 'autoimmune hemolytic anemia, diamond-blackfan anemia, pure red cell aplasia, or selected cases of secondary thrombocytopenia', 'trichinosis with neurologic or myocardial involvement', 'complicated or disseminated pulmonary tuberculosis infection (i', 'acute exacerbations of multiple sclerosis', 'cerebral edema associated with primary or metastatic brain tumor, craniotomy, or head injury', 'proteinuria or to induce diuresis in idiopathic nephrotic syndrome or lupus erythematosus', 'an acute episode or exacerbation of ankylosing spondylitis, psoriatic arthritis, and juvenile rheumatoid arthritis (jra)/juvenile idiopathic arthritis (jia) as adjunctive therapy for short-term administration', 'dermatomyositis or polymyositis', 'inflammation and for immunosuppression associated with a variety of disorders, like hodgkin lymphoma', 'the palliative treatment of leukemias and lymphomas', 'chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (itp)', 'diabetic macular edema�', 'inflammation associated with synovitis of osteoarthritis; rheumatoid arthritis; acute and subacute bursitis; gout with acute gouty arthritis; epicondylitis; acute non-specific tenosynovitis; polychondritis�; posttraumatic osteoarthritis', 'osteoarthritis pain of the knee']","['epidural administration', 'intramuscular administration', 'intrathecal administration', 'intravenous administration', 'subcutaneous administration', 'acute bronchospasm', 'status asthmaticus', 'abrupt discontinuation', 'adrenal insufficiency', ""cushing's syndrome"", 'hyperthyroidism', 'hypothalamic-pituitary-adrenal (hpa) suppression', 'hypothyroidism', 'increased intracranial pressure', 'occlusive dressing', 'skin abrasion', 'head trauma', 'growth inhibition', 'osteoporosis', 'surgery', 'fungal infection', 'infection', 'viral infection', 'tuberculosis', 'immunosuppression', 'herpes infection', 'measles', 'varicella', 'glaucoma', 'acne rosacea', 'acne vulgaris', 'peripheral vascular disease', 'nasal septal perforation', 'nasal surgery', 'nasal trauma', 'myocardial infarction', 'heart failure', 'hypertension', 'diabetes mellitus', 'skin atrophy', 'diverticulitis', 'gi disease', 'gi perforation', 'inflammatory bowel disease', 'peptic ulcer disease', 'ulcerative colitis', 'myasthenia gravis', 'psychosis', 'seizure disorder', 'coagulopathy', 'hemophilia', 'thromboembolic disease', 'cataracts', 'ocular exposure', 'ocular infection', 'ophthalmic administration', 'visual disturbance', 'pregnancy', 'vaccination', 'breast-feeding', 'tartrazine dye hypersensitivity', 'neonates', 'premature neonates', 'idiopathic thrombocytopenic purpura (itp)', 'corticosteroid hypersensitivity', 'geriatric', 'renal disease', 'renal impairment', 'hepatic disease']"
12,['3108'],dapsone,"['dermatitis herpetiformis', ""the treatment leprosy (hansen's disease)"", 'multibacillary leprosy', 'paucibacillary leprosy', 'acne vulgaris', 'actinomycotic mycetoma�', 'actinomycotic mycetoma� caused by <em>actinomadura madurae</em>� or <em>streptomyces somaliensis</em>�', 'actinomycotic mycetoma� caused by <em>nocardia</em> sp', 'granuloma annulare�', 'chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (itp)�', 'polychondritis�', 'mild to moderate pneumocystis pneumonia (pcp)�', 'pneumocystis pneumonia (pcp) prophylaxis�', 'primary pcp prophylaxis� in hiv-infected patients', 'secondary pcp prophylaxis� in hiv-infected patients after pcp treatment', 'primary toxoplasmosis prophylaxis� in hiv-infected patients, specifically prevention of toxoplasmic encephalitis (te)� due to <em>toxoplasmosis gondii</em>', 'pyoderma gangrenosum�', 'subcorneal pustular dermatosis�']","['anemia', 'g6pd deficiency', 'methemoglobin reductase deficiency', 'hepatic disease', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'sulfonamide hypersensitivity']"
13,,fluticasone propionate,"['pruritus and topical inflammation associated with moderate to severe corticosteroid-responsive dermatoses, including the treatment of alopecia areata, discoid lupus erythematosus, generalized exfoliative dermatitis, cutaneous lichen planus, lichen simplex chronicus, lichen striatus, nodular prurigo, pompholyx (dyshidrosis), pemphigus, polymorphous light eruption, psoriasis, seborrheic dermatitis, severe contact dermatitis, severe rhus dermatitis (due to plants like poison ivy), and xerosis', 'eczema, including atopic dermatitis', 'the management of symptoms associated with seasonal or perennial allergic rhinitis, including allergic conjunctivitis', 'the management of nasal symptoms associated with vasomotor rhinitis (perennial nonallergic rhinitis)', 'the maintenance treatment of asthma', 'nasal polyps', 'exercise-induced bronchospasm prophylaxis�', 'formaldehyde hypersensitivit']","['corticosteroid hypersensitivity', 'milk protein hypersensitivity', 'acute bronchospasm', 'status asthmaticus', ""cushing's syndrome"", 'hypothalamic-pituitary-adrenal (hpa) suppression', 'occlusive dressing', 'skin abrasion', 'surgery', 'diabetes mellitus', 'nasal septal perforation', 'nasal surgery', 'nasal trauma', 'fungal infection', 'herpes infection', 'infection', 'measles', 'tuberculosis', 'varicella', 'viral infection', 'malnutrition', 'osteoporosis', 'tobacco smoking', 'geriatric', 'hepatic disease', 'acne rosacea', 'acne vulgaris', 'perioral dermatitis', 'peripheral vascular disease', 'skin atrophy', 'cataracts', 'glaucoma', 'increased intraocular pressure', 'ocular exposure', 'formaldehyde hypersensitivity', 'children', 'growth inhibition', 'increased intracranial pressure', 'infants', 'pregnancy', 'breast-feeding', 'sunlight (uv) exposure']"
14,,pramlintide acetate,"['type 1 diabetes mellitus and type 2 diabetes mellitus', 'the adjunct treatment of type 1 diabetes mellitus in patients who use mealtime insulin therapy and who have failed to achieve desired glucose control despite optimal insulin therapy', 'the adjunct treatment of type 2 diabetes mellitus in patients who use mealtime insulin therapy and who have failed to achieve desired glucose control despite optimal insulin therapy']","['gastroparesis', 'dialysis', 'renal failure', 'driving or operating machinery', 'hypoglycemia', 'cresol hypersensitivity', 'diarrhea', 'fever', 'infection', 'surgery', 'thyroid disease', 'trauma', 'vomiting', 'osteoporosis', 'pregnancy', 'breast-feeding', 'children', 'tobacco smoking', 'geriatric']"
15,,"diphtheria and tetanus toxoids and acellular pertussis adsorbed, hepatitis B (recombinant) and inactivated poliovirus vaccine","['simultaneous diphtheria prophylaxis, tetanus prophylaxis, pertussis prophylaxis, hepatitis b prophylaxis, and poliovirus prophylaxis for primary immunization']","['hepatitis', 'anticoagulant therapy', 'coagulopathy', 'hemophilia', 'intraarterial administration', 'intravenous administration', 'subcutaneous administration', 'thrombocytopenia', 'vitamin k deficiency', 'children', 'geriatric', 'infants', 'neonates', 'premature neonates', 'neomycin hypersensitivity', 'polymyxin hypersensitivity', 'yeast hypersensitivity', 'latex hypersensitivity', 'fever', 'shock', 'coma', 'encephalopathy', 'neurological disease', 'seizure disorder', 'seizures', 'guillain-barre syndrome', 'chemotherapy', 'immunosuppression', 'radiation therapy', 'pregnancy', 'breast-feeding']"
16,['28439'],lamotrigine,"['partial seizures with or without secondary generalization', 'monotherapy of partial seizures in patients currently receiving treatment with a single enzyme-inducing anti-epileptic drug (aed) (e', 'monotherapy of partial seizures in patients  currently receiving treatment with valproate', 'adjunctive therapy to other anticonvulsants in the treatment of partial seizures', 'monotherapy of partial seizures in patients currently receiving treatment with a single anti-epileptic drug (aed)  other than carbamazepine, phenytoin, phenobarbital, primidone, or valproate', 'adjunctive therapy to other anticonvulsants in the treatment of primary generalized tonic-clonic seizures', 'adjunctive therapy to other anticonvulsants in the treatment of generalized seizures of lennox-gastaut syndrome', 'the long-term maintenance treatment of bipolar disorder (bipolar i disorder) to delay the occurrence of mood episodes (i', 'absence seizures�', 'long-term prophylaxis of short-lasting unilateral neuralgiform headache with conjunctival injection and tearing (sunct)�']","['serious rash', 'depression', 'suicidal ideation', 'abrupt discontinuation', 'driving or operating machinery', 'hepatic disease', 'dialysis', 'renal disease', 'renal failure', 'renal impairment', 'cardiac disease', 'heart failure', 'black patients', 'geriatric', 'children', 'infants', 'neonates', 'folate deficiency', 'pregnancy', 'breast-feeding']"
17,['318341'],cetuximab,"['kras wild-type metastatic colorectal cancer', 'kras wild-type, egfr-expressing, metastatic colorectal cancer (mcrc) as a single agent after failure of both irinotecan- and oxaliplatin-based regimens or in patients who are intolerant to irinotecan-based chemotherapy', 'kras wild-type, egfr-expressing, metastatic colorectal cancer (mcrc) in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy', 'the first-line treatment of kras wild-type, egfr-expressing, metastatic colorectal cancer (mcrc) in combination with folfiri (irinotecan, 5-fluorouracil, leucovorin)', 'the first-line treatment of kras wild-type metastatic colorectal cancer (mcrc), in combination with mfolfox6 (leucovorin, oxaliplatin, 5-fluorouracil)�', 'braf mutation-positive, ras wild-type, metastatic colorectal cancer, in combination with irinotecan and vemurafenib�', 'head and neck cancer', 'recurrent or metastatic squamous cell carcinoma of the head and neck in combination with cisplatin�', 'the first-line treatment of recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy and fluorouracil', 'the first-line treatment of advanced non-small cell lung cancer (nsclc)� in combination with cisplatin and vinorelbine']","['acute bronchospasm', 'hypotension', 'infusion-related reactions', 'murine protein hypersensitivity', 'urticaria', 'pulmonary disease', 'pulmonary edema', 'pulmonary fibrosis', 'infection', 'sunlight (uv) exposure', 'cardiac arrest', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'electrolyte imbalance', 'heart failure', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'radiation therapy', 'respiratory arrest', 'male-mediated teratogenicity', 'pregnancy', 'breast-feeding', 'children', 'kras mutations']"
18,,fluticasone furoate,"['pruritus and topical inflammation associated with moderate to severe corticosteroid-responsive dermatoses, including the treatment of alopecia areata, discoid lupus erythematosus, generalized exfoliative dermatitis, cutaneous lichen planus, lichen simplex chronicus, lichen striatus, nodular prurigo, pompholyx (dyshidrosis), pemphigus, polymorphous light eruption, psoriasis, seborrheic dermatitis, severe contact dermatitis, severe rhus dermatitis (due to plants like poison ivy), and xerosis', 'eczema, including atopic dermatitis', 'the management of symptoms associated with seasonal or perennial allergic rhinitis, including allergic conjunctivitis', 'the management of nasal symptoms associated with vasomotor rhinitis (perennial nonallergic rhinitis)', 'the maintenance treatment of asthma', 'nasal polyps', 'exercise-induced bronchospasm prophylaxis�', 'formaldehyde hypersensitivit']","['corticosteroid hypersensitivity', 'milk protein hypersensitivity', 'acute bronchospasm', 'status asthmaticus', ""cushing's syndrome"", 'hypothalamic-pituitary-adrenal (hpa) suppression', 'occlusive dressing', 'skin abrasion', 'surgery', 'diabetes mellitus', 'nasal septal perforation', 'nasal surgery', 'nasal trauma', 'fungal infection', 'herpes infection', 'infection', 'measles', 'tuberculosis', 'varicella', 'viral infection', 'malnutrition', 'osteoporosis', 'tobacco smoking', 'geriatric', 'hepatic disease', 'acne rosacea', 'acne vulgaris', 'perioral dermatitis', 'peripheral vascular disease', 'skin atrophy', 'cataracts', 'glaucoma', 'increased intraocular pressure', 'ocular exposure', 'formaldehyde hypersensitivity', 'children', 'growth inhibition', 'increased intracranial pressure', 'infants', 'pregnancy', 'breast-feeding', 'sunlight (uv) exposure']"
19,,tenofovir disoproxil fumarate,"['human immunodeficiency virus (hiv) infection in combination with other anti-retroviral agents', 'treatment of chronic hepatitis b infection', 'human immunodeficiency virus (hiv) prophylaxis�', 'human immunodeficiency virus (hiv) prophylaxis� after occupational exposure', 'human immunodeficiency virus (hiv) prophylaxis� after nonoccupational exposure, including sexual assault', 'pre-exposure hiv prophylaxis� of uninfected individuals to reduce the risk of sexually acquired hiv in heterosexual adults at high risk and to reduce the acquisition risk of hiv in adult injection drug users']","['bone fractures', 'hypophosphatemia', 'renal failure', 'renal impairment', 'osteomalacia', 'osteoporosis', 'geriatric', 'children', 'infants', 'neonates', 'alcoholism', 'females', 'hepatic disease', 'hepatotoxicity or lactic acidosis', 'obesity', 'pregnancy', 'breast-feeding', 'hepatitis b and hiv coinfection', 'hepatitis b exacerbation', 'human immunodeficiency virus (hiv) infection resistance', 'autoimmune disease', ""graves' disease"", 'guillain-barre syndrome', 'immune reconstitution syndrome', 'hiv serum status', 'hepatitis c and hiv coinfection']"
20,,sodium chloride,"['dehydration or hypovolemia, including during diabetic ketoacidosis, cardiopulmonary resuscitation, and shock (e', 'hyponatremia', 'mucolysis and sputum induction in patients with cystic fibrosis', 'nasal congestion and dryness', 'nutritional supplementation', 'temporary relief of corneal edema (i', 'increased intracranial pressure�', 'the inpatient management of viral bronchiolitis�', 'formoterol; mometasone']","['cardiac disease', 'diabetic ketoacidosis', 'edema', 'heart failure', 'hyperaldosteronism', 'hyperchloremia', 'hypernatremia', 'hypertension', 'hypervolemia', 'metabolic acidosis', 'renal artery stenosis', 'renal disease', 'renal failure', 'renal impairment', 'alcoholism', 'females', 'hyponatremia', 'hypoxemia', 'malnutrition', 'hepatic disease', 'hemolysis', 'pregnancy', 'breast-feeding', 'neonates', 'premature neonates', 'requires an experienced clinician', 'visual impairment', 'geriatric']"
21,,warfarin sodium,"['general dosing information in patients requiring warfarin anticoagulation', 'treatment of deep venous thrombosis (dvt) or pulmonary embolism and deep vein thrombosis (dvt) prophylaxis or pulmonary embolism prophylaxis', 'the treatment and further prevention of dvt or pulmonary embolism (pe) after the initial, acute phase of treatment', 'dvt prophylaxis in patients undergoing total hip or knee replacement surgery or hip fracture surgery�', 'dvt prophylaxis in patients with long-term indwelling central venous catheters to prevent axillary-subclavian venous thrombosis�', 'thrombosis prophylaxis (i', 'coronary artery thrombosis prophylaxis in high or very high-risk patients with stable angina� or chronic coronary artery disease�', 'thrombosis prophylaxis in patients with atrial fibrillation', 'thrombosis prophylaxis in patients with atrial fibrillation or atrial flutter who are undergoing cardioversion', 'thrombosis prophylaxis in patients with prosthetic heart valves', 'thrombosis prophylaxis in patients with mechanical prosthetic heart valves and a history of bleeding while receiving warfarin therapy', 'stroke prophylaxis in patients with cerebral venous sinus thrombosis (cvst) after primary treatment with heparin or lmwh', 'thrombosis prophylaxis in patients with valvular heart disease', 'stroke prophylaxis in patients with dilated cardiomyopathy (dcm), particularly in the subgroup of patients with concomitant atrial fibrillation or with a prior history of systemic embolization', 'secondary myocardial infarction prophylaxis (i', 'the coronary artery thrombosis prophylaxis in patients with unstable angina�', 'prophylaxis of arterial and/or venous thromboembolism in patients with antiphospholipid antibody syndrome', 'thromboprophylaxis� in patients with heart failure� who are in sinus rhythm']","['coumarin anticoagulants hypersensitivity', 'anemia', 'aneurysm', 'aortic dissection', 'atrial fibrillation', 'bleeding', 'cardiac disease', 'cerebrovascular disease', 'eclampsia', 'endocarditis', 'epidural anesthesia', 'gi bleeding', 'head trauma', 'hematological disease', 'hemophilia', 'hypertension', 'intracranial bleeding', 'leukemia', 'lumbar puncture', 'neoplastic disease', 'peptic ulcer disease', 'pericardial effusion', 'pericarditis', 'polycythemia vera', 'preeclampsia', 'renal disease', 'renal failure', 'renal impairment', 'retinal bleeding', 'spinal anesthesia', 'stroke', 'surgery', 'vasculitis', 'asian patients', 'dental work', 'diabetes mellitus', 'heparin-induced thrombocytopenia (hit)', 'idiopathic thrombocytopenic purpura (itp)', 'heart failure', 'cholestasis', 'hepatic disease', 'hepatitis', 'jaundice', 'intramuscular injections', 'protein c deficiency', 'protein s deficiency', 'vitamin c deficiency', 'anorexia nervosa', 'bulimia nervosa', 'vitamin k deficiency', 'alcoholism', 'dementia', 'psychosis', 'fever', 'hyperthyroidism', 'infection', 'diarrhea', 'hyperlipidemia', 'hypothyroidism', 'peripheral edema', 'tobacco smoking', 'geriatric', 'labor', 'obstetric delivery', 'pregnancy', 'children', 'infants', 'neonates', 'breast-feeding', 'contraception requirements', 'pregnancy testing', 'reproductive risk']"
