,CUI,Drug,Indication
20,['9627'],Secretin, diagnosis pancreatic exocrine dysfunction and gastrinoma
21,['253453'],Peginterferon alfa-2b, is the hcv in combination with [db00811] and a ns3/4a protease inhibir genotype 1 or without a ns3/4a protease inhibir genotypes 2-6 [fda label]. may be as a monotherapy in patients with contraindications or significant inlerance other anti-viral therapies.
22,['1156'],Asparaginase, acute lympocytic leukemia and non-hodgkins lymphoma
23,"['4952', '10579']",Thyrotropin Alfa, residueal or recurrent thyroid cancer
24,['1300486'],"Antihemophilic factor, human recombinant"," the hemophilia a, von willebrand disease and facr xiii deficiency."
25,['72435'],Anakinra, the adult rheumaid arthritis and neonatal-onset multisystem inflammary disease (nomid).
26,['5011'],Gramicidin D," skin lesions, surface wounds and eye infections."
27,"['42386', '1426680']",Immune Globulin Human,"ivig is in the immunodeficiencies, as well as auimmune and inflammary disorders. these indications includes idiopathic thrombocypenic purpura, kawasaki disease, hypogammaglobulinemia, b cell chronic lymphocytic leukemia, bone marrow transplant complications, guillain-barré syndrome, chronic inflammary demyelinating polyneuropathy (cidp), multiple sclerosis, rheumaid arthritis, myesthenia gravis, wiskott–aldrich syndrome and inflammary skin diseases."
28,['40028'],Anistreplase," lysis acute pulmonary emboli, intracoronary emboli and myocardial infarction"
29,"['253182', '631657']",Insulin Human, as an adjunct diet and exercise improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus.
30,['259280'],Tenecteplase, myocardial infarction and lysis intracoronary emboli
31,['5882'],Interferon gamma-1b, is the chronic granulomaus disease and osteopetrosis.
32,['5879'],"Interferon Alfa-2a, Recombinant"," the chronic hepatitis c, hairy cell leukemia, aids-related kaposi's sarcoma, and chronic myelogenous leukemia. also the oral warts arising from hiv infection."
33,['3251'],Desmopressin,"oral mulations may be manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and control temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. intranasal and parenteral mulations may be manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hemama, mucosal bleeding) in patients with hemophilia a or von willebrand's disease type i. may also be parenterally prevent or treat bleeding in patients with uremia."
34,"['4256', '253149', '314620']",Coagulation factor VIIa Recombinant Human, hemorrhagic complications in hemophilia a and b
35,['139994'],Oprelvekin, reduced platelet levels due chemotherapy
36,['196319'],Palifermin, oral mucositis associated with chemotherapy and radiation therapy.
37,"['4832', '261716']",Glucagon recombinant," severe hypoglycemia, also in gastrointestinal imaging"
38,['70223'],Aldesleukin, adults with metastatic renal cell carcinoma.
39,['860178'],Botulinum Toxin Type B, the patients with cervical dysnia reduce the severity abnormal head position and neck pain associated with cervical dysnia.
40,['302379'],Omalizumab, asthma ca by allergies
41,['388084'],Lutropin alfa, infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and pround lh deficiency (lh <1.2 international units [iu]/l)
42,['54214'],Lyme disease vaccine (recombinant OspA), prophylactic lyme disease
43,"['86009', '314684']",Insulin Lispro, the type 1 or 2 diabetes mellitus. be in conjunction with an intermediate or long-acting insulin except when in a continuous insulin infusion pump.
44,['274783'],Insulin Glargine, the type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin the control hyperglycemia. may be in pediatric patients with type 1 diabetes mellitus who require a long-acting (basal) insulin glycemic control.
45,"['58939', '898492']",Collagenase clostridium histolyticum, promote debridement necrotic tissue in the severe burns and dermal ulcers including decubitus ulcers.
46,['283821'],Rasburicase," hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)"
47,['68147'],Cetrorelix, the inhibition premature lh surges in women undergoing controlled ovarian stimulation
48,['327361'],Adalimumab," rheumaid arthritis, psoriatic arthritis, ankylosing spondylitis, and crohn's disease."
49,['61148'],Somatotropin," dwarfism, acromegaly and prevention hiv-induced weight loss"
50,['84959'],Imiglucerase, the gaucher's disease (deficiency in glucocerebrosidase)
51,['83929'],Abciximab, is as an adjunct percutaneous coronary intervention the prevention cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. is intended use with aspirin and heparin and has been studied only in that setting.
52,['352374'],Drotrecogin alfa, reduction mortality in patients with severe sepsis.
53,['1294580'],Gemtuzumab ozogamicin, the patients with cd33 positive acute myeloid leukemia in first relapse who are 60 years age or older and who are not considered candidates other cyxic chemotherapy. the patients aged 2 years and older with cd33-positive aml who have experienced a relapse or who have not responded initial (refracry).
54,"['535', '991743']",Alpha-1-proteinase inhibitor, chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibir (a1-pi) deficiency and clinical evidence emphysema.
55,['34132'],Pegaspargase, acute lymphoblastic leukemia
56,['75917'],Interferon beta-1a," relapsing/remitting multiple sclerosis, also condyloma acuminatum"
57,['59768'],Pegademase bovine, adenosine deaminase deficiency
58,"['828529', '1370439']",Human Serum Albumin," severe blood loss, hypervolemia, and hypoproteinemia."
59,"['75635', '288688']",Eptifibatide, myocardial infarction and acute coronary syndrome.
60,"['191831', '1790539', '1927283']",Infliximab,"* reducing signs and sympms and inducing and maintaining clinical remission in adult or pediatric (≥ 6 years age) patients with moderately severely active **crohn’s disease** who have had an inadequate response conventional therapy * reducing the number draining enterocutaneous and recvaginal fistulas and maintaining fistula closure in adult patients with fistulizing **crohn’s disease**. * reducing signs and sympms, inducing and maintaining clinical remission and mucosal healing, and eliminating corticosteroid use in adult or pediatric (≥ 6 years age) patients with moderately severely active **ulcerative colitis** who have had an inadequate response conventional therapy. * , in combination with methotrexate, reducing signs and sympms, inhibiting the progression structural damage, and improving physical function in patients with moderately severely active **rheumaid arthritis**. * reducing signs and sympms in patients with active **ankylosing spondylitis**. * reducing signs and sympms active arthritis, inhibiting the progression structural damage, and improving physical function in patients with **psoriatic arthritis**. * the adult patients with chronic severe (i.e., extensive and/or disabling) **plaque psoriasis** who are candidates systemic therapy and when other systemic therapies are medically less appropriate."
61,"['25357', '227518', '386938']",Follitropin,"in women having been diagnosed with primary ovarian failure, it is in combination with human chorionic gonadotropin (hcg) assist in ovulation and fertility. in men with hypogonadotrophic hypogonadism, it is induce spermagenesis. may also be cause the ovary produce several follicles, which can then be harvested use in gamete intrafallopian transfer (gift) or in vitro fertilization (ivf)."
62,['11149'],Vasopressin," the enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding"
63,"['72257', '72258']",Interferon beta-1b, is a drug the relapsing/remitting multiple sclerosis. it has been shown slow the advance the disease as well as decrease the frequency attacks.
64,['59744'],Interferon alfacon-1," the hairy cell leukemia, malignant melanoma, and aids-related kaposi's sarcoma"
65,"['5464', '486164']",Hyaluronidase, increase absorption and distribution other injected drugs and rehydration.
66,"['221109', '1309342']",Insulin Pork, the type i and ii diabetes mellitus.
67,['224905'],Trastuzumab," early stage her2-positive breast cancer, or metastatic breast cancer that substantially overexpress her2."
68,['121191'],Rituximab," cd20-positive non-hodgkins lymphoma, chronic lymphocytic leukemia, and rheumaid arthritis."
69,['196102'],Basiliximab, prophylactic kidney transplant rejection
70,['42405'],Muromonab," organ transplant recipients, prevention organ rejection"
71,['1745257'],Digoxin Immune Fab (Ovine), digixin overdose or digitalis glycoside xicity.
72,['262323'],Ibritumomab tiuxetan, non-hodgkin's lymphoma
73,['22299'],Daptomycin, the complicated skin and skin structure infections ca by susceptible strains gram-positive microorganisms.
74,['263010'],Tositumomab," non-hodgkin's lymphoma (cd20 positive, follicular)"
75,['278739'],Pegvisomant, is a growth hormone recepr antagonist the acromegaly.
76,"['1712', '860168', '860189', '1000104']",Botulinum Toxin Type A," the cervical dysnia in adults decrease the severity abnormal head position and neck pain associated with cervical dysnia. also the severe primary axillary hyperhidrosis that is inadequately managed with pical agents and the strabismus and blepharospasm associated with dysnia, including benign essential blepharospasm or vii nerve disorders in patients 12 years age and above. also cosmetically temporarily improve the appearance moderate--severe frown lines between the eyebrows (glabellar lines) as well as the excessive underarm sweating."
77,"['7880', '235379']",Pancrelipase," exocrine pancreatic insufficiency in cystic fibrosis (ultresa™), chronic pancreatitis (viokace™ in combination with a pron pump inhibir), and pancreatecmy (viokace™ in combination with a pron pump inhibir)."
78,['10106'],Streptokinase," the acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion arteriovenous cannulae"
79,['117055'],Alemtuzumab, (campath) is a monoclonal antibody therapy b-cell chronic lymphocytic leukemia.
80,['46049'],Alglucerase, the gaucher's disease (deficiency in glucocerebrosidase)
81,['136300'],Capromab pendetide, diagnosis prostate cancer and intra-pelvic metastases.
82,['392509'],Laronidase, the mucopolysaccharidosis
83,['3008'],Cyclosporine," transplant (kidney, liver, and heart) rejection, rheumaid arthritis, severe psoriasis."
84,['299635'],Alefacept,"as an immunosuppressive drug, can be moderate severe chronic plaque psoriasis"
85,['4319'],Felypressin," use as an alternative adrenaline as a localising agent, provided that local ischaemia is not essential."
86,['134404'],Urofollitropin, female infertility
87,['356988'],Efalizumab," the adult patients with moderate severe chronic plaque psoriasis, who are candidates photherapy or systemic therapy."
88,['283550'],Choriogonadotropin alfa, the female infertility
89,"['107044', '225741']",Antithymocyte immunoglobulin (rabbit), prevention renal transplant rejection
90,"['68442', '1433764', '1605064']",Filgrastim," is in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. it is also in cancer patients receiving bone marrow transplant. in general, neutrophil counts in order decrease the risk infection or duration neutropenia in the aementioned patient populations. infection and neutropenia are adverse events associated with chemotherapy. furthermore, is also patients with severe chronic neutropenia. it mobilizes hemapoietic progenir cells in the peripheral blood collection by leukapheresis allow a more rapid engraftment. tbo- has a narrower indication prile than neupogen - it is a leukocyte growth facr the reduction in the duration severe neutropenia in patients with non-myeloid malignancies."
91,['1300488'],Coagulation Factor IX (Recombinant), hemophilia (christmas disease).
92,['115238'],Becaplermin, pical skin ulcers (from diabetes)
93,"['259351', '338817']",Agalsidase beta, fabry's disease (alpha-galacsidase a deficiency)
94,['7617'],Octreotide, acromegaly and reduction side effects from cancer chemotherapy
95,['5880'],"Interferon Alfa-2b, Recombinant"," the hairy cell leukemia, malignant melanoma, and aids-related kaposi's sarcoma."
96,['301739'],Abarelix, palliative advanced prostate cancer.
97,['7824'],Oxytocin," labor induction, augmentation labor, postpartum abbreviation third stage labor, postpartum control uterine bleeding, termination pregnancy and the evaluation fetal respirary capability. oxycin cannot be elective induction labor, there must be a clear medical requirement."
98,['354770'],Natalizumab, multiple sclerosis.
99,['139896'],Enfuvirtide, is an antiretroviral drug in combination therapy the hiv-1/aids.
100,['194279'],Palivizumab, prophylaxis respirary diseases casued by respirary syncytial virus.
101,['190353'],Daclizumab,zenapax is a humanized monoclonal antibody prevention renal transplant rejection
102,['253337'],Bevacizumab,as part combination therapy metastatic colorectal cancer and her2-negative metastatic breast cancer.
103,['230435'],Technetium Tc-99m arcitumomab, imaging colorectal tumors
104,"['9004', '1599827']",Pyridoxal Phosphate, nutritional supplementation and treating dietary shortage or imbalance.
105,['11248'],Cyanocobalamin, pernicious anemia (due lack or inhibition intrinsic facr) and prevention and vitamin b 12 deficiency.
106,['5340'],Histidine,the actions supplemental l- are entirely unclear. it may have some immunomodulary as well as antioxidant activity. l- may be use in some with rheumaid arthritis. it is not anemia or uremia or lowering serum cholesterol.
107,['9504'],Ademetionine,"s-adenosylmethionine (same) is as a drug in europe the depression, liver disorders, fibromyalgia, and osteoarthritis. it has also been introduced in the united states market as a dietary supplement the support bone and joint health, as well as mood and emotional well being."
108,['35161'],Pyruvic acid," nutritional supplementation, also treating dietary shortage or imbalance"
109,['8156'],L-Phenylalanine, may be helpful in some with depression. it may also be useful in the vitiligo. there is some evidence that may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have neuroleptic drugs.
110,"['1588', '314583']",Biotin," nutritional supplementation, also treating dietary shortage or imbalance."
111,['2449'],Choline," nutritional supplementation, also treating dietary shortage or imbalance"
112,['6536'],L-Lysine,supplemental has putative anti-herpes simplex virus activity. there is preliminary research suggesting that it may have some anti-osteoporotic activity.
113,['1091'],L-Arginine," nutritional supplementation, also treating dietary shortage or imbalance."
114,"['1151', '1370460']",Vitamin C," treat deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. it has also been suggested be an effective antiviral agent."
115,['1483263'],Spermine," nutritional supplementation, also treating dietary shortage or imbalance"
116,"['1169', '42543']",L-Aspartic Acid,"there is no support the claim that aspartates are exercise permance enhancers, i.e. ergogenic aids."
117,"['7704', '314709']",Ornithine," nutritional supplementation, also treating dietary shortage or imbalance. it has been claimed that improves athletic permance, has anabolic effects, has wound-healing effects, and is immuno-enhancing."
118,['4885'],L-Glutamine," nutritional supplementation, also treating dietary shortage or imbalance. reduce the acute complications sickle cell disease in adult and pediatric patients 5 years age and older [fda label]."
119,['309'],Adenosine monophosphate," nutritional supplementation, also treating dietary shortage or imbalance"
120,['52071'],Alpha-Linolenic Acid, nutritional supplementation and treating dietary shortage or imbalance.
121,['9671'],Serine, as a natural moisturizing agent in some cosmetics and skin care products.
122,['6837'],L-Methionine," protein synthesis including the mation same, l-homocysteine, l-cysteine, taurine, and sulfate."
123,['10962'],L-Tyrosine,"tyrosine is claimed act as an effective antidepressant, however results are mixed. tyrosine has also been claimed reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies."
124,['1894'],Calcitriol," treat vitamin d deficiency or insufficiency, refracry rickets (vitamin d resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. also in conjunction with calcium in the and prevention primary or corticosteroid-induced osteoporosis."
125,['11359'],Lutein,"xanthophylls are taken nutritional supplementation, and also treating dietary shortage or imbalance."
126,['3036'],Cystine,"it has been claimed that l-cysteine has anti-inflammary properties, that it can protect against various xins, and that it might be helpful in osteoarthritis and rheumaid arthritis. more research will have be done bee l-cysteine can be any these conditions. research date has mostly been in animal models."
127,"['37255', '1307106']",Succinic acid," nutritional supplementation, also treating dietary shortage or imbalance"
128,['9346'],Riboflavin, the ariblavinosis (vitamin b2 deficiency).
129,['1362871'],N-Acetylglucosamine," the and prevention osteoarthritis, by itself or in combination with chondroitin sulfate."
130,"['25916', '70602']",Glutamic Acid,"considered be nature's ""brain food"" by improving mental capacities; helps speed the healing ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving sugar."
131,['4890'],Glutathione," nutritional supplementation, also treating dietary shortage or imbalance"
132,['89959'],Phosphatidyl serine,"phosphatidylserine has demonstrated some usefulness in treating cognitive impairment, including alzheimer's disease, age-associated memory impairment and some non-alzheimer's dementias. more research is needed bee phosphatidylserine can be immune enhancement or reduction exercise stress."
133,['4919'],Glycine,supplemental may have antispastic activity. very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammary activities.
134,"['1889', '1855064']",Calcidiol," treat vitamin d deficiency or insufficiency, refracry rickets (vitamin d resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. also in conjunction with calcium in the and prevention primary or corticosteroid-induced osteoporosis."
135,['9002'],Pyridoxal," is one the natural ms available vitamin b6, theree, it is nutritional supplementation and treating dietary shortage or imbalances."
136,['2907'],Creatine," nutritional supplementation, also treating dietary shortage or imbalance"
137,['6308'],L-Leucine, assist in the prevention the breakdown muscle proteins that sometimes occur after trauma or severe stress.
138,['10898'],L-Tryptophan,"trypphan may be useful in increasing seronin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain lerance, and managing weight."
139,['3024'],L-Cysteine, the prevention liver damage and kidney damage associated with overdoses acetaminophen
140,['10454'],Thiamine," the and niacin deficiency states, korsakov's alcoholic psychosis, wernicke-korsakov syndrome, delirium, and peripheral neuritis."
141,['4018'],Ergocalciferol," use in the hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as the familial hypophosphatemia (vitamin d resistant rickets). this drug has also been in the nutritional rickets or osteomalacia, vitamin d dependent rickets, rickets or osteomalacia secondary long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with fanconi syndrome (with acidosis)."
142,['2567'],L-Citrulline," nutritional supplementation, also treating dietary shortage or imbalance."
143,['10524'],L-Threonine," makes up collagen, elastin, and enamel protein. it aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation."
144,['7222'],NADH,"some evidence suggests that might be useful in treating parkinson's disease, chronic fatigue syndrome, alzheimer's disease and cardiovascular disease."
145,"['4511', '62356', '202634']",Folic Acid," deficiency, megaloblastic anemia and in anemias nutritional supplements, pregnancy, infancy, or childhood."
146,['90'],Icosapent,"epa can be lowering elevated triglycerides in those who are hyperglyceridemic. in addition, epa may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression diabetic nephropathy."
147,['426'],L-Alanine, protein synthesis.
148,['11115'],L-Valine,"promotes mental vigor, muscle coordination, and calm emotions. may also be use in a minority patients with hepatic encephalopathy and in some with phenylkenuria."
149,['1367187'],Vitamin A, the deficiency.
150,"['11256', '237099']",Vitamin E,", known its antioxidant activities, is protective against cardiovascular disease and some ms cancer and has also demonstrated immune-enhancing effects. it may be limited benefit in some with asthma and rheumaid arthritis. it may be helpful in some neurological diseases including alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. it may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise permance are poorly supported. it may help relieve some muscle cramps."
151,"['42954', '684879']",Pyridoxine, the vitamin b6 deficiency and the prophylaxis isoniazid-induced peripheral neuropathy.
152,['6417'],Lipoic Acid," nutritional supplementation, also treating dietary shortage or imbalance."
153,['6033'],L-Isoleucine,the branched-chain amino acids may have antihepatic encephalopathy activity in some. they may also have anticatabolic and antitardive dyskinesia activity.
154,['1311524'],Aspartame, as a diet supplement and sugar substitute.
155,['2418'],Cholecalciferol," the vitamin d deficiency or insufficiency, refracry rickets (vitamin d resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. also in conjunction with calcium in the and prevention primary or corticosteroid-induced osteoporosis."
156,['6728'],Menadione,"the primary known function vitamin k is assist in the normal clotting blood, but it may also play a role in normal bone calcification."
157,['318'],ATP," nutritional supplementation, also treating dietary shortage or imbalance"
158,['8737'],L-Proline, is extremely important the proper functioning joints and tendons and also helps maintain and strengthen heart muscles.
159,['290'],Adenine," nutritional supplementation, also treating dietary shortage or imbalance"
160,['1157'],L-Asparagine," nutritional supplementation, also treating dietary shortage or imbalance."
161,['42463'],Pravastatin, the hypercholesterolemia and reduce the risk cardiovascular disease.
162,['42355'],Fluvoxamine, depression and obsessive compulsive disorder (ocd). has also been in the bulimia nervosa.
163,['69749'],Valsartan,"may be as a first line agent treat uncomplicated hypertension, isolated syslic hypertension and left ventricular hypertrophy. may be as a first line agent delay progression diabetic nephropathy. losartan may be also as a second line agent in the congestive heart failure, syslic dysfunction, myocardial infarction and coronary artery disease in those inlerant ace inhibirs."
164,"['35296', '262418']",Ramipril," the mild severe hypertension. may be reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs congestive heart failure within a few days following myocardial infarction. reduce the rate death, myocardial infarction and stroke in individuals at high risk cardiovascular events. may be slow the progression renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy."
165,['227239'],Masoprocol, the actinic kerases (precancerous skin growths that can become malignant if left untreated).
166,"['25120', '1546428']",Flunisolide, the maintenance asthma as a prophylactic therapy.
167,['1292'],Baclofen," the alleviation signs and sympms spasticity resulting from multiple sclerosis, particularly the relief flexor spasms and concomitant pain, clonus, and muscular rigidity."
168,['725'],Amphetamine," attention deficit disorder with hyperactivity (addh), narcolepsy, and exogenous obesity as a short term (a few weeks) adjunct in a regimen weight reduction based on caloric restriction patients refracry alternative therapy."
169,['7993'],Pentagastrin, as a diagnostic aid evaluation gastric acid secrery function
170,"['7407', '31765']",Nicotine, the relief withdrawal sympms and as an aid smoking cessation.
171,['44281'],Cevimeline, the sympms dry mouth in patients with sj&ouml;gren's syndrome.
172,['6470'],Lorazepam," the anxiety disorders, and status epilepticus."
173,['49737'],Esmolol," the rapid control ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, posperative, or other emergent circumstances where short term control ventricular rate with a short-acting agent is desirable. also in noncompensary sinus tachycardia where the rapid heart rate requires specific intervention."
174,['358258'],Bortezomib, multiple myeloma in patients who have not been successfully treated with at least two previous therapies.
175,['4118'],Ethchlorvynol," short-term hypnotic therapy in the insomnia periods up one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents."
176,['2019'],Carbidopa," the sympms idiopathic parkinson's disease (paralysis agitans), post-encephalitic parkinsonism"
177,"['8152', '221138']",Phentermine, the and obesity.
178,['10689'],Tramadol," in the moderate severe pain. consider those prone constipation or respirary depression. is treat posperative, dental, cancer, and acute musculosketetal pain and as an adjuvant nsaid therapy in patients with osteoarthritis."
179,['11194'],Vidarabine," chickenpox - varicella, herpes zoster and herpes simplex"
180,['1520'],Betaxolol, the hypertension.
181,['4450'],Fluconazole, the fungal infections.
182,['72610'],Troglitazone," the type ii diabetes mellitus. it is alone or in combination with a sulfonylurea, metmin, or insulin as an adjunct diet and exercise."
183,['260101'],Oseltamivir, (tamiflu) is the uncomplicated acute illness due influenza infection in patients 1 year and older who have been sympmatic no more than 2 days. it is also the prophylaxis influenza in adult patients and adolescents 13 years and older.
184,['4053'],Erythromycin," use in the infections ca by susceptible strains microorganisms in the following diseases: respirary tract infections (upper and lower) mild moderate degree, pertussis (whooping cough), as adjunct antixin in infections due <i>corynebacterium diphtheriae</i>, in the infections due <i>corynebacterium minutissimum</i>, intestinal amebiasis ca by <i>entamoeba hislytica</i>, acute pelvic inflammary disease ca by <i>neisseria gonorrhoeae</i>, skin and st tissue infections mild moderate severity ca by <i>strepcoccus pyogenes</i> and <i>staphylococcus aureus</i>, primary syphilis ca by <i>treponema pallidum</i>, infections ca by <i>chlamydia trachomatis</i>, nongonococcal urethritis ca by <i>ureaplasma urealyticum</i>, and legionnaires' disease ca by <i>legionella pneumophila</i>."
185,['5514'],Hydroxocobalamin," pernicious anemia and the prevention and vitamin b12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. also the known or suspected cyanide poisoning."
186,['1886'],Caffeine," fatigue, orthostatic hypotension, and the short term apnea prematurity in infants."
187,['10154'],Succinylcholine," in surgical procedures where a rapid onset and brief duration muscle relaxation is needed (includes intubation, endoscopies, and ect)"
188,['136411'],Sildenafil, the erectile dysfunction and relieve sympms pulmonary arterial hypertension (pah).
189,['49247'],Dofetilide, the maintenance normal sinus rhythm (delay in time recurrence atrial fibrillation/atrial flutter [af/afl]) in patients with atrial fibrillation/atrial flutter greater than one week duration who have been converted normal sinus rhythm
190,['9010'],Pyrimethamine, the xoplasmosis and acute malaria; the prevention malaria in areas non-resistant 
191,['9260'],Reserpine,foe the hypertension
192,['18631'],Azithromycin," the patients with mild moderate infections ca by susceptible strains the designated microorganisms in the specific conditions: <i>h. influenzae</i>, <i>m. catarrhalis</i>, <i>s. pneumoniae</i>, <i>c. pneumoniae</i>, <i>m. pneumoniae</i>, <i>s. pyogenes</i>, <i>s. aureus</i>, <i>s. agal</i>"
193,['10594'],Ticlopidine," in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, try prevent another thrombotic stroke."
194,['236778'],Trospium," the overactive bladder with sympms urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency micturition."
195,"['60223', '153184']",Adapalene," the pical comedo, papular and pustular acne (acne vulgaris) the face, chest or back."
196,['6963'],Midodrine, the sympmatic orthostatic hypotension (oh).
197,['40790'],Pantoprazole,short-term (up 16 weeks) erosive esophagitis.
198,['38413'],Torasemide," the edema associated with congestive heart failure, renal disease, or hepatic disease. also the hypertension alone or in combination with other antihypertensive agents."
199,['2556'],Citalopram," the depression. unlabeled indications include: mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (ocd) in children, and diabetic neuropathy."
200,['231049'],Eletriptan, the acute migraine with or without aura in adults.
201,['1523'],Bethanidine, the hypertension.
202,['139462'],Moxifloxacin," the sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. also the bacterial conjunctivitis (pinkeye)."
