"","Blank 1","Frequency","Blank 2","Frequency"
"147","subjects with known or suspected",1,"either remote or current or presence of carcinomatous meningitis are not eligible                                                                                                                                             ",1
"148","history or clinical evidence of",1,"or carcinomatous meningitis                                                                                                                                                     ",1
"160","patients with known uncontrolled",1,"or leptomeningeal metastases are not allowed .                                                                                                                                                   ",1
"162","patient must not have known active",1,"leptomeningeal disease or bone metastases                                                                                                                                                      ",1
"166","known history or evidence of",1,"or leptomeningeal metastases are not allowed                                                                                                                                                    ",1
"168","first presentation of",1,"except as for inclusion criterion 6 .                                                                                                                                                 ",1
"169","subjects may have distant metastasis including",1,"unless asymptomatic and treated or leptomeningeal metastases including suspected leptomeningeal spread with positive cytology                                                                                                                                            ",1
"176","participant had breast cancer with",1,"or leptomeningeal metastases .                                                                                                                                                     ",1
"180","known history of",1,"",NA
"181","evidence for hemorrhage within any of the",1,"",NA
"183","subject has known history of",1,"",NA
"190","known active",1,"",NA
"192","clinical evidence of",1,"",NA
"194","participants must not have active",1,"",NA
"202","leptomeningeal metastases or",1,"",NA
"207","has active",1,"",NA
