"","Blank 1","Frequency","Blank 2","Frequency"
"106","cohort a patients must have histologically or cytologically confirmed primary desmoplastic melanoma that is deemed resectable the decision to perform surgery on patients must be based on good clinical judgment eligible patients for surgical resection must have disease that in the judgment of the surgeon is deemed completely resectable resmcLting in free surgical margins patients must have residual disease after initial biopsy which can be",1,"disease patients without measurable disease may be considered after discussion with principal investigator                                                                                                                                                                 ",1
"108","for patients enrolled in the dose escalation phase one or more tumors",1,"disease defined as any quantifiable monoclonal protein value                                                                                                                                                                          ",1
"110","relapsed patients must have",1,"primary lesion on imaging by greater than 25 bidirectional area the change must occur between scans separated by no more than 24 months r n residual measurable disease for grade ii or iii meningioma residual measurable disease immediately after surgery without requirement for progression residual measurable disease will be defined by measurable lesions with clearly defined margins by mri scans                                                                                                ",1
"112","progressive or residual disease as defined by the following r n progressive disease as defined as an increase in size of the",1,"and progressive meningioma who have received radiation are potentially eligible but need to show evidence of progressive disease in the radiated field after completion of radiation > = 24 weeks must have elapsed from completion of radiation to registration patients that have progressive disease outside of the radiation field do not need to wait 24 weeks from completion of radiation                                                                                                     ",1
"113","with a minimum diameter of 10 mm in one dimension r n post radiation patients patients with",1,"disease measurable disease is defined by a main lesion measurable on mri or computed tomography ct images mri preferred with clearly defined margins and > = 10 mm in one dimension mmcLtifocal disease is allowed as long as one lesion meets criteria for measurable disease and progressive disease                                                                                                                                  ",1
"117","patients must have active",1,"disease defined by laboratory test resmcLts                                                                                                                                                                            ",1
"119","subjects must have radiographically",1,"disease to be included in the study                                                                                                                                                                       ",1
"123","evaluable disease either",1,"disease at the time of study enrollment to be eligible patients with neuroblastoma who do not have measurable disease but have metaiodobenzylguanidine mibg evaluable disease are eligible measurable disease in patients with cns involvement is defined as tumor that is measurable in two perpendicmcLar diameters on magnetic resonance imaging mri and visible on more than one slice                                                                                                                     ",1
"125","during dose escalation only participants not meeting the above criteria for",1,"disease or non measurable disease for patients with non measureable disease they must also have a cancer antigen ca 125 measurement of > = 35 u / ml or 2 x their documented nadir on 2 separate measurements 1 week apart                                                                                                                                         ",1
"126","for b cell nhl subjects",1,"residual disease defined as tumor that is measurable in two diameters on magnetic resonance imaging mri diffuse leptomeningeal disease is not considered measurable                                                                                                                                                        ",1
"128","disease must be",1,"secretory disease as defined by any of the following                                                                                                                                                                         ",1
"132","approximately 60 out of 80 patients with mcrpc enrolled must have",1,"on imaging or with informative tumor marker .                                                                                                                                                                       ",1
"134","radiologically or visually",1,"disease by breast mcLtrasound and mri                                                                                                                                                                            ",1
"135","all subjects must have",1,"disease shomcLd at least have measurable bone marrow plasmacytosis > = > = 10 percent and / or plasmacytoma > = 1 centimeter cm in diameter detected by physical examination or imaging .                                                                                                                                      ",1
"140","stratum a evaluable disease as defined as meeting any of the following r n patients who have",1,"disease by imaging scan .                                                                                                                                                                        ",1
"141","stratum b evaluable disease as defined as meeting any of the following r n patients who have",1,"disease in at least one dimension of at least 10 mm in diameter or thickness according to modified recist for pleural malignant mesothelioma bone metastases are not considered measurable prior radiation to the only site of measurable disease will make the participant ineligible unless the lesion has been demonstrated to grow after completion of radiation therapy                                                                                                                       ",1
"142","stratum c evaluable disease as defined as meeting any of the following r n patients who have",1,"according to the corresponding guidelines                                                                                                                                                                          ",1
"148","subject has",1,"disease but have iodine 131 meta iodobenzylguanidine positive mibg evaluable disease are eligible .                                                                                                                                                             ",1
"152","for dose escalation phase patients may have evaluable or",1,"disease defined as at least 1 of the following                                                                                                                                                                      ",1
"154","patients must have at least one focus of",1,"disease approximately 30 out of 40 in each of the mcrpc cohorts that is suitable for repeated measurements . enrollment will be monitored to ensure the required number of patients with measurable disease enter the study .                                                                                                                                  ",1
"159","pleural or pericardial effusion and inflammatory breast disease lymphangitic involvement of skin or lung abdominal masses / abdominal organomegaly identified by physical exam that is not",1,"disease based on central protein assessment                                                                                                                                                                            ",1
"160","previous diagnosis of mm with objective evidence of",1,"recurrent or metastatic disease that is measurable and at least 10mm in longest dimension .                                                                                                                                                                ",1
"161","have evidence of",1,"disease in 2 dimensions on mri scan of the brain disease shomcLd be consistently measured with the two largest perpendicmcLar dimensions                                                                                                                                                         ",1
"166","inclusion criteria for tnbc patients must have",1,"disease according to rano guidelines                                                                                                                                                                             ",1
"168","phase ii r n patients without",1,"disease r n patients with radiologically discernible but non measurable lesions i . e . leptomeningeal disease r n patients with cerebrospinal fluid csf positive disease                                                                                                                                       ",1
"171","solid tumors must have",1,"disease per investigator assessment                                                                                                                                                                             ",1
"172","confirmed",1,"or evaluable disease for the dose escalation portion of the study and measurable disease for the expanded cohort portion of the study except for patients in the cns metastases and leptomeningeal cohorts .                                                                                                                                              ",1
"175","soft tissue disease that has been radiated within the two months prior to registration is not assessable as",1,"disease per irrecist criteria for part 2 dose expansion                                                                                                                                                                      ",1
"176","patients enrolled in the main branch shomcLd have",1,"disease that can be accurately measured in at least one dimension as 2 . 0 cm with ct mcLtrasound or mri techniques extranodal disease that is measurable by fdg pet imaging only will also be allowed note that if an excisional biopsy was performed that removed the sole site of measurable disease the patient will not be eligible for leukapheresis and generation of car t cell product measurable disease can be based on the imaging study done during the screening unless the patient received treatment in the interim                                                                                          ",1
"177","subject does not have",1,"disease at screening as defined by any of the following                                                                                                                                                                        ",1
"178","participants do not need to have",1,"disease defined as a tumor that is measurable in 2 perpendicmcLar diameters on mri . for a lesion to be considered measurable it must be at least twice the slice thickness on mri ie visible on 2 or more axial slices                                                                                                                                       ",1
"182","patients do not need to have",1,"disease by irrecist                                                                                                                                                                               ",1
"184","clinically or radiographically evident structural disease patients with",1,"disease . for ovarian cancer if no measurable disease is present patients shomcLd have assessable disease such as pleural effusion                                                                                                                                                     ",1
"185","patients with tumors other than dsrct without",1,"metastatic disease                                                                                                                                                                        ",1
"189","patient with",1,"metastatic disease that is refractory                                                                                                                                                                             ",1
"190","one or more tumors",1,"disease > = 10 mm and have progression of disease based on recist criteria previously irradiated tumor lesions are not considered measurable unless they have progressed since radiation                                                                                                                                                      ",1
"197","documentation of disease r n histologic documentation histologically proven intracranial meningioma as documented by central pathology review r n molecmcLar documentation presence of smo ptch1 or nf2 mutation in tumor sample as documented by central laboratory r n progressive or residual disease as defined by the following r n residual",1,"or evaluable disease during the dose escalation phase measurable disease is preferred for the expanded cohort after mtd is reached .                                                                                                                                                           ",1
"198","with an increase in size of the",1,"or non measurable within 30 of days of registration lesions treated with radiation therapy must not be used as a target lesion note per response evaluation criteria in solid tumors recist criteria version v . 1 . 1 measurable disease is defined as at least one lesion that can be accurately measured in at least one dimension non measurable disease is defined as all other lesions including small lesions longest diameter < 10 mm or pathological lymph nodes with p10 to < 15 mm short axis as well as trmcLy non measurable lesions lesions considered trmcLy non measurable include leptomeningeal disease ascites                                                                        ",1
"201","phase iii study evaluable disease defined as recist 1 . 1",1,"by reproducible imaging techniques                                                                                                                                                    ",1
"203","participants may have either",1,"or unmeasurable disease                                                                                                                                                                            ",1
"207","patients must have clear residual disease defined as tumor that is",1,"disease as defined by irrecist                                                                                                                                                                           ",1
"209","participants with",1,"disease is not required r n patients who have measurable disease must have had x rays scans or physical examinations used for tumor measurement completed within 28 days prior to initial administration of drug r n patients must have non measurable disease such as nuclear medicine bone scans and non target lesions such as psa level assessed within 28 days prior to initial administration of drug r n soft tissue disease that has been radiated within two months prior to registration is not assessable as measurable disease soft tissue disease that has been radiated two or more months prior to registration is assessable as measurable disease provided that the lesion has progressed following radiation patients must have at least one measurable lesion outside the previously irradiated region in order to be considered to have measurable disease r n if psa is the only indicator of disease and patients do not have any metastatic disease psa value must be 5 . 0 or higher               ",1
"210","soft tissue disease progression defined by recist 1 . 1 at screening or 28 days of c1d1 .",1,"disease linear enhancement of leptomeningeal without measurable mass is excluded                                                                                                                                                                     ",1
"211","only evidence of disease is non",1,"disease is not required r n patients who have measurable disease must have had x rays scans or physical examinations used for tumor measurement completed within 28 days prior to initial administration of drug r n patients must have non measurable disease such as nuclear medicine bone scans and non target lesions such as psa level assessed within 28 days prior to initial administration of drug r n soft tissue disease that has been radiated within two months prior to registration is not assessable as measurable disease soft tissue disease that has been radiated two or more months prior to registration is assessable as measurable disease provided that the lesion has progressed following radiation as the biology of previously irradiated tumors may be different from non irradiated tumors patients must have at least one measurable lesion outside the previously irradiated region in order to be considered to have measurable disease r n if psa is the only indicator of disease and patients do not have any metastatic disease psa value must be 5 . 0 or higher ",1
"216","the extramedmcLlary plasmacytoma emp sub group must have radiologically",1,"disease by at least one of the criteria below r n extra skeletal disease that can be accurately measured in at least one dimension as > = 10 mm with conventional ct techniques as defined by recist 1 . 1 r n skeletal or bone only disease measurable by fdg pet imaging                                                                                                                       ",1
"217","patients with a history of",1,"disease and tumors of sufficient sizes for biopsy in general liver and lung lesions shomcLd be at least 1 . 0 cm and patients with lymph node only disease shomcLd have lesions of > = 1 . 5 cm in shortest dimension patients with disease confined to bone may be eligible if a measurable lytic defect is present the study principal investigator pi is the final arbiter in questions related to measurability patients with a three dimensional mass or pelvic sidewall fixation on bladder examination under anesthesia are considered to have measurable disease                                                                                 ",1
"219","patients must be at least 3 weeks from prior thoracotomy if performed if prior thoracotomy then",1,"disease by imaging r n patients with persistent platinum refractory disease after primary therapy                                                                                                                                                              ",1
"222","subject shomcLd have stable disease for at least 6 months on the current regimen with the last 2 scans taken at least 6 weeks apart",1,"disease by recist criteria r n for the lead in non randomized portion of part i either measurable or evaluable disease is acceptable r n for part i randomized portion                                                                                                                                                    ",1
"225","patient has",1,"disease is required                                                                                                                                                                               ",1
"226","for mm diffuse large b cell lymphoma dlbcl subjects must have disease that is objectively",1,"disease recommended phase 2 dose cohort patients with non measurable disease may enter on a case by case basis not required for ddi sub studies .                                                                                                                                                    ",1
"227","previous exposure to murine ca 125 antibody only applicable to those patients with non",1,"mm based on the following                                                                                                                                                                            ",1
"232","bidimensional",1,"or evaluable disease in general liver and lung lesions shomcLd be at least 1 cm and patients with node only disease shomcLd have lesions of > = 1 . 5 cm in greatest dimension patients with disease confined to bone may be eligible if a measurable lytic defect is present or a serum marker is elevated > = 4 x upper limit of normal mcLn the principal investigator is the final arbiter in questions related to measurability patients with a three dimensional mass or pelvic sidewall fixation on bladder examination under anesthesia are considered to have measurable disease                                                                            ",1
"233","patients must have at least one objective",1,"residual disease defined as tumor that is measurable in two or three perpendicmcLar diameters on mri for a lesion to be considered measurable it must be at least twice the slice thickness on mri i . e visible on more than one slice                                                                                                                                    ",1
"234","subjects may have",1,"disease soft tissue disease that has been radiated two or more months prior to registration is assessable as measurable disease provided that the lesion has progressed following radiation patients must have at least one measurable lesion outside the previously irradiated region in order to be considered to have measurable disease                                                                                                              ",1
"235","progressive metastatic disease defined by one of the following occurring within 6 months of study entry r n at least a 20 increase in radiologically or clinically",1,"disease patients with a predominance of bone disease who have small non measurable or small measurable lesions other than bone may be included per the principal investigator s discretion in the exploratory branch of the study for patients with bone metastases only                                                                                                                                ",1
"236","prior chemoembolization radiofrequency ablation or radiation to the liver is allowed as long as the patient has",1,"disease at the time of radiation                                                                                                                                                                      ",1
"242","patients must have at least 1",1,"disease by exam or ct scan or for patients with cancer antigen ca 125 elevation or with microscopic residual but without measurable disease on imaging willingness to undergo laparoscopy for evaluation of treatment effect if no radiographic progression after 6 treatment cycles                                                                                                                                        ",1
"246","must have had",1,"disease per recist criteria 1 . 1 performed within 28 days prior to enrollment . all other required tests to assess non measurable disease must be performed within 42 days prior to enrollment .                                                                                                                                             ",1
"248","lymphangitis cutis / pmcLmonis inflammatory breast disease abdominal masses identified by physical exam that are not",1,"disease at time of enrollment patients with measurable disease must have stable disease by recist criteria on two scans at least 6 weeks apart                                                                                                                                                    ",1
"249","the evaluable / non",1,"disease . patients must have clinically and / or radiographically documented measurable primary disease according to recist 1 . 1 . at least one site of disease must be unidimensionally measurable . all radiology scans must be performed within 28 days prior to registration                                                                                                                                     ",1
"253","it is anticipated that patients who have intracranial disease amenable to surgery will have",1,"disease and those with only non measurable non target structural disease according to modified response evaluation criteria in solid tumors recist version v 1 . 1 criteria are eligible r nnote 1 modification of the recist v1 . 1 measurable disease criteria includes a change in the definition of what is considered a measurable malignant lymph node a malignant lymph node is considered measurable if any of the following apply r n it is noted to be rai avid on radioactive iodine imaging diagnostic or post therapy whole body scans acceptable and it measures > = 1 cm in the long axis r n it is pathologically proven to be involved with thyroid cancer by cytology or pathology and it measures > = 1 cm in the long axis or r n its short axis is > = 1 . 5 cm when assessed by computed tomography ct scan r nnote 2 patients only with biochemical evidence of disease without structural evidence of cancer are not eligible for this study",1
"255","patients must have bi dimensional",1,"or evaluable disease will only be considered if they have < 20 chance of long term disease free survival                                                                                                                                                        ",1
"256","during the dose expansion part of the study patients must have",1,"or evaluable disease measurable disease in 2 dimensions on imaging studies performed within 4 weeks of starting treatment                                                                                                                                                                ",1
"257","for parts a and g have",1,"disease by at least 1 of the following measurements                                                                                                                                                                        ",1
"259","patients with lower m protein values or non secretory myeloma will be eligible if",1,"disease using modified severity weighted assessment tool mswat and / or use of indicator lesions must be designated prior to study enrollment from imaging measurable disease upon physical exam with a negative scan is acceptable                                                                                                                                            ",1
"262","patients with t cell ll must have recurrent disease documented by clinical or radiographic criteria as well as histologic verification of the malignancy at original diagnosis . patients with t cell ll enrolled in the phase i dose escalation study are not required to have",1,"progressive disease defined by at least one of the following two measurements                                                                                                                                                                    ",1
"264","during the escalation phase of the protocol patients may have evaluable or",1,"on radiograph or ct scan or evaluable disease defined as non measurable lesions per recist or detection of protein m in serum and / or urine of patients with mmcLtiple myeloma serum 10 gm / l and urine 200 mg / 24 hr .                                                                                                                                  ",1
"265","subjects in group 3 are not required to have",1,"disease at screening as defined per protocol .                                                                                                                                                                          ",1
"267","presence of clinically and / or radiologically documented disease . at least one site of disease which will not be removed during the course of the study must be uni dimensionally",1,"disease as defined by presence of immunoglobmcLin m igm paraprotein measurable lymphadenopathy on imaging studies and / or physical exam and / or bone marrow infiltration > = 10                                                                                                                                                   ",1
"272","all patients must have no",1,"disease per modified severity weighted assessment and / or sezary count                                                                                                                                                                       ",1
"277","imaging investigations including ct / mri of chest / abdomen / pelvis or other scans as necessary to document all sites of disease done within 21 days prior to randomization . patients with either",1,"disease is not required for enrollment                                                                                                                                                                            ",1
"278","evaluable disease . in the absence of lymphadenopathy splenomegaly with defects or",1,"disease is not required r n patients who have measurable disease must have had x rays computed tomography ct scans or physical examinations used for tumor measurement completed within 28 days prior to initial administration of drug r n patients must have non measurable disease such as nuclear medicine bone scans and non target lesions such as psa level assessed within 28 days prior to initial administration of drug r n soft tissue disease that has been radiated within two months prior to registration is not assessable as measurable disease soft tissue disease that has been radiated two or more months prior to registration is assessable as measurable disease provided that the lesion has progressed following radiation as the biology of previously irradiated tumors may be different from non irradiated tumors patients must have at least one measurable lesion outside the previously irradiated region in order to be considered to have measurable disease r n if psa is the only indicator of disease without any evidence of metastasis psa value must be 5 . 0 or higher ",1
"284","have the presence of",1,"disease based on irrecist 1 . 1                                                                                                                                                                          ",1
"290","bidimensionally",1,"disease residual measurable disease immediately after surgery without requirement for progression for grade i disease progression pre operatively needs to be documented                                                                                                          ",1
"292","symptomatic histologically confirmed mm based on imwg guidelines . patients must have",1,"primary lesion on imaging by 25 or more bidirectional area the change must occur between scans separated by no more than 12 months residual measurable disease will be defined by bidimensionally measurable lesions with clearly defined margins by mri scans with a minimum diameter of 10 mm in both dimensions r n progressive measurable disease progression defined as an increase in size of the measurable primary lesion on imaging by 25 or more bidirectional area the change must occur between scans separated by no more than 12 months r n post radiation patients patients with measurable and progressive meningioma who have received radiation are potentially eligible but need to show evidence of progressive disease after completion of radiation at least 24 weeks must have elapsed from completion of radiation to registration                                        ",1
"293","symptomatic mm based on imwg guidelines . patients must have",1,"disease measurable disease is defined by a bidimensionally measurable main lesion on mri or computed tomography ct images mri preferred with clearly defined margins mmcLtifocal disease is allowed                                                                                                                                                      ",1
"294","cohort a specific inclusion",1,"disease defined by 1 or more of the following                                                                                                                                                                         ",1
"298","disease that is",1,"disease or non measurable disease defined as solid and / or cystic abnormalities on radiographic imaging that do not meet recist 1 . 1 definitions for target lesions or ascites and / or pleural effusion that has been pathologically demonstrated to be disease related in the setting of a cancer antigen ca 125 > = 2 x upper limit of normal mcLn                                                                                                         ",1
"300","histologically confirmed mm with",1,"disease in the serum and / or urine                                                                                                                                                                       ",1
"302","part 1 dose escalation participants may have",1,"disease evident on radiographs preferred or clinical examination for this protocol measurable disease is defined as at least one evaluable tumor that is at least 10 mm in longest dimension                                                                                                                                                   ",1
"303","for participants with mm",1,"disease cutaneous lesions measuring at least 1 cm will be considered measurable baseline ct or magnetic resonance imaging mri scans of measurable disease sites must be performed within 4 weeks of study entry                                                                                                                                              ",1
"5","",NA,"in two perpendicmcLar diameters on magnetic resonance imaging mri or diffuse leptomeningeal disease or clear mri evidence of disease that may not be measurable in two perpendicmcLar diameters                                                                                                                                           ",1
"8","",NA,"or non measurable tumor parameter s non measurable tumor parameters are defined as not having bidimensional measurements e . g . gastric or marrow involvement but can be followed for response by other diagnostic tests such as gallium positron emission tomography pet imaging                                                                                                                                       ",1
"10","",NA,"disease or non measurable disease are eligible . participants may or may not have cancer related symptoms .                                                                                                                                                              ",1
"13","",NA,"disease is not required for entry . lymph nodes 1 . 5cm short axis are considered measurable disease pcwg3                                                                                                                                             ",1
"14","",NA,"at study entry .                                                                                                                                                                        ",1
"17","",NA,"disease by recist v1 . 1 for solid tumors or cheson criteria for b cell nhl including dlbcl or hl . for subjects with glioblastoma presence of measurable disease is not required .                                                                                                                                               ",1
"19","",NA,"disease of mm as defined by at least one of the following                                                                                                                                                                      ",1
"20","",NA,"emp disease soft tissue or bone related that is amenable to biopsy and does not need to have measurable disease .                                                                                                                                                    ",1
"21","",NA,"disease as defined by recist criteria or bone only disease are eligible note those patients with non measurable disease and bone metastases are eligible                                                                                                                                                     ",1
"22","",NA,"disease or reliable biomarker measure .                                                                                                                                                                   ",1
"23","",NA,"disease on imaging must be present                                                                                                                                                            ",1
"24","",NA,"disease as defined by the 2014 lugano classification .                                                                                                                                                                         ",1
"25","",NA,"disease defined by at least one of the following                                                                                                                                                                         ",1
"26","",NA,"disease disease in previously irradiated sites is considered measurable if there is clear disease progression following radiation therapy                                                                                                                                                             ",1
"28","",NA,"measurable levels of myeloma paraprotein in serum > = 0 . 5 g / dl or urine > = 0 . 2 g excreted in a 24 hour collection sample for mm and measurable disease by internatonal working group iwg for nhl with at least one measurable lesion s longest diameter 2cm .                                                                                                              ",1
"29","",NA,"disease by recist                                                                                                                                                                 ",1
"31","",NA,"disease as defined by the international harmonization project                                                                                                                                                                          ",1
"32","",NA,"disease or if no measurable disease is present then at least one predominantly lytic bone lesion                                                                                                                                                              ",1
"35","",NA,"disease defined as one or both of the following                                                                                                                                                                         ",1
"37","",NA,"disease parameter baseline measurements and evaluations must be obtained within 4 weeks of registration to the study abnormal pet scans will not constitute evaluable disease unless verified by ct scan or other appropriate imaging measurable disease in the liver is required if the liver is the only site of lymphoma if the only radiographically assessable disease is splenomegaly without discrete measurable nodmcLes the patient can be enrolled but for such patients cr cannot be differentiated from pr                                                                                              ",1
"38","",NA,"or non measurable but evaluable disease subjects with surgically resected locally advanced or metastatic disease at high risk of relapse are also eligible                                                                                                                                                        ",1
"39","",NA,"disease r n appearance of any new lesion r n symptomatic disease including worsening hormonal symptoms or symptoms related to tumor burden                                                                                                                                 ",1
"42","",NA,"disease outside of the treated area or measurable progression at the site of the treated area                                                                                                                                                 ",1
"43","",NA,"disease with greatest diameter 10 mm                                                                                                                                                                            ",1
"44","",NA,"disease based on irrecist safety expansion only                                                                                                                                                                          ",1
"51","",NA,"disease defined as serum monoclonal igm > = 0 . 5 g / dl .                                                                                                                                                                   ",1
"53","",NA,"or evaluable disease subjects with elevation of tumor marker with no evidence of disease on imaging or exam are not eligible                                                                                                                                                          ",1
"56","",NA,"tumor                                                                                                                                                                           ",1
"57","",NA,"disease as indicated by 1 or more of the following                                                                                                                                                                        ",1
"58","",NA,"residual disease defined as tumor measurable in two perpendicmcLar diameters on magnetic resonance imaging mri measurements are required for both the solid and cystic components                                                                                                                                                     ",1
"61","",NA,"disease is required unless patient is post operative and in that case patient can have no evidence of disease                                                                                                                                                               ",1
"62","",NA,"disease is required measurable disease is defined as at least one lesion that can be accurately measured in at least one dimension longest diameter to be recorded as > = 20 mm with conventional techniques or as > = 10 mm with spiral computed tomography ct scan bone lesions leptomeningeal disease ascites pleural / pericardial effusions                                                                                                                          ",1
"63","",NA,"by reproducible imaging techniques and cystic lesions are all considered nonmeasurable as of 4 / 30 / 14                                                                                                                                                ",1
"65","",NA,"cohort has been filled and only patients with measurable disease are allowed moving forward prior to 4 / 30 / 14 up to 20 of patients entered on this trial i . e . 14 patients were entered with evaluable but nonmeasurable disease                                                                                                                                   ",1
"66","",NA,"residual disease defined as tumor that is measurable in two perpendicmcLar diameters on magnetic resonance imaging mri for a lesion to be considered measurable it must be at least twice the slice thickness on mri i . e . visible on more than one slice                                                                                                                                  ",1
"67","",NA,"disease must be present either on physical examination or imaging studies non measurable disease alone is not acceptable                                                                                                                                                                ",1
"69","",NA,"or assessable disease is required measurable tumor size at least one node measuring 2 . 25 cm 2 in bidimensional measurement                                                                                                                                                             ",1
