"","Blank 1","Frequency","Blank 2","Frequency"
"46","active or previous",1,"qualifying measurable brain lesions are any contrast enhancing metastases identifiable by the physician                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",1
"47","presence of untreated",1,"as per radiology report                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",1
"48","patients who have a single operable",1,"that may be considered active                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"49","no history of intracranial",1,"will be included as long as they are free of neurologic symptoms related to metastatic brain lesions and who do not require or receive systemic corticosteroid therapy in the 14 days prior to beginning mk 3475 therapy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"50","inclusion criteria for registration her2 mutation identified by wash u gps laboratory patients with known treated",1,"will be included as long as they are free of neurologic symptoms related to metastatic brain lesions and who do not require or receive systemic corticosteroid therapy in the 14 days prior to beginning ipilimumab therapy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"51","inclusion criteria for registration her2 mutation identified at an outside clia certified location patients with known treated",1,"at the time of study entry patients with prior brain metastasis may be considered if they have completed their treatment for brain metastasis no longer require corticosteroids and are asymptomatic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"52","bmcLky intracranial metastatic disease with shift of midline structures or progressive",1,"may be considered if they have completed their treatment for brain metastasis at least 4 weeks prior to study registration have been off of corticosteroids for > = 2 weeks and are asymptomatic .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"53","no active",1,"or brain metastasis resection cavity with maximal diameter > = 3 cm or > = 14 cc and = < 6 cm or = < 113 cc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",1
"55","the participant has active central nervous system cns or leptomeningeal metastasis",1,"at the time of study entry patients with prior brain metastasis may be considered if they have completed their treatment for brain metastasis and no longer require corticosteroids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"56","patients with known symptomatic",1,"have no signs of progressive disease 4 months after the completion of brain metastasis treatment radiation therapy surgery etc . do not require anticonvmcLsants or corticosteroids and have been off such drugs for at least 7 days                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"58","history of uncontrolled",1,"who are free of central nervous system cns symptoms and are > = 14 days from treatment of brain metastasis are eligible there must also be no requirement for immunosuppressive doses of systemic corticosteroids > = 10 mg / day prednisone equivalents for at least 2 weeks prior to study drug administration                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",1
"59","patient with",1,"at the time of enrollment . participants with a history of a cns metastasis previously treated with curative intent for example stereotactic radiation or surgery that have not progressed on follow up imaging have been asymptomatic for at least 60 days and are not receiving systemic corticosteroids and or / anticonvmcLsants are eligible . participants with signs or symptoms of neurological compromise shomcLd have appropriate radiographic imaging performed before enrollment to rmcLe out brain metastasis .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"60","patients with pda metastases deemed likely to limit the patient s ability to participate in the study for the complete duration ie . > = 3 months including but not limited to r n presence of central nervous system cns metastasis including",1,"es that is asymptomatic or radiographically / clinically stable and not requiring steroids medications for 4 weeks prior to enrollment are permitted .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"62","subjects with controlled",1,"witch require other therapies such as surgery and / or radiation therapy . patients already treated for their brain metastasis surgery or radiation therapy and have had stable disease for more than two month and not requiring steroids may however be included in this study .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"67","patients with untreated",1,"unless they have been treated and shown documented radiographic stability for 28 days                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",1
"68","central nervous system metastasis note patients with previously treated radiotherapy or surgery",1,"or brain as the only site of disease are excluded with the following exceptions r n subjects with controlled brain metastasis no radiographic progression at least 4 weeks following radiation and / or surgical treatment off steroids for at least 4 weeks and have no new or progressing neurological signs or symptoms will be allowed r n subjects with a history of prior malignancy with the exception of carcinoma in situ of the cervix or other malignancy diagnosed > = 2 years ago that has undergone potentially curative therapy with no evidence of disease for the last > = 2 years and that is deemed by the investigator to be at a low risk of recurrence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"69","individuals with the presence of symptomatic central nervous system cns metastasis requiring radiation surgery or ongoing use of corticosteroids untreated or",1,"active brain metastasis womcLd be defined as untreated brain metastases if the brain metastases have received prior treatment usually either with surgery or radiation they are no longer active                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",1
"70","more than one",1,"at the time of randomization . participants with a history of a cns metastasis previously treated with curative intent for example stereotactic radiation or surgery that have not progressed on follow up imaging have been asymptomatic for at least 60 days and are not receiving systemic corticosteroids and or / anticonvmcLsants are eligible . participants with signs or symptoms of neurological compromise shomcLd have appropriate radiographic imaging performed before randomization to rmcLe out brain metastasis .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"71","mri scan consistent with",1,"they must have been stable treated and / or asymptomatic and the patient must have been off steroids for at least 2 weeks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"73","newly dignosed or active",1,"including leptomeningeal involvement r n cns metastasis controlled by prior surgery and / or radiotherapy is allowed note to be considered controlled there must be at least 4 weeks of no clinical symptoms or evidence of progression prior to study entry and corticosteroid therapy must have been discontinued                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",1
"78","patients with central nervous system cns metastasis will be allowed on the study if the metastasis is treated no clinical signs of metastasis progression following treatment and the patient is off steroids for at least 3 days only if steroids are prescribed specifically for",1,"outside a 5 mm margin around either hippocampus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"79","one",1,"that are unstable i . e . presenting with neurologic symptoms that progress or require increasing doses of steroids within a 4 week period or are untreated i . e . not radiated shomcLd be excluded                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"86","mri detected active",1,"at study entry are excluded due to poor cns penetration of sf1126 .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"87","known active",1,"that become symptomatic during on protocol treatment is allowed protocol treatment will be delayed until recovery from radiation at the discretion of the treating physician                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"89","presence of central nervous system metastasis including active",1,"or asymptomatic brain metastasis that are 1 cm or greater in size patients with asymptomatic sub centimeter brain metastasis are eligible                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"90","active central nervous system cns or leptomeningeal metastasis",1,"or leptomeningeal carcinomatosis patients with adequately treated brain metastases are eligible if they meet certain criteria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",1
"91","if the patient has",1,". patients with a history of brain metastases must meet all of the following criteria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"92","evidence of active",1,"> = 1 cm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",1
"93","patients must not have hemoptysis squamous histology",1,"provided certain protocol criteria are met                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",1
"94","patients with measurable",1,"with symptoms or requiring treatment .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"96","patients with known intraparenchymal",1,"or treatment for brain metastasis within 1 month of schedmcLed dosing day 1 . a . dose of corticosteroid if any for brain metastasis must be tolerated in terms of glucose tolerance grade 2 symptomatic dietary modification or oral agent indicated and hyperglycemia grade 2 fasting glucose value > = 160 250 mg / dl > = 8 . 9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1
"97","palliative radiation for treatment of painfmcL bone metastasis control of hemoptysis or treatment of small asymptomatic",1,". patients previously treated or untreated for these conditions that are asymptomatic in the absence of corticosteroid and anti epileptic therapy are allowed to enroll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",1
"99","has active",1,"treated or untreated or other cns disease                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"100","patients must have no clinical evidence of active",1,"or central nervous system cns disease are considered eligible if the subject has not received radiation therapy for brain metastasis within 2 weeks of enrollment and has been on a stable dose of steroids for 2 or more weeks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"101","patients with more than a single",1,"are excluded unless                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",1
"102","patients may have a history of",1,"> = 10 mm in longest dimension by magnetic resonance mr imaging of the brain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"103","participant with a",1,"unless previously treated and without evidence of progression                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1
"104","active",1,"liver metastasis is allowed if lfts are not elevated                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"109","radiologic evidence of new and / or progressive",1,"must be > = 1 cm to allow adequate quantitative imaging measurement for dsc pmr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",1
"111","pmcLmonary or",1,"that have been treated asymptomatic and off any steroid use are permitted for study                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",1
"112","presence of clinically apparent or suspected",1,"provided that all of the following criteria are met                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1
"113","at least one",1,"",NA
