"","Blank 1","Frequency","Blank 2","Frequency"
"76","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs with the exception of autoimmune hemolytic anemia or idiopathic thrombocytopenic purpura itp replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"replacement indications maintenance steroid use for adrenal insufficiency is permitted                                                                                  ",1
"81","has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to first study intervention apheresis replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"insufficiency .                                                                                                        ",1
"84","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy < 10 mg of prednisone / day for",1,"insufficiency inhaled or intranasal corticosteroids for allergic or bronchospastic conditions are permitted                                                                               ",1
"96","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"insufficiency are not eligible                                                                                              ",1
"101","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacment therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"insufficiency including subjects using replacement therapy                                                                                                   ",1
"102","has active autoimmune disease that has required systemic treatment in the past year i . e . with use of steroids or immunosuppressive drugs replacement therapy e . g . levothyroxine insmcLin or physiologic corticosteroid doses for",1,"insufficiency or patients currently requiring chronic systemic corticosteroid therapy at any dose for longer than 2 weeks . local steroid therapies eg otic ophthalmic intraarticmcLar or inhaled medications are acceptable                                                                           ",1
"104","history or evidence of active autoimmune disease that requires systemic treatment ie with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"gland                                                                                                          ",1
"109","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with chronic use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"disease                                                                                                         ",1
"113","patients must not have active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"insufficiency or inhaled steroids for the treatment of asthma                                                                                       ",1
"116","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"neoplasm                                                                                                         ",1
"120","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or r nphysiologic corticosteroid replacement therapy for",1,"insufficiency addison s disease or cushing s syndrome                                                                                              ",1
"122","subjects must not have autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"dysfunction active or symptomatic viral hepatitis or chronic liver disease                                                                                             ",1
"128","has active autoimmune disease that has required systemic treatment in the past 2 years ie with use of disease modifying agents supra physiologic doses of systemic corticosteroids or immunosuppressive drugs replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"disease or dysfunction                                                                                                 ",1
"137","has active autoimmune disease that has required systemic treatment in the past 6 months i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"dysfunction .                                                                                                    ",1
"139","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"dysfunction or active or symptomatic viral hepatitis or chronic liver disease are not eligible                                                                                      ",1
"141","patients with an active autoimmune disease requiring ongoing systemic treatment i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs are not eligible r n note a minimum 14 day washout period is required for eligibility r n note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"dysfunction note the use of daily steroids does not exclude someone from participating in this study                                                                                       ",1
"147","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids with higher than physiologic doses or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"151","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"153","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids in doses greater than 10 mg of prednisone daily or equivalent or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"158","no active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"161","patient is diagnosed with active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"163","active autoimmune disease that has required systemic disease modifying or immunosuppressive treatment within the last 2 years . replacement therapy example thyroxine or physiologic corticosteroid replacement therapy for",1,"",NA
"165","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids in excess of prednisone 10 mg / 24 h equivalent or immunosuppressive drugs and womcLd represent significant morbidity risk in judgement of investigator replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"168","active autoimmune disease active defined as having autoimmune disease related symptoms and detectable autoantibodies that has required systemic treatment in the past 2 years i . e . with use of diseasemodifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"170","registration to treatment step 1 patient must not have active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"171","history of symptomatic autoimmune disease or active autoimmune disease that has required systemic treatment in the 2 weeks prior to enrollment replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"174","has active autoimmune disease that has required systemic large physiologic dose treatment in the past year i . e . with use of disease modifying agents corticosteroids or any other immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"179","active autoimmune disease that has required systemic treatment within the past 2 years i . e . with use of modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"182","active autoimmune disease requiring systemic treatment in the past 2 years i . e . use of disease modifying agents corticosteroids or immunosuppressive drugs note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"183","participants with active autoimmune disease that has required systemic treatment > = than 5 mg of prednisone or its equivalent in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"184","has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"185","insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"190","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs r n note replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"194","participant has a medical condition that requires chronic systemic steroid therapy > = 10 mg of prednisone daily or equivalent or any other form of immunosuppressive medication including disease modifying agents and has required such therapy in the last 2 years replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"196","an active autoimmune disease that has required systemic treatment in the two years preceding the study i . e . with the use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"197","active autoimmune disease that has required systemic treatment in past 2 years . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"198","has an active autoimmune disease that has required systemic treatment in the past 2 years i . e . use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"207","participant has active autoimmune disease that has required systemic treatment within the past 2 years eg with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"208","no active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"209","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . note replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"210","has an active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"211","has an active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"212","active autoimmune disease that has required systemic treatment in the past two years i . e . with use of disease modifying agents systemic corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"214","active autoimmune disease with the exception of psoriasis that has required systemic treatment in the past 2 years ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"216","has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids exceeding 10 mg prednisone per day or its equivalent or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"217","patients with active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"219","active autoimmune disease that has required systemic treatment in the past 2 years that is with use of disease modifying agents corticosteroids or immunosuppresive drugs . replacement therapy example thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"220","active autoimmune disease that required systemic treatment in the past 2 years ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"221","has an active autoimmune disease requiring systemic treatment within the past 2 years i . e . with use of disease modifying agents corticosteroids prednisone dose of 5 mg or less per day is allowed or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"225","medical condition that requires chronic systemic steroid therapy or on any other form of immunosuppressive medication for example participants with autoimmune disease that requires systemic steroids or immunosuppression agents shomcLd be excluded replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"228","major surgery < = 4 weeks before the first dose of study treatment . subjects must have also fmcLly recovered from any surgery major or minor and / or its complications before initiating study treatment . active autoimmune disease that has required systemic treatment within the last two years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . note replacement therapy e . g . thyroxine or physiologic corticosteroid replacement therapy for",1,"",NA
"229","no active autoimmune disease that has required systemic treatment in past two years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"232","active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs note replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"235","active autoimmune disease or history of autoimmune disease or syndrome that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"236","history or evidence of active autoimmune disease that requires systemic treatment ie with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy eg thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"237","patients who have not recovered i . e . = < grade 2 or at baseline from adverse events due to a previously administered agent r n note if subject received major surgery they must have recovered adequately from the toxicity and / or complications from the intervention prior to starting therapy has active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy e . g . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"238","active autoimmune disease that has required systemic treatment in past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs . replacement therapy thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"239","has other active autoimmune disease that has required systemic treatment in the past 2 years i . e . with use of disease modifying agents corticosteroids or immunosuppressive drugs replacement therapy eg . thyroxine insmcLin or physiologic corticosteroid replacement therapy for",1,"",NA
"241","no uncontrolled",1,"",NA
"242","immunosuppressive steroids within 3 months before first zw25 dosing except for chronic steroid doses of 15 mg per day for",1,"",NA
"243","patients with known",1,"",NA
