"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"27","subjects who have not recovered from toxicities from prior anti tumor therapy defined as not having resolved to common terminology criteria for adverse events ctcae version 5 . 0",1,"",NA,"at the time of starting study treatment with the exception of alopecia and grade 2 platinum therapy related neuropathy                                                                                                      ",1
"29","except for alopecia any unresolved toxicities from prior therapy greater than ctcae",1,"",NA,"or to levels dictated in the eligibility criteria with the exception of alopecia or toxicities from prior anti tumor therapy that are considered irreversible defined as having been present and stable for > = 28 days which may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and the amgen medical monitor .                                                   ",1
"31","unresolved toxicities from prior anticancer therapy defined as having not resolved to national cancer institute nci common terminology criteria for adverse events ctcae version v 4 . 03",1,"",NA,"or to levels dictated in the eligibility criteria with the exception of alopecia grade 2 or 3 toxicities from prior antitumor therapy that are considered irreversible defined as having been present and stable for > = 6 months such as grade 2 chemotherapy induced peripheral neuropathy may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and sponsor                                  ",1
"33","unresolved toxicities from prior anti tumor therapy defined as not having resolved to common terminology criteria for adverse events ctcae version 5 . 0",1,"",NA,"with the exception of alopecia and laboratory values listed per the inclusion criteria                                                                                             ",1
"35","with the exception of alopecia any unresolved toxicities from prior chemotherapy shomcLd be no greater than common terminology criteria for adverse events ctcae version 4 . 0",1,"",NA,"or to levels dictated in the eligibility criteria with the exception of alopecia grade 2 or 3 toxicities from prior antitumor therapy that are considered irreversible defined as having been present and stable for > = 6 months such as ifosfamide related proteinuria may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and sponsor                                          ",1
"36","unresolved toxicities from any prior therapy greater than common terminology criteria for adverse events",1,"",NA,"at the time of starting study treatment with the exception of alopecia .                                                                                                             ",1
"39","prior systemic chemotherapy for the study cancer sarcoma note that prior chemotherapy for a different cancer is allowable however unresolved toxicities from prior anti tumor therapy defined as not having resolved to common terminology criteria for adverse events ctcae version 4 . 0",1,"",NA,"or to levels dictated in the eligibility criteria with the exception of alopecia grade 2 or 3 toxicities from prior anti tumor therapy that are considered irreversible defined as having been present and stable for > = 6 months such as ifosfamide related proteinuria may be allowed if they are not otherwise described in the exclusion criteria and there is agreement to allow by both the investigator and sponsor                      ",1
"40","unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 4 . 0",1,"",NA,"on common terminology criteria for adverse events .                                                                                                                  ",1
"41","has unresolved clinically significant toxicities from prior anti cancer therapy defined as > =",1,"",NA,"by common terminology criteria for adverse events ctcae version 4 criteria unless otherwise defined in the inclusion / exclusion criteria with the exception of alopecia                                                                                               ",1
"42","known unresolved toxicities due to prior anticancer therapy defined as not having resolved to",1,"",NA,"unless otherwise defined in the inclusion / exclusion criteria with the exception of alopecia .                                                                                                ",1
"44","with the exception of alopecia any unresolved toxicities from prior chemotherapy shomcLd be no greater than ctcae v4",1,"",NA,"with the exception of alopecia grade 1 or 2 permitted                                                                                                            ",1
"45","unresolved non hematologic toxicities from prior therapies that are > = common terminology criteria for adverse events ctcae",1,"",NA,"or to the levels dictated in the eligibility criteria with the exception of alopecia                                                                                                          ",1
"47","unresolved toxicities from prior anti cancer therapy defined as having not resolved to ctcae",1,"",NA,"common terminology criteria for adverse events ctcae version v . 4 . 0 from toxicities related to any prior treatments unless adverse events aes are clinically nonsignificant and / or stable on supportive therapy                                                                                                ",1
"49","exclusion criteria prior to ibrutinib administration unresolved toxicities from prior anti cancer therapy defined as having not resolved to common terminology criteria for adverse event ctcae version 4",1,"",NA,"common terminology criteria for adverse events ctcae version v 5 . 0 from toxicities related to any prior treatments unless adverse events aes are clinically nonsignificant and / or stable on supportive therapy                                                                                                 ",1
"54","the subject has recovery to baseline or = <",1,"",NA,"ctcae v . 4 . 0 from toxicities related to any prior treatments unless adverse events aes are clinically nonsignificant and / or stable on supportive therapy .                                                                                                      ",1
"58","renal cohort recovery to baseline or",1,"",NA,"common terminology criteria for adverse events ctcae version v . 4 . 03 from toxicities related to any prior treatments unless adverse event ae s are clinically nonsignificant and / or stable on supportive therapy                                                                                            ",1
"62","absolute neutrophil count anc > = 1500 / mcL equivalent to common toxicity criteria common terminology criteria for adverse events ctcae version v 3 . 0",1,"",NA,"common terminology criteria for adverse events ctcae version v . 4 . 03 from toxicities related to any prior treatments unless adverse events ae s are clinically non significant and / or stable on supportive therapy                                                                                              ",1
"63","absolute neutrophil count anc > = 1500 / mcL equivalent to common terminology criteria for adverse events ctcae",1,"",NA,"common terminology criteria for adverse events ctcae version 4 . 0 from toxicities related to any prior treatments unless adverse events ae s are clinically non significant and / or stable on supportive therapy                                                                                                ",1
"64","recovery from acute toxicity of prior treatment for rcc to = <",1,"",NA,"common terminology criteria for adverse events ctcae v . 4 . 0 from toxicities related to any prior treatments unless adverse events aes are clinically nonsignificant and / or stable on supportive therapy                                                                                                 ",1
"65","absolute neutrophil count 1500 cells / mcL equivalent to common terminology criteria for adverse events version 4 . 03 ctcae v4 . 03",1,"",NA,"common terminology criteria for adverse events ctcae version v . 4 . 0 from toxicities related to any prior treatments unless ae s are clinically non significant and / or stable on supportive therapy                                                                                                ",1
"66","Platelets 100 000 / mcL equivalent to common terminology criteria for adverse events version 4 . 03 ctcae v4 . 03",1,"",NA,"ctcae v4 from toxicities related to any prior treatments unless ae s are clinically nonsignificant and / or stable on supportive therapy .                                                                                                             ",1
"67","any immunotherapy related adverse events common terminology criteria for adverse events ctcae > =",1,"",NA,"the active version of common terminology criteria for adverse events ctcae or to a level permitted under other sections of inclusion / exclusion criteria                                                                                                    ",1
"68","bilirubin = < 1 . 5 times upper limit of normal common terminology criteria for adverse events ctcae",1,"",NA,"at the time of registration                                                                                                                     ",1
"69","absolute neutrophil count anc > = 1500 / mcL equivalent to common terminology criteria for adverse events ctcae version v 4",1,"",NA,"baseline                                                                                                                     ",1
"70","patients with unresolved diarrhea > = common terminology criteria for adverse events ctcae",1,"",NA,"by common terminology criteria for adverse events ctcae 4 . 0 criteria prior to first radiation treatment                                                                                                                ",1
"71","recovery from previous cancer treatment = <",1,"",NA,"common terminology criteria for adverse events version 4 ctcae v . 4 within 21 days of initiation of on study treatment                                                                                                         ",1
"72","have recovered from prior drug related toxicity to",1,"",NA,"dyspnea and saturated oxygen sao2 92 on room air                                                                                                                   ",1
"73","absolute neutrophil count anc > = 1500 / mcL equivalent to common toxicity criteria for adverse events version v 3 . 0 ctcae",1,"",NA,". 5 mg / dl                                                                                                   ",1
"74","bilirubin greater than 1 . 5 x upper limit of normal mcLn common terminology criteria for adverse events ctcae v4 . 0",1,"",NA,"per common terminology criteria for adverse events ctcae version 4 . 03 or newer                                                                                                               ",1
"75","adequate pmcLmonary function defined as common terminology criteria for adverse events ctcae",1,"",NA,"from previous anti egfr therapy at time of randomization                                                                                                                     ",1
"76","unresolved diarrhea > = common terminology criteria for adverse events ctcae version 4",1,"",NA,"per common terminology criteria for adverse events ctcae version v 4                                                                                                                   ",1
"77","absolute neutrophil count anc > = 1500 / mcL equivalent to common toxicity criteria common toxicity criteria for adverse events ctcae version v . 4 . 0",1,"",NA,"common terminology criteria for adverse events ctcae version 4                                                                                                                         ",1
"78","pts who have",1,"",NA,"or 2 symptomatic dry mouth xerostomia according to ctep nci common terminology criteria for adverse events ctcae version 4 . 0                                                                                                                  ",1
"79","absolute neutrophil count anc > = 1500 / mcL equivalent to common terminology criteria ctcae version v 4 . 03",1,"",NA,"or greater of the following symptoms persistently for more than 2 weeks neuropathic pain allodynia areflexia dysesthesia paresthesia hyperesthesia hypoesthesia or glove and stocking syndrome as defined by common terminology criteria for adverse events ctcae version v . 4 . 03                                                                                              ",1
"80","patients with diarrhea > = common terminology criteria for adverse events ctcae",1,"",NA,"upper limit                                                                                                                  ",1
"81","clinically significant non hematologic toxicity after prior therapy has recovered to",1,"",NA,"week                                                                                                   ",1
"82","toxicity attributed to previous anticancer therapy that did not resolve to common terminology criteria for adverse events ctcae",1,"",NA,"by common terminology criteria for adverse events ctcae definitions                                                                                                                          ",1
"83","skin rash common terminology criteria for aes ctcae",1,"",NA,"according to the common terminology criteria for adverse events version 4 ctcae version 4 . 03 2009 at the time of starting treatment                                                                                              ",1
"84","",1,"",NA,"according to the common terminology criteria for adverse events version 4 ctcae version 4 . 0 at the time of randomization                                                                                                   ",1
"85","presence of peripheral edema > =",1,"",NA,"except for toxicities not considered a safety risk such as alopecia post surgical pain will not be considered a basis for exclusion                                                                                         ",1
"86","have",1,"",NA,"or less as per common terminology criteria for adverse events ctcae version 4 . 03                                                                                                           ",1
"87","reporting",1,"",NA,"according to common terminology criteria for adverse events ctcae version v 4 . 0 before registration or prior to start of therapy                                                                                                   ",1
"88","potassium < 4 . 0 mmol / l despite supplementation or above the common terminology criteria for adverse events ctcae",1,"",NA,"at the time of screening except alopecia                                                                                                             ",1
"89","no clinically relevant deviations in renal function serum creatinine > =",1,"",NA,"except alopecia or baseline                                                                                                                   ",1
"90","clinical symptoms each at least",1,"",NA,"or better                                                                          ",1
"91","all prior treatment related toxicities must be common terminology criteria for adverse events version 5 . 0 ctcae v5",1,"",NA,"except alopecia at the time of enrollment this requirement to return to = < grade 1 does not apply to immune checkpoint inhibitor related endocrinopathies e . g . thyroiditis hypophysitis etc . that necessitate hormone replacement therapy including but not limited to levothyroxine cortisol and testosterone ctcae v5 . 0 will be utilized beginning april 1 2018                                                          ",1
"92","all prior anti cancer treatment related toxicities except alopecia and laboratory values as listed above must be = <",1,"",NA,"severity except for alopecia and hematologic toxicity patients taking temozolomide can start study treatment 23 days from the last temozolomide dose for all other chemotherapy drugs study treatment can start as long as adverse events related to their treatment is = < to grade 1                                                                          ",1
"93","all prior anti cancer treatment related toxicities except alopecia and laboratory values must be = <",1,"",NA,"except alopecia                                                                                                                  ",1
"94","toxicities of prior therapy must be resolved to",1,"",NA,"with the exception of chemotherapy induced alopecia and grade 2 peripheral neuropathy .                                                                                              ",1
"95","phase ii inclusion criteria toxicities of prior therapy must be resolved to",1,"",NA,"except alopecia at the time of registration subjects with toxicities attributed to prior anti cancer therapy which are not expected to resolve and resmcLt in long lasting sequelae are permitted to enroll                                                                                     ",1
"96","recovery from all prior surgical or adjuvant treatment related toxicities to baseline status or a common terminology criteria for adverse events ctcae",1,"",NA,"with the exception of alopecia and hematologic values otherwise meeting the bone marrow function criteria                                                                                     ",1
"97","prior systemic treatment is allowed but toxicities of prior therapy must be resolved to",1,"",NA,"or better common terminology criteria for adverse events ctcae version 4 . 0 prior to administration of the first dose of study treatment .                                                                                                      ",1
"98","toxicities related to prior anticancer treatment except alopecia that have not resolved to = <",1,"",NA,"per the revised nci common terminology criteria for adverse events ctcae version 4 . 0                                                                                                             ",1
"99","all prior treatment related toxicities must be ctcae version 4 . 03 = <",1,"",NA,"except alopecia prior to the first dose of the study drug                                                                                                          ",1
"100","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version 4 . 03 = <",1,"",NA,"except alopecia certain exceptions apply such as immunotherapy induced hypothyroidism or adrenal insufficiency or panhypopituitarism requiring stable doses of hormone replacement or rash from prior therapy                                                                                           ",1
"101","previous treatment associated clinically significant toxicities resolved to common terminology criteria for adverse events ctcae",1,"",NA,"according to the common terminology criteria for adverse events version 4 ctcae version 4 . 0 at the time of randomization .                                                                                             ",1
"102","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version 4 . 0 less than or equal to",1,"",NA,"except alopecia at the time of randomization and crossover                                                                                                            ",1
"103","all prior treatment related toxicities must be common terminology criteria for adverse events version 5 . 04 ctcae v5 . 04",1,"",NA,"according to the common terminology criteria for adverse events ctcae version 4 . 0 at the time of enrollment                                                                                                        ",1
"105","all prior treatment related toxicities must be common terminology criteria for adverse events version 4 . 0 ctcae v 4 . 0",1,"",NA,"except for adverse events aes not considered to be dose limiting toxicities dlts in this trial such as alopecia and lymphopenia at the time of enrollment if there are any questions please contact the study s principal investigator                                                                               ",1
"106","all prior treatment related toxicities must be common terminology criteria for adverse events version 4 ctcae v 4",1,"",NA,"from previous anti cancer therapy except alopecia within 7 days prior to registration                                                                                                        ",1
"107","resolution of all chemotherapy or radiation related toxicities = < common terminology criteria for adverse events ctcae",1,"",NA,"attributed to any prior therapy or procedure excluding alopecia                                                                                                                    ",1
"109","any acute toxicities due to prior chemotherapy and / or radiotherapy that have not resolved to a common terminology criteria for adverse events version 4 . 0",1,"",NA,"attributed to any prior therapy / procedure excluding alopecia anemia and / or hypothyroidism                                                                                                  ",1
"110","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version 4 . 0",1,"",NA,"national cancer institute common terminology criteria for adverse events nci ctcae version 4 from previous anti cancer therapy with the exception of alopecia and peripheral neuropathy . lymphoma subjects with < = grade 3 lymphopenia can be enrolled at the discretion of the investigator .                                                                                       ",1
"111","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version 5 . 0 = <",1,"",NA,"from previous anti cancer therapy except alopecia .                                                                                                                 ",1
"114","prior therapy chemotherapy radiation therapy and surgery is allowed if completed at least 2 weeks prior to registration and if all treatment related toxicities are resolved to = < common terminology criteria for adverse events ctcae",1,"",NA,"per common terminology criteria for adverse events ctcae 4 . 0 prior to registration                                                                                                       ",1
"116","all treatment related toxicities except alopecia must have recovered to",1,"",NA,"from the aes due to cancer therapeutics administered more than 4 weeks earlier this includes participants with previous immunomodmcLatory therapy with residual immune related ir aes .                                                                            ",1
"117","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae v4 . 0",1,"",NA,"common terminology criteria for adverse events ctcae v4 . 0 except alopecia at time of initiating study drug                                                                                                            ",1
"118","all prior treatment related toxicities must be common terminology criteria for adverse events version 5 ctcae v5",1,"",NA,"common terminology criteria for adverse events ctcae v4 of previous anti cancer treatment prior to study enrollment the only exception is that grade 2 neuropathy is permitted                                                                   ",1
"119","toxicities of prior therapy excepting alopecia shomcLd be resolved to = <",1,"",NA,"or better from adverse events except alopecia .                                                                                                      ",1
"122","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae version v 5",1,"",NA,"or baseline from adverse events due to agents administered                                                                                      ",1
"123","all prior anti cancer treatment related toxicities except alopecia and laboratory values as listed in the protocol must be < =",1,"",NA,"to be eligible                                                                                                      ",1
"125","all prior anti cancer treatment related toxicities except alopecia must be < =",1,"",NA,"common terminology criteria for adverse events ctcae v4 . 03 except alopecia or parameters defined in this eligibility list .                                                                             ",1
"126","all prior treatment related toxicities must be common terminology criteria for adverse events ctcae v4 . 03",1,"",NA,"except for alopecia                                                                                                        ",1
"127","patients must not have any unresolved toxicity greater than national cancer institute nci ctcae version v 4 . 0",1,"",NA,"from related toxicity to all prior therapies will be excluded patients with non serious adverse events such as alopecia fatigue weakness loss of appetite and nausea that are non significant will not be excluded                                                                                    ",1
"128","unresolved toxicity higher than common terminology criteria for adverse events ctcae",1,"",NA,"or better from adverse event at time of enrollment due to cancer therapy administered more than 28 days prior to enrollment                                                                                                      ",1
"129","unresolved toxicity higher than national cancer institute s common terminology criteria for adverse events version 4 . 03 ctcae v . 4 . 03",1,"",NA,"common terminology criteria for adverse events ctcae version v 5 before entering this study                                                                                                ",1
"130","unresolved toxicity greater than",1,"",NA,"are acceptable ctcae adverse events grade 2 or greater may be acceptable as determined by the principal investigator                                                                                         ",1
"131","unresolved toxicity greater than national cancer institute common terminology criteria for adverse events version 4",1,"",NA,"common terminology criteria for adverse events ctcae version v 4 . 03 except alopecia or parameters defined in this eligibility list                                                               ",1
"133","patients may have received prior surgery all adverse events associated with prior surgery must have resolved to = <",1,"",NA,"according to common terminology criteria for adverse events ctcae 4 . 0 due to agents administered more than 30 days earlier however patients with grade 2 alopecia will be considered eligible                                                                                                  ",1
"135","has had chemotherapy radiation or biological cancer therapy within 4 weeks prior to the first dose of study drug or has not recovered to common terminology criteria for adverse events ctcae",1,"",NA,"from adverse events with the exception of alopecia due to agents administered more than 4 weeks earlier                                                                                                         ",1
"136","prior treatment related adverse events aes must be = <",1,"",NA,"associated with any prior therapy                                                                                                             ",1
"137","prior locoregional liver directed therapy is allowed as long as treatment was at least 6 weeks prior to study registration and clear progression is demonstrated by recist v1 . 1 criteria subject must have recovered from the acute toxic effects = <",1,"",NA,"treatment related side effect with the exception of alopecia .                                                                             ",1
"138","chemotherapy radiotherapy and / or biological cancer therapy within 3 weeks prior to the first trial dose or has not recovered to ctcae v . 4",1,"",NA,"or better from the adverse events aes due to cancer therapeutics administered more than four weeks earlier                                                                                    ",1
"139","participants who have had chemotherapy biologic therapy or investigational therapy within 21 days including bevizumab or radiotherapy within 7 days prior to entering the study or those who have not recovered to common terminology criteria for adverse events ctcae = <",1,"",NA,"or better except alopecia from related side effects of any prior antineoplastic therapy .                                                                                                         ",1
"140","less than 3 days from prior treatment with egfr tki patients with adverse events related to prior egfr tki must recover to common terminology criteria for adverse events ctcae = <",1,"",NA,"or baseline except alopecia or neuropathy                                                                                                                    ",1
"141","all previous therapies for cancer including radiotherapy major surgery and investigational therapies discontinued for 14 days 28 days for mitomycin c or nitrosoureas before study entry and all acute effects of any prior therapy resolved to baseline severity or",1,"",NA,"per common terminology criteria for adverse events ctcae v 4 . 03                                                                                                ",1
"142","recovery from all adverse events aes of previous anti cancer therapies including surgery chemotherapy and radiotherapy to baseline or to common terminology criteria for adverse events ctcae",1,"",NA,"or baseline except alopecia                                                                                                                      ",1
"143","prohibited anti nsclc therapies and not having recovered from related aes to common terminology criteria for adverse events ctcae",1,"",NA,"or to their clinical baseline                                                                                                                  ",1
"144","the subjects who have not recovered to baseline or common terminology criteria for adverse events ctcae = <",1,"",NA,"of prior anticancer therapy radiation or major surgery / significant trauma except alopecia or other toxicities not considered a safety risk for the particiapants at the investigator s discretion .                                                                                          ",1
"145","the patient has not recovered to common terminology criteria for adverse events ctcae",1,"",NA,"excluding alopecia or other non clinically significant adverse events ae s                                                                                              ",1
"147","patients who received prior medical therapy for a nf1 related tumor must have recovered from the acute toxic effects of all prior therapy to = <",1,"",NA,"common terminology criteria for adverse events ctcae v . 4 . 0 level prior to enrollment does not apply to alopecia                                                                                                     ",1
"148","must have recovered from adverse effects of any prior surgery radiotherapy or other antineoplastic therapy common terminology criteria for adverse events ctcae adverse events less than or equal to",1,"",NA,"or less except for alopecia                                                                                                       ",1
"149","all previous therapies for cancer including radiotherapy major surgery and investigational therapies must be discontinued for > = 14 days > = 28 days for mitomycin c or nitrosoureas before cycle 1 day 1 c1d1 and all acute effects of any prior therapy must have resolved to baseline severity or",1,"",NA,"according to common terminology criteria for adverse events ctcae except for peripheral neuropathy see exclusion 6 and alopecia .                                                                                               ",1
"150","experiencing any clinically significant adverse events above",1,"",NA,"or less common terminology criteria for adverse events ctcae 4 alopecia may be unresolved                                                                                                         ",1
"151","patients who have not recovered = < common terminology criteria for adverse events ctcae",1,"",NA,"severity common terminology criteria for adverse events ctcae v4 . 03 or later versions                                                                                                       ",1
"152","chemotherapy radiation or biological cancer therapy within 4 weeks prior to the first dose of study drug or who has not recovered to common terminology criteria for adverse events ctcae",1,"",NA,"or better from the adverse events due to cancer therapeutics administered more than 4 weeks prior to the first dose of study treatment                                                                                                       ",1
"153","patients must have recovered from all acute toxicities defined as common terminology criteria for adverse events ctcae 4 . 0 = <",1,"",NA,"nci ctcae v4 . 03 .                                                                                                                                 ",1
"154","patients who have been treated with most recent radiotherapy hormonal therapy immunotherapy chemotherapy or investigational drugs within 21 days or 5 half lives whichever is shorter from enrolment screening and / or who have any unresolved nci common terminology criteria of adverse events ctcae v4 . 03 > =",1,"",NA,"",NA
"155","patient who has had chemotherapy radiation therapy or biological cancer therapy within four weeks prior to the first dose of study drug or who has not recovered to common terminology criteria for adverse events ctcae",1,"",NA,"",NA
"157","patient has not recovered to ctcae common terminology criteria for adverse events ctcae version 4 . 03",1,"",NA,"",NA
"159","prior / concurrent therapy criteria patients must not have received any chemotherapy biologic agent or any investigational agent within 14 days prior to registration . patients must have recovered from any adverse events to common terminology criteria for adverse events ctcae",1,"",NA,"",NA
"160","prior / concurrent therapy criteria patients must have recovered from any adverse effects from prior therapy except alopecia to = < ctcae",1,"",NA,"",NA
"162","all previous chemotherapy or radiation therapy related toxicities except dry mouth dysphagia esophagitis mucositis alopecia and irreversible late sequelae of radiation therapy must have resolved to",1,"",NA,"",NA
"164","has recovered from the toxic effects of prior therapy to common terminology criteria for adverse events ctcae",1,"",NA,"",NA
"165","partcipant has not recovered from the acute toxic effects common terminology criteria for adverse events ctcae",1,"",NA,"",NA
"166","patients must have recovered from effects of recent surgery radiotherapy chemotherapy or biologic / targeted therapy to baseline or common terminology criteria for adverse events ctcae less than or equal to",1,"",NA,"",NA
"167","participants must have recovered from the acute toxic effects of prior therapy to a",1,"",NA,"",NA
"168","patients that have not recovered from adverse events related to prior chemotherapy radiation therapy or mmcLtikinase inhibitors to common terminology criteria for adverse events ctcae 4 . 0",1,"",NA,"",NA
"169","has had chemotherapy radiation or biological cancer therapy within 4 weeks prior to the first dose of study therapy or who has not recovered to common terminology criteria for adverse events ctcae",1,"",NA,"",NA
"170","subjects who have not recovered from acute toxicities as a resmcLt of prior anti cancer therapy to less than or equal to",1,"",NA,"",NA
"171","patients must have recovered from acute toxicities resmcLting from therapy administered prior to entering this study to",1,"",NA,"",NA
"172","prior toxicities from chemotherapy radiotherapy and other anti cancer therapies including immunotherapy that have not regressed to",1,"",NA,"",NA
"173","has not recovered to common toxicity criteria for adverse events",1,"",NA,"",NA
"184","dehydration ctcae version 4 . 0",1,"",NA,"",NA
"185","dehydration according to nci common toxicity criteria ctc v 4 . 0",1,"",NA,"",NA
"186","dehydration nci ctcaeversion 4 . 0",1,"",NA,"",NA
"187","dehydration > =",1,"",NA,"",NA
