"","Blank 1","Frequency","Blank 2","Frequency"
"116","histologically or cytologically confirmed advanced",1,"or metastatic gastric or gej adenocarcinoma                                                                                                                                                                                                                                      ",1
"117","patients must have histologically or cytologically confirmed advanced leiomyosarcoma of the uterus mcLms advanced mcLms is defined as metastatic mcLms or",1,"note in the event that both cecal and appendiceal primaries are considered patient is eligible if it is concluded by the treating oncologist to most likely be cecal based on pathological surgical                                                                                                                                                                                                ",1
"119","patients must have histologically or cytologically confirmed metastatic or",1,"b3 thymoma or thymic carcinoma recurrent or progressing after more than one prior systemic therapy for advanced / metastatic disease                                                                                                                                                                                                                           ",1
"121","patients must have histologically or cytologically documented adenocarcinoma of the colon or rectum that is either metastatic or locally advanced and",1,"or metastatic adenocarcinoma or squamous cell carcinoma of the esophagus or advanced / metastatic siewert type 1 adenocarcinoma of the esophagogastric junction egj                                                                                                                                                                                                                     ",1
"123","histologically or cytologically proven diagnosis of",1,"locally advanced / metastatic nsclc                                                                                                                                                                                                                                          ",1
"127","subject has definitive histologically or cytologically confirmed locally advanced",1,"or metastatic pancreatic adenocarcinoma islet cell neoplasms are excluded that is measurable by recist version 1 . 1 guidelines .                                                                                                                                                                                                                        ",1
"128","patients with a histologically / cytologically confirmed diagnosis of advanced and / or",1,"disease of any of the following tumors                                                                                                                                                                                                                                 ",1
"130","histologically or cytologically documented",1,"locally advanced nsclc with egfr activating mutation excluding exon 20 insertion measurable disease per recist 1 . 1                                                                                                                                                                                                                             ",1
"131","cytologically or histologically confirmed advanced gastric or gej adenocarcinoma that is metastatic or locally advanced and",1,"locally advanced or metastatic breast cancer or gastric cancer refractory to standard therapy .                                                                                                                                                                                                                                   ",1
"132","subject has histologically or cytologically confirmed metastatic or locally advanced",1,".                                                                                                                                                                                                                                    ",1
"133","patients must have histologically confirmed epithelioid hemangioendothelioma which is metastatic or locally advanced",1,"solid tumors harboring egfr mutations .                                                                                                                                                                                                                                     ",1
"134","dose escalation histologically or cytologically confirmed diagnosis of",1,"/ locally advanced and / or metastatic her2 solid tumor malignancy and for which standard therapies are not available are no longer effective are not tolerated or have been declined by the patient . expansion cohort locally advanced or metastatic her2 solid tumors considered likely to respond to a her2 targeted cd137 agonist e . g . gastric / gastroesophageal / esophageal                                                                                                                                                                               ",1
"136","part b subjects must have one of the histologically or cytologically confirmed",1,"loco regionally advanced or metastatic .                                                                                                                                                                                                                                         ",1
"137","phase ib histologically confirmed refractory locally advanced",1,"locally advanced or metastatic solid malignancies listed below and have measurable disease at study entry defined by recist 1 . 1 . and be considered suitable for treatment with pembrolizumab in this study pembrolizumab will be considered an investigational study drug .                                                                                                                                                                                               ",1
"138","phase 1 patients with histologically or cytologically confirmed locally advanced",1,"or metastatic pancreatic or biliary cancer                                                                                                                                                                                                                                        ",1
"139","histologically confirmed metastatic or",1,"or metastatic solid tumors and with progressive disease during or after treatment with a pd 1 or pd l1 inhibitor who meet one of the following criteria                                                                                                                                                                                                                ",1
"140","have histologically confirmed locally advanced",1,"locally advanced non squamous nsclc with documented egfr mutation positive disease                                                                                                                                                                                                                                      ",1
"142","histologically confirmed locally advanced and",1,"or metastatic stage iv colorectal adenocarcinoma                                                                                                                                                                                                                                          ",1
"143","histologically confirmed diagnosis of metastatic or locally advanced",1,"advanced solid malignancy with documented disease progression after at least 1 prior systemic therapy                                                                                                                                                                                                                                     ",1
"144","female patients with histologically confirmed",1,"tumors that progressed on standard therapy                                                                                                                                                                                                                                        ",1
"145","patients must have histologically confirmed breast cancer that is metastatic or locally advanced and",1,"and / or metastatic solid tumours any type .                                                                                                                                                                                                                                    ",1
"146","histologically confirmed diagnosis of metastatic or advanced",1,"and / or metastatic solid tumours with specific histology / tumour types and / or specific genetic profiles                                                                                                                                                                                                                          ",1
"147","patients with a histologically confirmed diagnosis of advanced",1,"or metastatic gallbladder cancer or cholangiocarcinoma and be candidates for first line therapy with gemcitabine and cisplatin                                                                                                                                                                                                                     ",1
"148","patients with a histologically confirmed diagnosis of select advanced",1,"or metastatic solid tumors or hematological malignancies that progressed while on or after pd 1 / pd l1 containing therapy                                                                                                                                                                                                                           ",1
"149","arm c cohort 4 patients must have a histologically or cytologically proven diagnosis of advanced",1,"or metastatic cancer as outlined below according to study phase and disease type                                                                                                                                                                                                                                   ",1
"150","patients with histologically confirmed locally advanced",1,"or metastatic angiosarcoma that has progressed by recist following treatment with prior systemic treatment . . prior pazopanib is allowed if the drug was not discontinued for toxicity phase 2 angiosarcoma cohort .                                                                                                                                                                                                            ",1
"151","patient has histologically proven advanced",1,"locally advanced bc previously treated with mmcLtimodality therapy or metastatic bc                                                                                                                                                                                                                                   ",1
"152","histologically confirmed locally advanced e . g .",1,"/ metastatic disease                                                                                                                                                                                                                      ",1
"153","histologically or cytologically confirmed invasive bc incurable",1,"advanced or recurrent esophageal cancer                                                                                                                                                                                                                                              ",1
"154","histologically confirmed inoperable locally advanced or metastatic adenocarcinoma of the stomach or gej which have progressed on at least 1 prior systemic therapy or line of treatment for",1,"locally advanced or metastatic melanoma scchn                                                                                                                                                                                                                                             ",1
"156","histologically proven",1,"locally advanced adrenocortical carcinoma                                                                                                                                                                                                                                        ",1
"157","patients must have a histologically confirmed stage iv or",1,"or metastatic high colorectal carcinoma                                                                                                                                                                                                                                            ",1
"158","histologically proven locally advanced",1,"cancer with mutations in any of the following genes tsc1 tsc2                                                                                                                                                                                                                                  ",1
"159","histologically confirmed diagnosis of advanced metastatic recurrent or",1,"patients with resected primary tumors who have documented metastases are eligible documentation of residual disease by computed tomography ct scan or surgeon s notes is required for all patients and histologic confirmation of metastases is strongly encouraged                                                                                                                                                                                               ",1
"160","patients must have histologically confirmed adenocarcinoma of colorectal origin that is metastatic or locally advanced and",1,"and locally advanced or metastatic with measurable disease as per recist 1 . 1 .                                                                                                                                                                                                                              ",1
"161","participants must have histologically confirmed adenocarcinoma of the colon or rectum that is metastatic or locally advanced",1,"locally advanced or metastatic alveolar soft part sarcoma .                                                                                                                                                                                                                                       ",1
"162","histologically confirmed papillary renal cell carcinoma which is",1,"recurrent locally advanced or metastatic leiomyosarcoma of soft tissue                                                                                                                                                                                                                                       ",1
"163","indication a asps histologically proven",1,"recurrent locally advanced or metastatic synovial sarcoma .                                                                                                                                                                                                                                        ",1
"164","indication b lms histologically proven",1,"locally advanced or metastatic hereditary or sporadic medmcLlary thyroid cancer .                                                                                                                                                                                                                                       ",1
"165","indication c ss histologically proven",1,"by an orthopedic surgeon or similar qualified personnel .                                                                                                                                                                                                                          ",1
"166","confirmed diagnosis of",1,"or metastatic adenocarcinoma of the pancreas the diagnosis will be confirmed by the laboratory of pathology / ccr / nci                                                                                                                                                                                                                      ",1
"167","part 2 subjects with histologically confirmed locally advanced or refractory tgct including metastatic disease that has been deemed",1,"locally advanced or metastatic transitional cell carcinoma of the urothelium                                                                                                                                                                                                                                         ",1
"168","pancreatic cancer cohort cohort 4 only subjects with recurrent locally advanced",1,"locally advanced malignant solid tumor histologically confirmed by the laboratory of pathology national cancer institute nci in the case of chordoma unresectable                                                                                                                                                                                                                         ",1
"170","part 2a part 2c and part 2f gist patients histologically confirmed locally advanced metastatic and / or",1,"colorectal adenocarcinoma that is amenable to image guided biopsy disease in previously radiated regions may not be considered measurable unless there has been demonstrated progression in the lesion                                                                                                                                                                                                              ",1
"171","patients must have a metastatic or",1,"pancreatic ductal adenocarcinoma or platinum resistant ovarian cancer                                                                                                                                                                                                                         ",1
"172","patients must have histologically confirmed radiologically measurable metastatic or locally advanced",1,"locally advanced or metastatic tumors that express b7 h3 on the membrane or vascmcLature . the requirement for previous systemic therapy may be waived if a person was intolerant of standard front line therapy                                                                                                                                                                                                             ",1
"173","histologically documented incurable locally advanced or metastatic disease for which no standard therapy exists consisting of one of the following",1,"ct4b disease                                                                                                                                                                                                                                               ",1
"174","diagnosis of histologically confirmed esophageal gastric pancreatic or colorectal that is metastatic or locally advanced",1,"rectal cancer a tumor is considered unresectable when invading adjacent organs and an en bloc resection will not achieve negative margins                                                                                                                                                                                                                               ",1
"175","histologically and / or cytologically proven",1,"or metastatic nonsquamous nsclc and having received no prior systemic therapy for metastatic disease .                                                                                                                                                                                                                                   ",1
"177","primary",1,"or inoperable stage iiia or iiib disease subjects must be considered unresectable or inoperable based on the judgment of the treating physician                                                                                                                                                                                                                             ",1
"178","patient must have",1,"disease that is not curable by surgery radiation or systemic therapy .                                                                                                                                                                                                                            ",1
"179","participants must have histologically confirmed melanoma that is metastatic or",1,"metastatic disease                                                                                                                                                                                                                                              ",1
"182","has cscc that is either metastatic defined as disseminated disease and / or",1,"disease are eligible                                                                                                                                                                                                                                                ",1
"183","patients must have histologically confirmed mcm or alm that is metastatic or",1,"or metastatic melanoma except braf directed therapy .                                                                                                                                                                                                                                       ",1
"184","patients who have received prior immunotherapy for",1,"or metastatic gist                                                                                                                                                                                                                                                  ",1
"185","safety run in disease stage",1,"solid tumor malignancy                                                                                                                                                                                                                                                ",1
