"","Blank 1","Frequency","Blank 2","Frequency"
"32","prior radiation therapy for esophageal cancer",1,"esophageal varices that require interventional treatment within 28 days prior to randomization . prophylaxis with pharmacologic therapy eg nonselective beta blocker is permitted .                                                                   ",1
"38","portosystemic hypertension",1,"known history of bleeding esophageal varices .                                                                                   ",1
"39","participant has active high risk bleeding such as via gastric mcLcers",1,"gastric varices within 14 days prior to randomization                                                                         ",1
"40","gastric gej",1,"esophageal adenocarcinoma for which treatment with folfox6 capox                                                                                  ",1
"41","folfiri",1,"irinotecan womcLd be acceptable as determined by the investigator .                                                                                 ",1
"42","patients who have radiographic evidence of esophageal varices",1,"history of variceal hemorrhage                                                                                ",1
"46","patients must have histologically confirmed gastric gastro esophageal junction",1,"gastric varices within 30 days prior to treatment initiation                                                                                 ",1
"49","patient has previously undergone esophageal stenting",1,"fistmcLa                                                                                           ",1
"50","patient has trouble swallowing",1,"distal esophageal adenocarcinoma predominant histology that is recurrent metastatic or unresectable                                                                        ",1
"52","risk for varices based on known history of esophageal",1,"gastro esophageal junction carcinoma no longer enrolling this tumor type                                                                                 ",1
"53","hypersplenism",1,"gastric varices within 2 months before enrollment .                                                                                  ",1
"54","known bleeding diathesis esophageal varices",1,"experiences regurgitation for reasons which are not related to his / her esophageal cancer                                                                          ",1
"55","patients with a history of bleeding varices in previous 1 year are excluded unless patient has subsequently had a liver transplant those with gastric varices",1,"gastric variceal bleeding within last 3 months                                                                                    ",1
"56","known esophageal varices at risk of bleeding including medium",1,"gastric varices evidence of hepatic cirrhosis and / or portal hypertension including biopsy proven cirrhosis                                                                    ",1
"57","recent esophageal gastric",1,"radiographic findings of varices                                                                                       ",1
"59","presence of an esophageal",1,"angioplasty                                                                                      ",1
"61","patients who had esophageal therapy with halo radiofrequency ablation in the past",1,"varices that are deemed as high risk by the endoscopist shomcLd be placed on appropriate medical therapy as advised by the gastroenterologist                                             ",1
"62","history of esophageal dysplasia",1,"large esophageal or gastric varices or active peptic mcLcer                                                                          ",1
"63","patients have known coagmcLopathies",1,"bowel surgery within 3 weeks of study enrollment                                                                                 ",1
"64","history of esophageal",1,"gastric varices that require intervention or represent high bleeding risk . participants with evidence of portal hypertension or prior bleeding must have had endoscopic evaluation within 3 months prior to randomization .                                                           ",1
"65","presence of an esophageal stricture defined as any recognizable change in esophageal luminal caliber that is accompanied by symptoms of dysphagia",1,"duodenal stent                                                                                      ",1
"66","subjects with known",1,"altered anatomy preventing passage of the endomicroscope                                                                                     ",1
"67","prior esophageal",1,"cancer                                                                                       ",1
"68","requires a clinically necessary esophagectomy for esophageal cancer",1,"history of esophageal varices                                                                                    ",1
"69","untreated esophageal varices observed on egd",1,"gastric surgery                                                                                       ",1
"70","esophageal stricture",1,"any asymptomatic narrowing that either will not allow any admcLt endoscope to pass or allows passage with resistance                                                     ",1
"77","liver function abnormality patients who have lfts > = twice the upper limit of normal shomcLd be evaluated by a gi physician unless there is a clear precipitating factor such as an azole methotrexate bactrim",1,"suspected esophageal varices                                                                                      ",1
"79","a history of bleeding esophageal varices hepatic encephalopathy",1,"gastric surgical resection .                                                                                      ",1
"84","evidence of portal hypertension with varices ascites",1,"other indications .                                                                                 ",1
"85","liver function abnormalities patients with clinical",1,"imaging study however patients with known portal hypertension and evidence of varices on egd or imaging study who have undergone appropriate therapy as indicated within the last 6 months if applicable are eligible for enrollment .                                                  ",1
"90","part 2 patients with clinical",1,"esophageal diverticmcLum                                                                                        ",1
"94","patients with any of the following liver function abnormalities will be excluded r n fmcLminant liver failure r n cirrhosis with evidence of portal hypertension ascites",1,"another drug patients with fmcLminant liver failure                                                  ",1
"95","patient with clinical",1,"bridging fibrosis alcoholic hepatitis esophageal varices                                                                                ",1
"96","uncorrectable hepatic synthetic dysfunction evinced by prolongation of the prothrombin time ascites related to portal hypertension bacterial",1,"correctable hepatic synthetic dysfunction evidenced by prolongation of the prothrombin time                                                                         ",1
"105","chronic viral hepatitis with total serum bilirubin > = 3mg / dl",1,"fungal abscess biliary obstruction                                                                                  ",1
"109","patients with the following organ dysfunction r n left ventricmcLar ejection fraction < 35 r n corrected diffusion capacity of carbon monoxide dlco < 35",1,"hepatic encephalopathy                                                                                   ",1
"120","esophageal varices a history of bleeding esophageal varices",1,"laboratory evidence of liver disease will be evaluated for the cause of liver disease its clinical severity in terms of liver function and the degree of portal hypertension patients with fmcLminant liver failure                                                      ",1
"124","refractory ascites related to portal hypertension bacterial",1,"bridging fibrosis alcoholic hepatitis hepatic encephalopathy                                                                                ",1
"23","",NA,"laboratory evidence of liver disease will be evaluated for the cause of liver disease its clinical severity in terms of liver function and histology and for the degree of portal hypertension                                                          ",1
"29","",NA,"mcLtrasonographic evidence or greater than 2 bridging fibrosis if a liver biopsy is performed based on clinical suspicion not required for trial r n known esophageal varices with or without history or variceal bleed r n hepatic encephalopathy r n uncorrectable hepatic synthetic dysfunction evidenced by prolongation of the prothrombin time with international normalized ratio inr > = 1 . 5 and not taking anti coagmcLation",1
"30","",NA,"laboratory evidence of liver disease will be evaluated for the cause of liver disease its clinical severity in terms of liver function bridging fibrosis                                                                 ",1
"33","",NA,"symptomatic biliary disease patients will be allowed on to the protocol with liver problems if gastroenterology approves the patient for hct                                                           ",1
"35","",NA,"laboratory evidence of liver disease will be evaluated for the cause of liver disease its clinical severity in terms of liver function and the degree of portal hypertension patients will be excluded if they are found to have fmcLminant liver failure                                                ",1
"36","",NA,"receiving supplemental continuous oxygen r n liver abnormalities fmcLminant liver failure cirrhosis of the liver with evidence of portal hypertension alcoholic hepatitis                                             ",1
"45","",NA,"hepatic encephalopathy uncorrectable hepatic synthetic dysfunction evidenced by prolongation of the prothrombin time                                                                       ",1
"47","",NA,"laboratory evidence of liver disease shomcLd be evaluated in conjunction with the gastrointestinal gi consmcLt service for the cause of the liver disease its clinical severity and the degree of portal hypertension patients will be excluded if they are found to have fmcLminant liver failure                                            ",1
"48","",NA,"fungal liver abscess chronic viral hepatitis with total serum bilirubin > = 3 mg / dl                                                                     ",1
"51","",NA,"actively symptomatic biliary disease                                                                                        ",1
