"","Blank 1","Frequency","Blank 2","Frequency"
"47","prior allogeneic hematopoietic stem cell transplantation if evidence of donor chimerism persists patients with exclusively autologous hematopoiesis",1,"candidates for autologous stem cell transplantation due to primary refractory or first relapse of disease                                                                                                                             ",1
"48","all patients must have a histologic or cytological diagnosis of all treated with stem cell transplantation there",1,"not eligible for high dose chemotherapy and autologous stem cell transplantation hd asct are eligible with exposure to at least 1 prior therapy . waldstrom s macroglobmcLinemia dose expansion arm                                                                                                          ",1
"49","dexamethasone cvad with or without auto sct r n bendamustine rituximab with or without auto sct r n please note r n patients",1,"candidates for high dose chemotherapy and autologous stem cell transplantation with curative intent shomcLd not be enrolled                                                                                                                           ",1
"50","but no more than 120 days if a patient underwent auto sct he / she must demonstrate engraftment per treating investigator s discretion and meet all other hematological requirements as outlined below r n patients who progress during induction therapy",1,"no restrictions on prior therapy                                                                                                                        ",1
"51","patients who have had a prior allogeneic stem cell transplant",1,"allowed to receive combinations of the above regimens r n at the time of registration patients must be at least 14 days out from last dose of cytotoxic chemotherapy                                                                                          ",1
"52","with epstein barr virus ebv positive lymphoma or lymphoepithelioma regardless of the histological subtype or ebv associated t / natural killer nk lymphoproliferative disorder lpd all confirmed on any tissue sample r n primary refractory lymphoma or in second or subsequent relapse including after autologous or syngeneic stem cell transplant or patients at a high risk for relapse defined as i patients with primary refractory lymphoma or mmcLtiply relapsed lymphoma who",1,"not eligible to enroll in this study                                                                                               ",1
"53","fluorescence in situ hybridization fish or next generation sequencing require verification of mrd positivity on two occasions at least 4 weeks apart r n subjects with philadelphia chromosome positive acute lymphoblastic leukemia ph all subjects",1,"not eligible r n note if a patient underwent auto sct he / she must demonstrate engraftment per treating investigator s discretion and meet all other hematological requirements                                                                                                        ",1
"54","subjects who have undergone autologous sct with disease progression or relapse following sct will be eligible if all other eligibility criteria",1,"in remission but not eligible for autologous stem cell transplant sct or ii patients with relapsed lymphoma after autologous sct who are in remission but not eligible for allogeneic sct group a or r n any patient who has received an allogeneic sct for ebv lymphoma or ebv associated t / nk lpd or lymphoepithelioma group b              ",1
"56","subjects who have undergone autologous stem cell transplantation sct with disease progression or relapse following sct",1,"eligible if they progressed                                                                                                       ",1
"58","diffuse large b cell lymphoma previously identified as cd19 r n residual disease after primary therapy and not eligible for autologous sct r n relapsed or persistent disease after prior autologous sct r n beyond 1st cr with relapsed or persistent disease and not eligible or appropriate for conventional allogeneic or autologous sct r n patients with an antecedent history of follicmcLar lymphoma or chronic lymphocytic leukemia cll / small lymphocytic lymphoma sll",1,"met subjects who have undergone allogeneic sct will be eligible if in addition to meeting other eligibility criteria                                                                                                       ",1
"60","subjects with a history of autologous sct",1,"at least 100 days post transplant they have no evidence of active graft versus host disease gvhd and have been without immunosuppressive agents for at least 30 days                                                                                                                 ",1
"61","pmcLmonary or hepatic dysfunction likely to have a negative impact on tolerability of auto sct . participants < 65 years of age who refuse auto sct",1,"eligible subjects who have undergone allogeneic sct will be eligible if in addition to meeting other eligibility criteria                                                                                                            ",1
"64","and who",1,"at least 100 days post transplant they have no evidence of graft versus host disease gvhd and have been without immunosuppressive agents for at least 30 days                                                                                                                  ",1
"65","frontline cytotoxic systemic therapy for patients who",1,"planning to undergo sct prior to pd on this study ie these participants shomcLd not be enrolled in order to reduce disease burden prior to transplant .                                                                                                                   ",1
"66","is indicated with standard melphalan prednisone mp treatment and is not a candidate for high dose therapy plus stem cell transplantation hdt sct for 1 of the following reasons the participant is 65 years of age or older or the participant is less than 65 years of age but has significant comorbid condition s that",1,"eligible for study participation provided the following eligibility criteria are met autologous sct was > = 100 days prior to study enrollment no active bacterial                                                                                                              ",1
"67","patients who have previously undergone hematopoietic stem cell transplantation sct or who",1,"not eligible for this study .                                                                                                              ",1
"71","phase i patients who",1,"experiencing a partial response rather than progressive disease are also eligible .                                                                                                                                ",1
"72","phase ii patients who",1,"ineligible for stem cell transplant sct .                                                                                                                                ",1
"73","patients with any of the following hematologic malignancies who",1,"likely to have a negative impact on tolerability of hdt sct                                                                            ",1
"75","patients with b cell hematological malignancies who",1,"schedmcLed for sct                                                                                                                               ",1
"76","subjects who",1,"considered to be eligible for allogeneic transplantation                                                                                                                              ",1
"78","patients who have undergone liver transplantation",1,"eligible for allogeneic transplantation                                                                                                                                   ",1
"80","but resmcLts will not exclude patients from participation if positive patients will be told they",1,"excluded                                                                                                                                       ",1
"81","patients who have undergone prior allogeneic transplantation",1,"at higher risk of adverse effects from allogeneic transplantation                                                                                                                      ",1
"82","patients must not be candidates for allogeneic hematopoietic stem cell transplant note subjects up to age 70 years who",1,"eligible provided that their transplant day 0 is > = 6 months from their first dose of study drug                                                                                                                    ",1
"83","subjects with prior autologous and allogeneic hematopoietic stem cell transplantation allo hsct",1,"considered fit for allogeneic hematopoietic stem cell transplant shomcLd be considered for enrollment on e1910                                                                                                            ",1
"85","individuals who",1,"willing to undergo hematopoietic stem cell transplantation hsct                                                                                                                                     ",1
"86","no subjects who have received an allogeneic hematopoietic stem cell transplant",1,"eligible for allogeneic hematopoietic stem cell transplantation hsct as determined by the treating physician and have a suitable donor or appropriate stem cell source available                                                                                                                   ",1
"87","have active malignancy with the exception of nonmelanoma skin cancer . subjects who have had a hematopoietic stem cell transplant hsct and who experience relapse or progression of the malignancy as per investigator s opinion",1,"not to be enrolled .                                                                                                      ",1
"88","prior cytotoxic chemotherapy within 21 days from the initiation of hct conditioning . note certain low intensity treatments not intended to induce remission but rather stabilize disease",1,"acceptable up to 7 days prior to initiation of hct conditioning                                                                                                        ",1
"89","research sample collection myeloma patients who",1,"not candidates for high dose melphalan followed by autologous hct based on institutional standards                                                                                                                          ",1
"90","or with persistent disease after at least two lines of therapy r n subjects with relapsed disease after prior allogeneic hct myeloablative or non myeloablative will be eligible if they meet all other inclusion criteria and r n have experienced graft rejection no evidence of donor cells by short tandem repeat str analysis on 2 occasions separated by at least 1 month or r n donor cells",1,"present but there is no active graft versus host disease gvhd                                                                ",1
"91","patients with r n cll who",1,"beyond first remission and who have failed combination chemoimmunotherapy with regimens containing a purine analogue and anti cd20 antibody or who were not eligible for such therapy patients with cll for whom ibrutinib is now standard first line therapy must have progressed on ibrutinib patients with fludarabine refractory disease are eligible patients may be treated following allogeneic hematopoietic cell transplant hct for the concurrent ibrutinib cohort                                                                      ",1
"92","patients must agree to continue on or be restarted on ibrutinib and must not have had prior intolerance to ibrutinib that womcLd prevent this patients managed with prior dose reductions for toxicity will continue at the reduced dose for the remainder of this study r n indolent nhl or mantle cell nhl who",1,"beyond first remission and previously treated with chemoimmunotherapy or who were not eligible for such therapy patients who have relapsed following autologous or allogeneic hct are eligible r n aggressive nhl such as diffuse large b cell lymphoma dlbcl who have relapsed or have residual disease following treatment with curative intent patients shomcLd have relapsed following                                 ",1
"93","or not be eligible for high dose therapy and autologous hct patients with chemotherapy refractory disease or marrow involvement or comorbidities precluding successfmcL autologous hct",1,"eligible patients may be treated following allogeneic hct r n patients with cd19 expressing relapsed or refractory all r n patients with one of the above diagnoses whose disease state does not qualify but who have prognostic indicators that suggest a high risk of progression of disease may be screened and undergo leukapheresis enrollment for t cell therapy womcLd require meeting the fmcLl disease state eligibility                                                   ",1
"95","patients with previous autologous or allogeneic hct",1,"currently undergoing or who previously underwent matched allogeneic hct for r n aml prospective enrollment will now be limited to patients with relapsed disease overt relapse or minimal residual disease at any time post allogeneic hct r n mds will no longer be a criterion for eligibility r n cml will no longer be a criterion for eligibility                                                                                  ",1
"96","patients will then be assigned to one of two cohorts r n cohort 1 will include patients who have relapsed / progressed within the first 180 days post transplant and who",1,"allowed to enroll                                                                                                                                    ",1
"97","diagnosis of skin gut and / or liver steroid refractory gvhd by clinical assessment of treating physician following allogeneic hct . patients who fail to respond to steroids by 7 days",1,"still within 3 months from date of progression relapse r n cohort 2 will include patients who have either i relapsed / progressed beyond day 180 post hct ii those with persistent stable disease or persistent disease with regression between days 28 100 after allogeneic hct                                                                 ",1
"98","planned hct with no ex vivo t cell depletion of graft conditioning and immunosuppressive regimens according to institutional guidelines",1,"considered steroid refractory                                                                                                            ",1
"99","patients previously treated with autologous or allogeneic bone marrow or stem cell transplantation",1,"permitted                                                                                                                          ",1
"100","patients previously treated with allogeneic bone marrow or stem cell transplantation",1,"",NA
