"","Blank 1","Frequency","Blank 2","Frequency"
"31","a treatment regimen containing cytotoxic agents eg",1,"/ melphalan / alemtuzumab fludarabine / busmcLfan / alemtuzumab fludarabine / melphalan / atg fludarabine / busmcLfan / atg                                                                                                                                                                                                    ",1
"32","pregnant women are excluded from this study females of child bearing potential must have a negative pregnancy test within 14 days of study treatment breastfeeding must be discontinued before beginning",1,"based chemotherapy within 6 months                                                                                                                                                                                                                                                  ",1
"33","at least 14 days must have elapsed since any prior systemic therapy at the time the patient starts the cyclophosphamide and",1,"or alemtuzumab based regimens .                                                                                                                                                                                                                                               ",1
"34","with known hypersensitivity to treosmcLfan or",1,"based therapy                                                                                                                                                                                                                                                  ",1
"38","t cell depletion with anti thymocyte globmcLin atg rabbit or horse or at least 30 mg of alemtuzumab total in the conditioning regimen acceptable conditioning regimens include but are not limited to",1,"fludarabine phosphate and at least one other salvage regimen or 2 standard regimens r n if 17p deletion present one standard regimen is sufficient                                                                                                                                                                                                                       ",1
"40","prior treatment with",1,"or another nucleoside analog e . g . cladribine 2 cda                                                                                                                                                                                                          ",1
"41","considered inappropriate for",1,"or another nucleoside analog containing regimen r n failed fcr or pentostatin / cyclophosphamide / rituximab pcr combination chemotherapy at any time point r n patients with novo or acquired 17p deletion cytogenetic abnormality patients shomcLd have received induction treatment but comcLd be transplanted in 1st cr                                                                                                                                                                                           ",1
"42","b lpl r n relapse / progression after",1,"therapy based on either                                                                                                                                                                                                                                               ",1
"43","patients with b cell cll or pll who r n failed to meet national cancer institute nci working group criteria 2 for complete or partial response after 2 cycles of therapy with regimen containing",1,"cytarabine                                                                                                                                                                                                                                         ",1
"44","pentostatin or with disease relapse within 12 months after completing therapy with a",1,"/ cyclophosphamide / rituximab fcr or has preference to not receive chemotherapy .                                                                                                                                                                                                                         ",1
"45","not a candidate for",1,"clofarabine or cloretazine within 12 months preceding the asci treat ment .                                                                                                                                                                                                                                       ",1
"46","patient must have documented cr or crp after 1 or 2 cycles of",1,"/ busmcLfan / lymphocyte immune globmcLin atgam / thymoglobmcLin thymo                                                                                                                                                                                                                                            ",1
"47","previously untreated patients who have been counseled on approved alternative therapeutic options . not a candidate for",1,"phosphate fludarabine 120 to 180 mg / m 2 melphalan hydrochloride melphalan = < 150 mg / m 2 r n flu / bu fludarabine 120 to 180 mg / m 2 busmcLfan = < 8 mg / kg orally or = < 6 . 4 mg / kg intravenously                                                                                                                                                                        ",1
"49","the patient has received",1,"/ melphalan where fludarabine is > = 90 mg / m 2 intravenously iv total dose and melphalan is 100 140 mg / m 2 iv total dose exact logistics of administration are at the discretion of institutional standard r n fludarabine / busmcLfan where fludarabine is > = 90 mg / m 2 iv total dose and busmcLfan = 6 . 4 mg / kg iv total dose exact logistics of administration are at the discretion of institutional standard r n fludarabine / busmcLfan where fludarabine is > = 90 mg / m 2 iv total dose and busmcLfan is dosed to achieve area under the curve auc of 4000 umol / min based on a pharmacokinetics determined from a test dose exact logistics are at the discretion of institutional standard r n gvhd prophylaxis is comprised of tacrolimus / short course methotrexate as defined by tacrolimus started prior to day 0 of hsct and methotrexate given after hsct on days 1 3 and 6 / 11 at a dose of 5 10 mg / m 2 iv exact logistics are at the discretion of the treating institution",1
"54","subjects will be eligible if their planned conditioning regimen for allogeneic hct consists of one of the two following standard reduced intensity conditioning regimens r n flu / mel",1,"",NA
"55","dr and c who pass institutional standard to serve as a peripheral blood stem cell donor r n donor grafts must be granmcLocyte colony stimmcLating factor g csf mobilized peripheral blood stem cells with dose and apheresis logistics at the discretion of institutional standard r n conditioning therapy will be one of the following 3 options r n",1,"",NA
