"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"48","measurable disease defined by one of the following r n serum monoclonal",1,"electrophoresis is unreliable for routine m",1,"in serum as measured by electrophoresis serum protein electrophoresis spep and immunofixation serum immunofixation electrophoresis sife and the absence of bence jones protein in the urine urine protein electrophoresis upep defined by use of conventional electrophoresis and immunofixation urine immunofixation electrophoresis uife techniques but with measurable disease on imaging studies like magnetic resonance imaging mri computed tomography ct scan or positron emission tomography pet scan                                                                                ",1
"49","known",1,"1 g by",1,"> = 3 g / dl and / or bone marrow plasma cells > = 10                                                                                                                                         ",1
"52","igg mm serum monoclonal paraprotein m",1,"concentration on serum",1,"has merged with the beta region will follow the serum immunoglobmcLin of the involved heavy chain and comment on either partial remission pr                                                                                                          ",1
"53","igm mm igm m",1,"> = 1 . 0 by",1,"> = 200 mg / 24 hours r n if serum protein electrophoresis is felt to be unreliable for routine m protein measurement                                                                                                     ",1
"54","igd mm serum m",1,"1 . 0 g / dl by serum",1,"measurement quantitative immunoglobmcLin levels on nephrolometry or turbidometry will be followed .                                                                                                                                       ",1
"55","light chain mm serum m",1,"electrophoresis is felt to be unreliable for routine m",1,"electrophoresis spep of 1 . 0 g / dl .                                                                                                                                           ",1
"56","relapsed and / or refractory mmcLtiple myeloma with measurable disease as defined by one or both of the following assessed within 14 days prior to initiation of therapy a serum myeloma",1,"0 . 5 g / dl > = 5 g / l by serum",1,"electrophoresis r n > = 200 mg of monoclonal protein in the urine on 24 hour electrophoresis r n free light chains abnormal absolute value ratio and the dflc > = 5 mg / dl                                                                                                 ",1
"58","iga mmcLtiple myeloma serum m",1,"electrophoresis spep / urine",1,"electrophoresis spep or for immunoglobmcLin ig a myeloma by quantitative iga or                                                                                                                                      ",1
"59","igm mmcLtiple myeloma igm m",1,"> = 0 . 5 g / dl by serum",1,"measurement then quantitative ig levels by nephelometry or turbidometry are acceptable .                                                                                                                                     ",1
"60","igd mmcLtiple myeloma serum m",1,"c",1,"electrophoresis spep or for immunoglobmcLin ig a myeloma by quantitative serum iga levels or                                                                                                                              ",1
"61","light chain mmcLtiple myeloma serum m",1,"level > = 1 . 0 gram per deciliter g / dl or urine m",1,"electrophoresis upep / serum free light chain sflc criteria                                                                                                                                            ",1
"3","",NA,"> = 2 possibly indicative of renal disease . if the 24 hours urine",1,"electrophoresis spep r n > = 200 mg / monoclonal protein in urine on 24 hr urine protein electrophoresis upep r n serum free light chain flc > = 10 mg / dl and abnormal serum kappa to lambda ratio r n plasma cytomas that are palpable per exam or measurable per standard radiologic review r n circmcLating plasma cells > = 2000 if diagnosis of plasma cell leukemia                                                                 ",1
"4","",NA,"level 1 . 0 g / dl or urine mprotein level 200 mg / 24 hours iga mm serum m",1,"s                                                                                                                                                         ",1
"5","",NA,"level 0 . 5 g / dl or urine m",1,"level > = 200 mg / 24 hours or                                                                                                                                  ",1
"6","",NA,"",NA,"shows a resmcLt of < 100 mg protein subject can be eligible                                                                                                                                 ",1
"7","",NA,"",NA,"level 0 . 5 g / dl or urine m protein level 200 mg / 24 hours                                                                                                                 ",1
"11","",NA,"",NA,"level 1 . 0 g / dl or urine m protein level 200 mg / 24 hours                                                                                                                           ",1
"12","",NA,"",NA,"level 200 mg / 24 hours 5 . eastern cooperative oncology group ecog performance status of 0 1                                                                                                                           ",1
"15","",NA,"",NA,"> = 0 . 5 g / d b urine bence jones protein > = 200 mg / 24 hours                                                                                                        ",1
"16","",NA,"",NA,"level 1 . 0 g / dl or urine m protein level 200mg / 24hours                                                                                                                            ",1
"17","",NA,"",NA,"level 200 mg / 24 hours and are at least 65 years of age or older or if younger than 65 years of age                                                                                                                    ",1
