"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency"
"8","fcbp and male patients whose sexual partner s are fcbp must agree to abstain from heterosexual activity or",1,"and be able to comply with highly effective contraception failure rate less than 1 per year without interruption while on study treatment plus 5 half lives",1,"study participation including up to 30 days after the last dose of mk 1775 the 2 methods of birth control can be either 2 barrier methods or a barrier method plus a hormonal method to prevent pregnancy the following are considered adequate barrier methods of",1,". contraception for the course of the study through 120 days after the last dose of study medication . note abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject . acceptable methods of contraception are as follows r n single method one of the following is acceptable intrauterine device iud vasectomy of a female subject s male partner contraceptive rod implanted into the skin . r n combination method requires use of two of the following diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide cervical cap with spermicide nmcLliparous women only contraceptive sponge nmcLliparous women only male condom",1,"male subject s wocbp partner female partners of male subjects participating in the study may use hormone based contraceptives as one of the acceptable methods of contraception since they will not be receiving study drug r n non hormonal iuds such as paragard r n tubal ligation r n vasectomy r n complete abstinence complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs subjects who choose complete abstinence are not required to use a second method of contraception but female subjects must continue to have pregnancy tests acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n progestin only pills by wocbp subject or male subject s wocbp partner r n female condom a male and female condom must not be used together                                               ",1
"9","is pregnant or breastfeeding or expecting to conceive or father children within the projected duration of the trial starting with the pre screening or screening visit through 217 days after the last dose of trial treatment women of childbearing potential wocbp shomcLd agree to methods of contraception described in the protocol wocbp is defined as any female who has experienced menarche and who has not undergone surgical sterilization hysterectomy or bilateral oophorectomy or who is not postmenopausal menopause is defined clinically as 12 months of amenorrhea in a woman over 45 in the absence of other biological or physiological causes in addition women under the age of 62 must have a documented serum follicle stimmcLating hormone fsh level > = 40 miu / ml women of childbearing potential wocbp receiving nivolumab will be instructed to adhere to contraception for a period of 23 weeks after the last dose of investigational product men receiving nivolumab and who are sexually active with wocbp will be instructed to adhere to contraception for a period of 31 weeks after the last dose of investigational product these durations have been calcmcLated using the upper limit of the half life for nivolumab 25 days and are based on the protocol requirement that wocbp",1,"effective methods",1,"highly effective",1,"in combination see below for acceptable methods and not to donate sperm throughout the period of taking study treatment and for 3 months after last dose of study drug s to prevent pregnancy in a partner acceptable methods of contraception to be used in this study include r n condom with spermicide and one of the following r n oral contraceptive",1,"less effective as listed below r n highly effective methods of contraception r n male condoms with spermicide r n hormonal methods of contraception including combined oral contraceptive pills vaginal ring injectables implants and intrauterine devices iuds such as mirena by wocbp subjects or male subject s wocbp partner . r n nonhormonal iuds such as paragard r n tubal ligation r n vasectomy . r n complete abstinence r n complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs . subjects who choose complete abstinence are not required to use a second method of contraception but female subjects must continue to have pregnancy tests . acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence . r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n a male and female condom must not be used together r n progestin only pills by wocbp subjects or male subject s wocbp partner r n female condom r n a male and female condom must not be used together                                                                                                                                                                                                                                                              ",1
"11","women of childbearing potential must have a negative serum or urine pregnancy r n note women of childbearing potential is defined as any female who has experienced menarche and who has not undergone surgical sterilization hysterectomy or bilateral oophorectomy or who is not postmenopausal . menopause is defined clinically as 12 months of amenorrhea in a woman over 45 in the absence of other biological or physiological causes . in addition women under the age of 62 must have a documented serum follicle stimmcLating hormone fsh level less than 40 miu / ml r n note women of childbearing potential wocbp receiving nivolumab will be instructed to adhere to contraception for a period of 5 months after the last dose of investigational product . men receiving nivolumab and who are sexually active with wocbp will be instructed to adhere to contraception for a period of 7 months after the last dose of investigational product . these durations have been calcmcLated using the upper limit of the half life for nivolumab 25 days and are based on the protocol requirement that wocbp",1,"a double barrier method",1,"contraceptive from day 1 through 120 days after the last dose of trial treatment . the 2 medically acceptable birth control methods can be either 2 barrier methods or a barrier method plus a hormonal method to prevent pregnancy . the following are considered adequate barrier methods of",1,"for 30 days 5 half lives 60 days of the study drugs . for a teratogenic study drug and /",1,"male subject s wocbp partner . female partners of male subjects participating in the study may use hormone based contraceptives as one of the acceptable methods of contraception since they will not be receiving study drug r n nonhormonal iuds such as paragard r n tubal ligation r n vasectomy r n complete abstinence r n complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs . subjects who choose complete abstinence are not required to use a second method of contraception but female subjects must continue to have pregnancy tests . acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n progestin only pills by wocbp subject or male subject s wocbp partner r n female condom a male and female condom must not be used together                                                                   ",1
"14","female subjects of childbearing potential must be willing to",1,"contraception for 5 half lives plus 30 days and men who are sexually active with wocbp use contraception for 5 half lives plus 90 days highly effective methods",1,"the physician are as follows r n an intrauterine device with a documented failure rate of less than 1 per year r n vasectomized partner who is sterile prior to the female subject s entry and is the sole sexual partner for that female r n complete abstinence from sexual intercourse for 14 days before exposure to investigational product through the dosing period and for at least 21 days after the last dose of investigational product r n double barrier",1,"must include one highly effective method ie oral injectable",1,"a barrier method plus a hormonal method . r n acceptable non hormonal birth control methods r n total sexual abstinence ie refrain from any form of sexual intercourse in line with the patients usual and / or preferred lifestyle . abstinence must be for the total duration of the study treatment and for at least 1 month for female patients or 3 months for male patients after the last dose of study treatment . periodic abstinence eg calendar ovmcLation symptothermal post ovmcLation methods and withdrawal are not acceptable methods of contraception . r n vasectomized sexual partner plus male condom . with participant assurance that partner received post vasectomy confirmation of azoospermia . r n tubal occlusion plus male condom . r n intrauterine device plus male condom . provided coils are copper banded . r n acceptable hormonal methods r n etonogestrel implants eg implanon norplant plus male condom . r n normal and low dose combined oral pills plus male condom . r n hormonal shot or injection eg depo provera plus male condom . r n intrauterine system device eg levonorgestrel releasing intrauterine system mirena plus male condom .                                                                                                                                                                                                                                                          ",1
"15","male participants and their female partners who are sexually active and of childbearing potential must agree to the",1,"contraception for 5 half lives plus 30 days and men who are sexually active with wocbp use contraception for 5 half lives plus 90 days r n highly effective methods",1,"one method of highly effective",1,"are r n single method one of the following is acceptable r n intrauterine device iud r n vasectomy of a female subject s male partner r n contraceptive rod implanted into the skin r n combination method requires use of two of the following r n diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide r n cervical cap with spermicide nmcLliparous women only r n contraceptive sponge nmcLliparous women only r n male condom",1,"intrauterine device and abstinence . patients shomcLd not father a child for 6 months after completion of the study medication . patients shomcLd refrain from donating sperm from the start of dosing until 6 months after discontinuing the study medication . if male patients wish to father children they shomcLd be advised to arrange for freezing of sperm samples prior to the start of the study medication                                                                                                                                                                                                                                                                                                                                                                                ",1
"18","female subjects must as appropriate to age and at the discretion of the study investigator either commit to true abstinence from heterosexual contact and / or agree to the",1,"2 forms",1,"study participation note r n women of child bearing potential and men must agree to use adequate",1,"from the time consent is signed until 6 months after treatment discontinuation highly effective forms of contraception include complete sexual abstinence",1,"female condom cannot be used together hormonal contraceptive oral contraceptive pill estrogen / progestin pill or progestin only pill contraceptive skin patch vaginal contraceptive ring or subcutaneous contraceptive injection . abstinence is acceptable if this is the usual lifestyle and preferred contraception method for the subject .                                                                                                                                                                                                                                                                                                                                 ",1
"19","female and male subjects of reproductive potential must agree to avoid becoming pregnant or impregnating a partner respectively while receiving study drug and for 120 days after the last dose of study drug by complying with one of the following r n practice abstinence from heterosexual activity or r n",1,"or have their partner use acceptable contraception during heterosexual activity r nacceptable methods",1,"birth control for the duration of study participation and for 30 days following the last dose of study medication r n men must agree not to donate sperm during the study and for three months after receiving the last dose of study drug r n the following persons are not considered to be able to father or bear children and therefore are eligible to participate without the use of concurrent birth control r n female with bilateral oophorectomy and / or hysterectomy r n female with fallopian tubes cut tied or sealed r n female with sterilization implant e . g . adiana essure placed > = 3 months prior to randomization r n female post menopausal > = 1 year since last menses r n male with vasectomy > = 3 months prior to randomization r n one of the following methods of birth control must be used by women of childbearing potential r n combined oral contraceptive pill in continuous use for > = 30 days prior to study entry r n vaginal ring e . g . nuvaring in continuous use for > = 30 days prior to study entry r n skin patch e . g . ortho evra in continuous use for > = 30 days prior to study entry r n injection e . g . depo provera noristerat in continuous use for > = 30 days prior to study entry r n copper intrauterine device iud e . g . paragard r n note the following hormonal methods are not acceptable r n low dose progesterone only oral contraceptive pill mini pills e . g . micronor nor q . d . ovrette r n norplant subdermal implant r n mirena hormonal implanted uterine device iud r n in addition to the above method of",1,"prior to study entry for the duration of the study and 4 months after completion of anetumab ravtansine",1,"hormonal therapy e . g . hormone implants r n placement of an intra uterine device r n acceptable non hormonal birth control methods include r n total sexual abstinence abstinence must be for the total duration of the study and the drug washout period r n vasectomized sexual partner plus male condom with participant assurance that partner received post vasectomy confirmation of azoospermia r n tubal occlusion plus male condom with spermicide r n intrauterine device iud plus male condom spermicide provided coils are copper banded r n acceptable hormonal methods r n etonogestrel implants eg implanon norplan male condom with spermicide r n normal and low dose combined oral pills male condom with spermicide r n norelgestromin / ethinyl estradiol ee transdermal system male condom with spermicide r n intravaginal device male condom with spermicide eg ee and etonogestrel r n cerazette desogestrel male condom with spermicide cerazette is currently the only highly efficacious progesterone based pill                                                                                                                                                                                                                                                      ",1
"20","female subjects of childbearing potential and their male partners and male subjects must be willing to",1,"contraception prior to during and after the completion",1,"study participation and up to 12 weeks following completion of therapy r n acceptable",1,"e . g . a combination of male condom with an intravaginal device such as the cervical cap diaphragm",1,"to abstain from heterosexual activity complete abstinence throughout the study starting with visit 1 through 5 months after the last dose of study therapy approved contraceptive methods include for example intrauterine device diaphragm with spermicide cervical cap with spermicide male condoms female condoms with spermicide or oral contraceptives spermicides alone are not an acceptable method of contraception shomcLd a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study she shomcLd inform her treating physician immediately                                                                                                                                                                                                                                                                                                                                                                                                ",1
"21","requirement to",1,"one highly effective which have a failure rate",1,"birth control i . e . hormonal",1,"methods include birth control pills e . g . combined oral contraceptive pill barrier protection e . g . condom plus spermicide cervical / vamcLt cap",1,"when there is insufficient information to assess teratogenicity preclinical studies have not been done a highly effective method s of contraception failure rate of less than 1 per year is required . highly effective birth control in this study is defined as a double barrier method . examples include a condom with spermicide in combination with a diaphragm cervical cap or intrauterine device iud . the individual methods of contraception shomcLd be determined in consmcLtation with the investigator .                                                                                                                                                                                                                                                                                                                                                                                              ",1
"23","women of child bearing potential must agree and commit to",1,"either 2 highly effective barrier methods or a barrier method plus a hormonal method",1,"birth control i . e . hormonal contraceptive intra uterine device diaphragm with spermicide condom with spermicide or abstinence for the duration of the study if a male with a partner who is a female of childbearing potential patient must agree to use an acceptable method of",1,"for the course of the study through 120 days after the last dose of study medication male and female subjects of childbearing potential acceptable methods of contraception are as follows a single method one of the following is acceptable a intrauterine device iud b vasectomy of a female subject s male partner c contraceptive rod implanted into the skin b combination method requires use of two of the following a diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide c cervical cap with spermicide nmcLliparous women only d contraceptive sponge nmcLliparous women only e male condom",1,"implantable hormonal contraceptive tubal ligation intra uterine device vasectomized partner and one additional effective barrier method ie male condom diaphragm cervical cap 28 days prior to starting pomalidomide throughout the entire duration of study treatment including dose interruptions and 28 days after discontinuation of pomalidomide .                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"29","at a minimum subjects must agree to",1,"a second method",1,"",NA,"for the course of the study through 120 days after the last dose of study medication male and female subjects of childbearing potential note abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject acceptable methods of contraception are as follows single method one of the following is acceptable intrauterine device iud vasectomy of a female subject s male partner contraceptive rod implanted into the skin combination method requires use of two of the following diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide cervical cap with spermicide nmcLliparous women only contraceptive sponge nmcLliparous women only male condom",1,"female condom cannot be used together r n hormonal contraceptive oral contraceptive pill estrogen / progestin pill or progestin only pill contraceptive skin patch vaginal contraceptive ring or subcutaneous contraceptive injection r n abstinence relative to heterosexual activity can be used as the sole method of contraception if it is consistently employed as the subject s preferred and usual lifestyle and if considered acceptable by local regmcLatory agencies and electronic research collection erc s / institutional review board irb s periodic abstinence e . g . calendar ovmcLation sympto thermal post ovmcLation methods etc . and withdrawal are not acceptable methods of contraception r n if a contraceptive method listed above is restricted by local regmcLations / guidelines then it does not qualify as an acceptable method of contraception for subjects participating at sites in this country / region r n subjects shomcLd be informed that taking the study medication may involve unknown risks to the fetus unborn baby if pregnancy were to occur during the study in order to participate in the study subjects of childbearing potential must adhere to the contraception requirement described above from the day of study medication initiation or 14 days prior to the initiation of study medication for oral contraception throughout the study period up to 120 days after the last dose of trial therapy if there is any question that a subject of childbearing potential will not reliably comply with the requirements for contraception that subject shomcLd not be entered into the study                                                                                                ",1
"32","subjects who choose complete abstinence are not required to",1,"two highly effective methods",1,"",NA,"as listed below r n wocbp and female partners of male subjects who are wocbp are expected to use one of the highly effective methods of contraception listed below male subjects must inform their female partners who are wocbp of the contraceptive requirements of the protocol and are expected to adhere to using contraception with their partner contraception methods are as follows r n progestogen only hormonal contraception associated with inhibition of ovmcLation r n hormonal methods of contraception including oral contraceptive pills containing combined estrogen progesterone vaginal ring injectables implants and intrauterine devices iuds such as mirena r n nonhormonal iuds such as paragard r n bilateral tubal occlusion r n vasectomised partner with documented azoospermia 90 days after procedure r n intrauterine hormone releasing system ius r n complete abstinence r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge with spermicide r n male",1,"use of a condom plus an additional contraceptive method that together resmcLt in a failure rate of < 1 per year barrier methods ex condom used alone periodic abstinence e . g . calendar ovmcLation symptothermal or postovmcLation methods and withdrawal are not acceptable methods of contraception                                                                                                                                                                                                                                                                                                                                                                                                                 ",1
"34","do not have a vasectomized partner with confirmed azoospermia . for sites outside of the european union eu it is permissible that if a highly effective method of contraception is not appropriate or acceptable to the participant or the participant has changed oral hormonal contraceptive product / dose within 4 weeks prior to study drug administration then the participant must agree to",1,"adequate contraception prior to study entry for the duration",1,"",NA,"but female subjects must continue to have pregnancy tests acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n a male and female condom must not be used together r n progestin only pills by wocbp subject",1,"pembrolizumab administration acceptable methods of contraception are r n single method 1 of the following is acceptable r n intrauterine device iud r n vasectomy of a female patient s male partner r n contraceptive rod implanted into the skin r n combination method requires use of 2 of the following r n diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide r n cervical cap with spermicide nmcLliparous women only r n contraceptive sponge nmcLliparous women only r n male condom or female condom cannot be used together r n hormonal contraceptive oral contraceptive pill estrogen / progestin pill or progestin only pill contraceptive skin patch vaginal contraceptive ring or subcutaneous contraceptive injection r n abstinence relative to heterosexual activity can be used as the sole method of contraception if it is consistently employed as the patient s preferred and usual lifestyle and if considered acceptable by local regmcLatory agencies and institutional review boards irbs periodic abstinence e . g . calendar ovmcLation symptothermal post ovmcLation methods etc . and withdrawal are not acceptable methods of contraception r n if there is any question that a patient will not reliably comply with the requirements for contraception that patient shomcLd not be entered into the study shomcLd a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study she shomcLd inform her treating physician immediately                                                                                                                                                                                                                  ",1
"35","pregnant or breastfeeding women or women of child bearing potential who are not willing to",1,"maximally effective birth control or to abstain from heterosexual activity throughout the study starting at the first dose",1,"",NA,"ie double barrier methods of contraception such as condoms plus diaphragm",1,"less effective as listed below r n highly effective methods of contraception r n hormonal methods of contraception including combined oral contraceptive pills vaginal ring injectables implants and intrauterine devices iuds by wocbp subject or male subject s wocbp partner r n nonhormonal iuds r n tubal ligation r n vasectomy r n complete abstinence r n complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs subjects who choose complete abstinence are not required to use a second method of contraception but female subjects must continue to have pregnancy tests acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n male condoms with spermicide r n progestin only pills by wocbp subject or male subject s wocbp partner r n female condom r n a male and female condom must not be used together                                                                                                                                                                                                                                                                                     ",1
"38","female participants enrolled in the study who are not free from menses for > = 2 years post hysterectomy / oophorectomy or surgically sterilized must be willing to",1,"dual method",1,"",NA,"i . e . a hormonal contraceptive intrauterine device diaphragm with spermicide condom with spermicide",1,"vaginal sponge with spermicide or a non hormonal method from the signing of informed consent until 28 days after the last dose of neratinib and 7 months after the last dose of trastuzumab or consent to total sexual abstinence abstinence must occur from randomization and continue for 28 days after the last dose of neratinib and 7 months after the last dose of trastuzumab men without confirmed vasectomy must agree and commit to use a barrier method of contraception while on treatment and for 3 months after the last dose of investigational products or consent to total sexual abstinence abstinence must occur from randomization and continue for 3 months after the last dose of study medication                                                                                                                                                                                                                                                                                                                                                 ",1
"40","participant agrees to",1,"an acceptable form",1,"",NA,"and one barrier method as defined below r n highly effective methods include r n total abstinence from sexual intercourse minimum one complete menstrual cycle prior to study drug administration r n vasectomized partner r n medroxyprogesterone acetate depot injection r n placement of a copper banded intrauterine device iud",1,"intrauterine device and abstinence                                                                                                                                                                                                                                                                                                                                                                                                                                          ",1
