"","Blank 1","Frequency","Blank 2","Frequency"
"120","willing to allow",1,"drawn at 0 6 and 12 months and about 5 10 ml of blood at 3 and 9 months                                                                                   ",1
"122","patient agrees to the collection and testing of their",1,"and endoscopic mucosal biopsies for research                                                                                                   ",1
"123","refusal to accept allogeneic or autologous",1,"and blood components according to local requirements and regmcLations                                                                                                 ",1
"124","unable to accept",1,"approximately 6 teaspoons drawn at 0 and 3 months and about 5 10 ml of blood approximately 1 2 teaspoons at 1 and 2 months                                                                             ",1
"125","patients must be willing to accept",1,"or blood products during the study and for 7 months after the last dose                                                                                             ",1
"126","unwilling to accept",1,"for any reason                                                                                                    ",1
"20","",NA,"access for blood samples                                                                                             ",1
"22","",NA,"samples                                                                                                             ",1
"23","",NA,"only collections from patients with partial or stable disease response r n blood will not be collected from patients whose disease demonstrates ongoing partial response or with ongoing i . e . prolonged stable disease given the poor rate of model generation from such samples r n blood will not be collected from patients between doses within a single treatment cycle                                                  ",1
"24","",NA,"collections                                                                                                           ",1
"27","",NA,"and is willing and able n to provide approximately 40ml blood draw s at                                                                                        ",1
