"","Blank 1","Frequency","Blank 2","Frequency"
"15","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 2 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated for cure within the past 2 years cervical cancer in situ carcinoma in situ of the breast and",1,"",NA
"16","individuals with a history of a different invasive malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",1,"",NA
"19","individuals with a history of a different malignancy except for the following circumstances if they have been disease free for at least 2 years prior to starting study drug and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 2 years cervical cancer in situ and",1,"",NA
"21","individuals with a history of an invasive malignancy are ineligible except for the following circumstances a individuals with a history of invasive malignancy are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy b individuals with the following cancers are eligible if diagnosed and treated carcinoma in situ of the breast oral cavity or cervix and",1,"",NA
"22","individuals with a history of an invasive malignancy except for the following circumstances a individuals with a history of invasive malignancy are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy b individuals with any of the following cancers are eligible if diagnosed and treated carcinoma in situ of the breast oral cavity or cervix and",1,"",NA
"23","individuals with a history of a different malignancy are excluded except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible even if diagnosed within the past 3 years if treated with curative intent cervical cancer in situ and",1,"",NA
"27","",1,"",NA
"30","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated with curative intent within the past 5 years cervical cancer in situ localized prostate cancer and",1,"",NA
"31","phase i individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 3 years cervical cancer in situ and",1,"",NA
"32","phase ii individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 3 years cervical cancer in situ and",1,"",NA
"34","individuals with a history of a different malignancy are ineligible except for the following circumstances r n individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy or r n individuals with the following cancers are eligible if diagnosed and treated within the past 5 years superficial bladder cancer",1,"",NA
"35","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years",1,"",NA
"36","individuals with a history of a different malignancy are ineligible except for the following circumstances r n individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years or are deemed by the investigator to be at low risk for recurrence of that malignancy r n individuals with the following cancers are eligible if diagnosed and treated within the past 3 years breast cancer in situ and",1,"",NA
"37","individuals with a history of a different active malignancy are ineligible participants with a history of other malignancies are eligible if they have been disease free for at least 2 years not on active treatment and deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 2 years cervical cancer in situ",1,"",NA
"38","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy in addition individuals with the following cancer are eligible regardless of when they were diagnosed and treated cervical cancer in situ",1,"",NA
"39","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ",1,"",NA
"41","individuals with a history of another non hematologic malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",1,"",NA
"42","individuals with a history of a different malignancy are eligible if they have been disease free for at least 2 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 2 years cervical cancer in situ and",1,"",NA
"43","individuals with a history of a different malignancy are ineligible except for the patients with concurrent non invasive endometrial cancer individuals with a history of other malignancies are eligible if they have been disease free for at least 2 years were treated with curative intent and are deemed by the investigator to be at low risk for recurrence of that malignancy . individuals with the following cancers are eligible if diagnosed and treated within the past 2 years cervical cancer in situ and",1,"",NA
"44","individuals with the following cancers are eligible if diagnosed and definitively treated prior to study entry cervical cancer in situ",1,"",NA
"45","individuals with a history of a different malignancy other than all are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",1,"",NA
"49","patients with a history of a different malignancy are ineligible except for the following circumstances r n individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy r n individuals with the following cancers are eligible if diagnosed and treated within the past 3 years r n cervical cancer in situ r n",1,"",NA
"50","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ prostate cancer in situ and",1,"",NA
"51","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years ductal carcinoma in situ of the breast cervical cancer in situ and",1,"",NA
"52","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years non invasive cancer such as any in situ cancers and",1,"",NA
"53","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ ductal carcinoma in situ dcis stage i prostate cancer and",1,"",NA
"55","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they were treated with curative intent are currently disease free and have an estimated risk of recurrence less than 10 at the time of study entry . individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",1,"",NA
"56","individuals with a history of other malignancies are eligible only if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the preceding 5 years cervical cancer in situ and",1,"",NA
"57","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years or if they are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years breast cancer in situ cervical cancer in situ and",1,"",NA
"58","patients with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",1,"",NA
"59","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years noninvasive cancer such as any in situ cancers and",1,"",NA
