"","Blank 1","Frequency","Blank 2","Frequency"
"23","history of another malignancy exception subjects who have been disease free for 3 years or subjects with a history of completely resected non melanoma skin cancer and / or subjects with indolent early stage",1,"from which the patient has been disease free for = < 3 years                                                                                                 ",1
"24","patients with a past or current second malignancy are not eligible aside from the following exceptions r n patients who have been free of malignancy for at least 5 years r n patients who have a history of completely resected basal or squamous cell skin cancer successfmcLly treated in situ carcinoma of the",1,"unless the patient has been disease free for > = 3 years                                                                                                  ",1
"26","prior invasive malignancy except non melanomatous skin cancer curatively resected thyroid papillary carcinoma and invasive and non invasive cancers related to the",1,"from which the patient has been disease free for 3 years                                                                                                   ",1
"28","prior history of invasive non",1,"prostate . if there is a history of prior malignancy patient must not be receiving other specific treatment other than hormonal therapy for the cancer .                                                                                      ",1
"31","participant has a concurrent active malignancy other than",1,"carcinoma in situ dcis or carcinoma in situ of the cervix r n note if there is a history or prior malignancy they must not be receiving other specific treatment for their cancer                                                                  ",1
"32","or",1,"or prostate cancer are permitted if they meet other eligibility criteria patients with non melanotic skin cancer may enroll                                                     ",1
"38","history of malignancy other than nonmelanoma skin cancer or carcinoma in situ eg cervix bladder",1,"prostate if there is a history of prior malignancy                                                                                     ",1
"39","and",1,"note if there is a history of prior malignancy they must not be receiving other specific treatment for their cancer                                                                    ",1
"44","patients who have a history of another primary malignancy from which the patient has been disease free for < 1 year with the exceptions of non melanoma skin cancer and carcinoma in situ of the cervix uteri or",1,"or prostatic intraepithelial neoplasm note if there is a history or prior malignancy patient must not be receiving other specific treatment other than hormonal therapy for their cancer                                                             ",1
"47","patients must not have previous or concurrent malignancy exceptions are made for patients who meet any of the following conditions r n non melanoma skin cancer in situ cervical cancer or",1,"penis                                                                                                 ",1
"54","other malignancy requiring active therapy r n exceptions non melanoma skin cancer ductal",1,"oral cavity cervix                                                                                       ",1
"55","other active malignancy = < 2 years prior to registration exceptions non melanotic skin cancer or carcinoma in situ of the cervix note if there is a history of prior malignancy they must not be receiving other specific treatment for their cancer note adjuvant anti estrogen / hormonal therapy for",1,"localized prostate cancer carcinoma in situ of the oral cavity                                                                           ",1
"56","other active malignancy than lymphoma r n note if there is a history of prior malignancy they must not be receiving other specific treatment for their cancer that comcLd interfere with this protocol therapy patients on hormonal therapy for treated",1,"or cervix are all permissible are permitted even if diagnosed and treated < 3 years ago                                                                                                ",1
"57","active other malignancy excepting non melanotic skin cancer or carcinoma in situ e . g . of cervix",1,"oral cavity or cervix is all permissible                                                                                  ",1
"58","other active malignancy = < 6 months prior to registration r n exceptions non melanotic skin cancer or carcinoma in situ of the cervix or or prostate cancer confined to prostate gland or coexistent differentiated thyroid cancer r n note if there is a history of prior malignancy they must not be receiving other treatment for their cancer ongoing adjuvant hormonal treatment for",1,"oral cavity or cervix are permissible                                                                                  ",1
"59","other active malignancy = < 3 years prior to registration exceptions non melanotic skin cancer or carcinoma in situ of the cervix uterus or",1,"malignancies with a similar outcome to those mentioned above                                                                                                    ",1
"60","other active malignancy = < 5 years prior to registration exceptions non melanotic skin cancer or carcinoma in situ of the cervix or",1,"cancer within 5 years prior to treatment initiation except for appropriately treated carcinoma in situ of the cervix non melanoma skin carcinoma or stage i uterine cancer                                                                                  ",1
"61","prior invasive malignancy except non melanomatous skin cancer and t1 renal cell carcinoma unless disease free for a minimum of 2 years note that carcinoma in situ of the",1,"",NA
"62","no prior or current invasive malignancy except non melanomatous skin cancer localized bladder and prostate cancer unless disease free for a minimum of 2 years for example carcinoma in situ of the",1,"",NA
"63","prior invasive malignancy except non melanomatous skin cancer low or intermediate risk prostate cancer or in situ carcinoma of",1,"",NA
"65","prior invasive malignancy except node negative non melanomatous skin cancer unless disease free for a minimum of 1095 days 3 years for example carcinoma in situ of the",1,"",NA
"68","prior invasive malignancy except non melanomatous skin cancer carcinoma in situ of the male",1,"",NA
"69","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years carcinoma in situ of the",1,"",NA
"70","prior invasive malignancy unless disease free for a minimum of 3 years however skin cancer and in situ carcinomas of the",1,"",NA
"73","prior invasive malignancy except non melanoma skin cancer or non life limiting invasive malignancy that may not require treatment such as low risk prostate cancer unless disease free for a minimum of 3 years for example carcinoma in situ of",1,"",NA
"83","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 2 years e . g . carcinoma in situ of the",1,"",NA
"85","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years noninvasive cancers for example carcinoma in situ of the",1,"",NA
"86","prior or current invasive malignancy except non melanomatous skin cancer localized bladder and prostate cancer unless disease free for a minimum of 2 years for example carcinoma in situ of the",1,"",NA
"88","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years e . g . carcinoma in situ of the",1,"",NA
"89","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 1 year for example carcinoma in situ of the",1,"",NA
"91","patients with prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years e . g . carcinoma in situ of the",1,"",NA
"92","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years note carcinoma in situ of the",1,"",NA
"93","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 730 days 2 years for example carcinoma in situ of the",1,"",NA
"95","prior invasive malignancy except non melanomatous skin cancer unless disease free for a minimum of 3 years . for example carcinoma in situ of the",1,"",NA
"96","history of invasive cancer in the last 3 years except for appropriately treated low risk prostate cancer treated non melanoma / melanoma skin cancer appropriately treated ductal carcinoma in situ or early stage invasive carcinoma of",1,"",NA
"97","appropriately treated ductal carcinoma in situ or early stage invasive carcinoma of",1,"",NA
"98","or other non",1,"",NA
"99","malignancies other than",1,"",NA
