"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"5","",NA,"gastrointestinal disease that may significantly alter the absorption of oral medications e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"or small bowel resection patients with unresolved diarrhea will be excluded                  ",1
"6","",NA,"gastrointestinal disease e . g . uncontrolled nausea vomiting diarrhea",1,"small bowel resection within last 1 year or gastric bypass surgery within last 1 year    ",1
"7","",NA,"gastrointestinal disease that may significantly alter the absorption of study medication e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"small bowel resection including dependence on a gastrostomy tube g tube for administration of medications                ",1
"8","",NA,"gastrointestinal disease affecting absorption of buparlisib e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"or gastric or small bowel resection                         ",1
"9","",NA,"gastrointestinal disease that comcLd interfere with the absorption of aeb071 or byl719 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"concomitant therapy with antacids and anti emetics is permissible                ",1
"10","",NA,"gastrointestinal disease that may significantly alter the absorption of the drug e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"11","",NA,"gastrointestinal disease that may significantly alter the absorption of pd 0325901 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"12","",NA,"impairment of gastrointestinal function or gastrointestinal disease that may significantly alter the absorption of the drugs e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea > = common terminology criteria for adverse events ctcae grade 2",1,"",NA
"14","",NA,"gastrointestinal disease that may significantly alter the absorption of bibf 1120 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"15","",NA,"gastrointestinal disease that may significantly alter the absorption of sirolimus e . g . active mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"16","",NA,"disease that may significantly alter the absorption of encorafenib or binimetinib e . g . mcLcerative diseases uncontrolled vomiting",1,"",NA
"17","",NA,"has impairment of gastrointestinal gi function or gi disease that may significantly alter drug absorption e . g . active inflammatory bowel disease uncontrolled nausea vomiting diarrhea or",1,"",NA
"18","",NA,"gi disease that may significantly alter the absorption of the study drugs e . g . uncontrolled mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"19","",NA,"gi disease that may significantly alter the absorption of dabrafenib and trametinib in the opinion of the treating investigator e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"20","",NA,"gi disease that may significantly alter the absorption of h3b 6545 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"21","",NA,"gi disease that may significantly alter the absorption of vemurafenib and cobimetinib in the opinion of the treating investigator e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"23","",NA,"gi disease that may significantly alter the absorption of inc280 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea or",1,"",NA
"24","",NA,"gi disease that may significantly alter the absorption of oral alpelisib e . g . uncontrolled nausea vomiting diarrhea",1,"",NA
"25","",NA,"gi disease that may significantly alter the absorption of panobinostat or dexamethasone e . g . mcLcerative disease uncontrolled nausea vomiting",1,"",NA
"29","",NA,"gi disease that may significantly alter the absorption of study medications e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"30","",NA,"gi disease that may significantly alter the absorption of orally administered medication e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea or",1,"",NA
"31","",NA,"gi disease that may significantly alter the absorption of the study drugs e . g . mcLcerative diseases uncontrolled nausea / vomiting / diarrhea",1,"",NA
"32","",NA,"gi disease that may significantly alter the absorption of ceritinib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea or",1,"",NA
"34","",NA,"gi disease that may significantly alter the absorption of oral drug e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"35","",NA,"gi disease that may significantly alter the absorption of azd1775 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"36","",NA,"diarrhea at the start of the study patient has impairment of gi function or gi disease that may significantly alter the absorption of ceritinib e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea or",1,"",NA
"38","",NA,"gi disease that may significantly alter the absorption of oral alpelisib e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"40","",NA,"impairment of gi function e . g . active mcLcerative disease uncontrolled nausea vomiting or diarrhea",1,"",NA
"41","",NA,"gi disease that may significantly alter the absorption of abemaciclib e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"42","",NA,"gi disease that may significantly alter the absorption of oral mln0128 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"43","",NA,"gi disease that may significantly alter the absorption of mocetinostat e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"44","",NA,"gi disease that may significantly alter absorption of oral capecitabine e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"45","",NA,"gi disease that may significantly alter the absorption of bkm120 or byl719 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"46","",NA,"gi disease that may significantly alter the absorption of buparlisib eg mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"47","",NA,"gi disease that may significantly alter the absorption of drug e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"48","",NA,"active gi disease that may significantly alter the absorption of study drug in the opinion of the treating physician e . g . active mcLcerative diseases uncontrolled nausea uncontrolled vomiting uncontrolled diarrhea active",1,"",NA
"50","",NA,"gi disease that may significantly alter the absorption of mek162 e . g . mcLcerative disease uncontrolled nausea vomiting diarrhea",1,"",NA
"51","",NA,"gi disease that may significantly alter the absorption of wnt974 e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"52","",NA,"gi disease that may significantly alter the absorption of dovitinib e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"53","",NA,"gi disease that may significantly alter the absorption of oral medications e . g . mcLcerative diseases uncontrolled nausea vomiting diarrhea",1,"",NA
"61","",NA,"has impairment of gastrointestinal gi function or gi disease that may significantly alter drug absorption including but not limited to active inflammatory bowel disease",1,"",NA
