CUI,Drug,Indication
['69634'],sargramostim,for the treatment of cancer and bone marrow transplant
['9627'],secretin,for diagnosis of pancreatic exocrine dysfunction and gastrinoma
['253453'],peginterferon alfa2b,peginterferon alfa2b is indicated for the treatment of hcv in combination with db00811 and a ns34a protease inhibitor for genotype 1 or without a ns34a protease inhibitor for genotypes 26 fda label may be used as a monotherapy in patients with contraindications to or significant intolerance to other antiviral therapies
['1156'],asparaginase,for treatment of acute lympocytic leukemia and nonhodgkins lymphoma
"['4952', '10579']",thyrotropin alfa,for detection of residueal or recurrent thyroid cancer
['1300486'],antihemophilic factor human recombinant,for the treatment of hemophilia a von willebrand disease and factor xiii deficiency
['72435'],anakinra,for the treatment of adult rheumatoid arthritis and treatment of neonatalonset multisystem inflammatory disease nomid
['5011'],gramicidin d,for treatment of skin lesions surface wounds and eye infections
"['42386', '1426680']",immune globulin human,ivig is used in the treatment of immunodeficiencies as well as autoimmune and inflammatory disorders these indications includes idiopathic thrombocytopenic purpura kawasaki disease hypogammaglobulinemia b cell chronic lymphocytic leukemia bone marrow transplant complications guillainbarré syndrome chronic inflammatory demyelinating polyneuropathy cidp multiple sclerosis rheumatoid arthritis myesthenia gravis wiskottaldrich syndrome and inflammatory skin diseases
['40028'],anistreplase,for lysis of acute pulmonary emboli intracoronary emboli and management of myocardial infarction
"['253182', '631657']",insulin human,indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus
['259280'],tenecteplase,for treatment of myocardial infarction and lysis of intracoronary emboli
['5882'],interferon gamma1b,interferon gamma1b is used for the treatment of chronic granulomatous disease and osteopetrosis
['5879'],interferon alfa2a recombinant,for the treatment of chronic hepatitis c hairy cell leukemia aidsrelated kaposis sarcoma and chronic myelogenous leukemia also for the treatment of oral warts arising from hiv infection
['3251'],desmopressin,oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region intranasal and parenteral formulations may be used to manage spontaneous or traumainduced bleeds eg hemarthrosis intramuscular hematoma mucosal bleeding in patients with hemophilia a or von willebrands disease type i may also be used parenterally to prevent or treat bleeding in patients with uremia
"['4256', '253149', '314620']",coagulation factor viia recombinant human,for treatment of hemorrhagic complications in hemophilia a and b
['139994'],oprelvekin,increases reduced platelet levels due to chemotherapy
['196319'],palifermin,for treatment of oral mucositis associated with chemotherapy and radiation therapy
"['4832', '261716']",glucagon recombinant,for treatment of severe hypoglycemia also used in gastrointestinal imaging
['70223'],aldesleukin,for treatment of adults with metastatic renal cell carcinoma
['860178'],botulinum toxin type b,for the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia
['302379'],omalizumab,for treatment of asthma caused by allergies
['388084'],lutropin alfa,for treatment of infertility in women with hypothalamic or pituitary insufficiency hypogonadotropic hypogonadism and profound lh deficiency lh 12 international units iul
['54214'],lyme disease vaccine recombinant ospa,for prophylactic treatment of lyme disease
"['86009', '314684']",insulin lispro,for the treatment of type 1 or 2 diabetes mellitus to be used in conjunction with an intermediate or longacting insulin except when used in a continuous insulin infusion pump
['274783'],insulin glargine,for the treatment of type 1 or 2 diabetes mellitus in patients over 17 years old who require a longacting basal insulin for the control of hyperglycemia may be used in pediatric patients with type 1 diabetes mellitus who require a longacting basal insulin for glycemic control
"['58939', '898492']",collagenase clostridium histolyticum,used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers
['283821'],rasburicase,for treatment of hyperuricemia reduces elevated plasma uric acid levels from chemotherapy
['68147'],cetrorelix,for the inhibition of premature lh surges in women undergoing controlled ovarian stimulation
['327361'],adalimumab,for treatment of rheumatoid arthritis psoriatic arthritis ankylosing spondylitis and crohns disease
['61148'],somatotropin,for treatment of dwarfism acromegaly and prevention of hivinduced weight loss
['84959'],imiglucerase,for the treatment of gauchers disease deficiency in glucocerebrosidase
['83929'],abciximab,abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours abciximab is intended for use with aspirin and heparin and has been studied only in that setting
['352374'],drotrecogin alfa,for reduction of mortality in patients with severe sepsis
['1294580'],gemtuzumab ozogamicin,indicated for the treatment of patients with cd33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy indicated for the treatment of patients aged 2 years and older with cd33positive aml who have experienced a relapse or who have not responded to initial treatment refractory
"['535', '991743']",alpha1proteinase inhibitor,for chronic augmentation and maintenance therapy in individuals with alpha1proteinase inhibitor a1pi deficiency and clinical evidence of emphysema
['34132'],pegaspargase,for treatment of acute lymphoblastic leukemia
['75917'],interferon beta1a,for treatment of relapsingremitting multiple sclerosis also for condyloma acuminatum
['59768'],pegademase bovine,for treatment of adenosine deaminase deficiency
"['828529', '1370439']",human serum albumin,for treatment of severe blood loss hypervolemia and hypoproteinemia
"['75635', '288688']",eptifibatide,for treatment of myocardial infarction and acute coronary syndrome
"['191831', '1790539', '1927283']",infliximab,indicated for reducing signs and symptoms and inducing and maintaining clinical remission in adult or pediatric 6 years of age patients with moderately to severely active crohns disease who have had an inadequate response to conventional therapy indicated for reducing the number of draining enterocutaneous and rectovaginal fistulas and maintaining fistula closure in adult patients with fistulizing crohns disease indicated for reducing signs and symptoms inducing and maintaining clinical remission and mucosal healing and eliminating corticosteroid use in adult or pediatric 6 years of age patients with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy indicated for in combination with methotrexate reducing signs and symptoms inhibiting the progression of structural damage and improving physical function in patients with moderately to severely active rheumatoid arthritis indicated for reducing signs and symptoms in patients with active ankylosing spondylitis indicated for reducing signs and symptoms of active arthritis inhibiting the progression of structural damage and improving physical function in patients with psoriatic arthritis indicated for the treatment of adult patients with chronic severe ie extensive andor disabling plaque psoriasis who are candidates for systemic therapy and when other systemic therapies are medically less appropriate
"['25357', '227518', '386938']",follitropin,in women having been diagnosed with primary ovarian failure it is used in combination with human chorionic gonadotropin hcg to assist in ovulation and fertility in men with hypogonadotrophic hypogonadism it is used to induce spermatogenesis follitropin may also be used to cause the ovary to produce several follicles which can then be harvested for use in gamete intrafallopian transfer gift or in vitro fertilization ivf
['11149'],vasopressin,for the treatment of enuresis polyuria diabetes insipidus polydipsia and oesophageal varices with bleeding
"['72257', '72258']",interferon beta1b,interferon beta1b is a drug used for the treatment of relapsingremitting multiple sclerosis it has been shown to slow the advance of the disease as well as to decrease the frequency of attacks
['59744'],interferon alfacon1,for the treatment of hairy cell leukemia malignant melanoma and aidsrelated kaposis sarcoma
"['5464', '486164']",hyaluronidase,for increase of absorption and distribution of other injected drugs and for rehydration
"['221109', '1309342']",insulin pork,for the treatment of type i and ii diabetes mellitus
['224905'],trastuzumab,for treatment of early stage her2positive breast cancer or metastatic breast cancer that substantially overexpress her2
['121191'],rituximab,for treatment of cd20positive nonhodgkins lymphoma chronic lymphocytic leukemia and rheumatoid arthritis
['196102'],basiliximab,for prophylactic treatment of kidney transplant rejection
['42405'],muromonab,for treatment of organ transplant recipients prevention of organ rejection
['1745257'],digoxin immune fab ovine,for treatment of digitoxin overdose or digitalis glycoside toxicity
['262323'],ibritumomab tiuxetan,for treatment of nonhodgkins lymphoma
['22299'],daptomycin,for the treatment of complicated skin and skin structure infections caused by susceptible strains of grampositive microorganisms
['263010'],tositumomab,for treatment of nonhodgkins lymphoma cd20 positive follicular
['278739'],pegvisomant,pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly
"['1712', '860168', '860189', '1000104']",botulinum toxin type a,for the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia including benign essential blepharospasm or vii nerve disorders in patients 12 years of age and above also used cosmetically to temporarily improve the appearance of moderatetosevere frown lines between the eyebrows glabellar lines as well as for the treatment of excessive underarm sweating
"['7880', '235379']",pancrelipase,for treatment of exocrine pancreatic insufficiency in cystic fibrosis ultresa chronic pancreatitis viokace in combination with a proton pump inhibitor and pancreatectomy viokace in combination with a proton pump inhibitor
['10106'],streptokinase,for the treatment of acute evolving transmural myocardial infarction pulmonary embolism deep vein thrombosis arterial thrombosis or emolism and occlusion of arteriovenous cannulae
['117055'],alemtuzumab,alemtuzumab campath is a monoclonal antibody therapy used for treatment of bcell chronic lymphocytic leukemia
['46049'],alglucerase,for the treatment of gauchers disease deficiency in glucocerebrosidase
['136300'],capromab pendetide,for diagnosis of prostate cancer and detection of intrapelvic metastases
['392509'],laronidase,for the treatment of mucopolysaccharidosis
['3008'],cyclosporine,for treatment of transplant kidney liver and heart rejection rheumatoid arthritis severe psoriasis
['299635'],alefacept,as an immunosuppressive drug alefacept can be used for treatment of moderate to severe chronic plaque psoriasis
['4319'],felypressin,for use as an alternative to adrenaline as a localising agent provided that local ischaemia is not essential
['134404'],urofollitropin,for treatment of female infertility
['356988'],efalizumab,for the treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for phototherapy or systemic therapy
['283550'],choriogonadotropin alfa,for the treatment of female infertility
"['107044', '225741']",antithymocyte immunoglobulin rabbit,for prevention of renal transplant rejection
"['68442', '1433764', '1605064']",filgrastim,filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy it is also used in cancer patients receiving bone marrow transplant in general filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations infection and neutropenia are adverse events associated with chemotherapy furthermore filgrastim is also indicated for patients with severe chronic neutropenia it mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment tbofilgrastim has a narrower indication profile than neupogen it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with nonmyeloid malignancies
['1300488'],coagulation factor ix recombinant,for treatment of hemophilia christmas disease
['115238'],becaplermin,for topical treatment of skin ulcers from diabetes
"['259351', '338817']",agalsidase beta,for treatment of fabrys disease alphagalactosidase a deficiency
['7617'],octreotide,for treatment of acromegaly and reduction of side effects from cancer chemotherapy
['5880'],interferon alfa2b recombinant,for the treatment of hairy cell leukemia malignant melanoma and aidsrelated kaposis sarcoma
['301739'],abarelix,for palliative treatment of advanced prostate cancer
['7824'],oxytocin,used for labor induction augmentation of labor postpartum abbreviation of third stage of labor postpartum control of uterine bleeding termination of pregnancy and for the evaluation of fetal respiratory capability oxytocin cannot be used for elective induction of labor there must be a clear medical requirement
['354770'],natalizumab,for treatment of multiple sclerosis
['139896'],enfuvirtide,enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of hiv1aids
['194279'],palivizumab,for prophylaxis of respiratory diseases casued by respiratory syncytial virus
['190353'],daclizumab,zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection
['253337'],bevacizumab,as part of combination therapy for metastatic colorectal cancer and her2negative metastatic breast cancer
['230435'],technetium tc99m arcitumomab,for imaging colorectal tumors
"['9004', '1599827']",pyridoxal phosphate,for nutritional supplementation and for treating dietary shortage or imbalance
['11248'],cyanocobalamin,for treatment of pernicious anemia due to lack of or inhibition of intrinsic factor and for prevention and treatment of vitamin b 12 deficiency
['5340'],histidine,the actions of supplemental lhistidine are entirely unclear it may have some immunomodulatory as well as antioxidant activity lhistidine may be indicated for use in some with rheumatoid arthritis it is not indicated for treatment of anemia or uremia or for lowering serum cholesterol
['9504'],ademetionine,sadenosylmethionine same is used as a drug in europe for the treatment of depression liver disorders fibromyalgia and osteoarthritis it has also been introduced into the united states market as a dietary supplement for the support of bone and joint health as well as mood and emotional well being
['35161'],pyruvic acid,for nutritional supplementation also for treating dietary shortage or imbalance
['8156'],lphenylalanine,lphenylalanine may be helpful in some with depression it may also be useful in the treatment of vitiligo there is some evidence that lphenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs
"['1588', '314583']",biotin,for nutritional supplementation also for treating dietary shortage or imbalance
['2449'],choline,for nutritional supplementation also for treating dietary shortage or imbalance
['6536'],llysine,supplemental llysine has putative antiherpes simplex virus activity there is preliminary research suggesting that it may have some antiosteoporotic activity
['1091'],larginine,used for nutritional supplementation also for treating dietary shortage or imbalance
"['1151', '1370460']",vitamin c,used to treat vitamin c deficiency scurvy delayed wound and bone healing urine acidification and in general as an antioxidant it has also been suggested to be an effective antiviral agent
['1483263'],spermine,for nutritional supplementation also for treating dietary shortage or imbalance
"['1169', '42543']",laspartic acid,there is no support for the claim that aspartates are exercise performance enhancers ie ergogenic aids
"['7704', '314709']",ornithine,used for nutritional supplementation also for treating dietary shortage or imbalance it has been claimed that ornithine improves athletic performance has anabolic effects has woundhealing effects and is immunoenhancing
['4885'],lglutamine,used for nutritional supplementation also for treating dietary shortage or imbalance used to reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older fda label
['309'],adenosine monophosphate,for nutritional supplementation also for treating dietary shortage or imbalance
['52071'],alphalinolenic acid,for nutritional supplementation and for treating dietary shortage or imbalance
['9671'],serine,used as a natural moisturizing agent in some cosmetics and skin care products
['6837'],lmethionine,used for protein synthesis including the formation of same lhomocysteine lcysteine taurine and sulfate
['10962'],ltyrosine,tyrosine is claimed to act as an effective antidepressant however results are mixed tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue however these claims have been refuted by some studies
['1894'],calcitriol,used to treat vitamin d deficiency or insufficiency refractory rickets vitamin d resistant rickets familial hypophosphatemia and hypoparathyroidism and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis also used in conjunction with calcium in the management and prevention of primary or corticosteroidinduced osteoporosis
['11359'],lutein,xanthophylls are taken for nutritional supplementation and also for treating dietary shortage or imbalance
['3036'],cystine,it has been claimed that lcysteine has antiinflammatory properties that it can protect against various toxins and that it might be helpful in osteoarthritis and rheumatoid arthritis more research will have to be done before lcysteine can be indicated for any of these conditions research to date has mostly been in animal models
"['37255', '1307106']",succinic acid,for nutritional supplementation also for treating dietary shortage or imbalance
['9346'],riboflavin,for the treatment of ariboflavinosis vitamin b2 deficiency
['1362871'],nacetylglucosamine,for the treatment and prevention of osteoarthritis by itself or in combination with chondroitin sulfate
"['25916', '70602']",glutamic acid,considered to be natures brain food by improving mental capacities helps speed the healing of ulcers gives a lift from fatigue helps control alcoholism schizophrenia and the craving for sugar
['4890'],glutathione,for nutritional supplementation also for treating dietary shortage or imbalance
['89959'],phosphatidyl serine,phosphatidylserine has demonstrated some usefulness in treating cognitive impairment including alzheimers disease ageassociated memory impairment and some nonalzheimers dementias more research is needed before phosphatidylserine can be indicated for immune enhancement or for reduction of exercise stress
['4919'],glycine,supplemental glycine may have antispastic activity very early findings suggest it may also have antipsychotic activity as well as antioxidant and antiinflammatory activities
"['1889', '1855064']",calcidiol,used to treat vitamin d deficiency or insufficiency refractory rickets vitamin d resistant rickets familial hypophosphatemia and hypoparathyroidism and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis also used in conjunction with calcium in the management and prevention of primary or corticosteroidinduced osteoporosis
['9002'],pyridoxal,pyridoxal is one of the natural forms available of vitamin b6 therefore it is used for nutritional supplementation and for treating dietary shortage or imbalances
['2907'],creatine,for nutritional supplementation also for treating dietary shortage or imbalance
['6308'],lleucine,indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress
['10898'],ltryptophan,tryptophan may be useful in increasing serotonin production promoting healthy sleep managing depression by enhancing mental and emotional wellbeing managing pain tolerance and managing weight
['3024'],lcysteine,for the prevention of liver damage and kidney damage associated with overdoses of acetaminophen
['10454'],thiamine,for the treatment of thiamine and niacin deficiency states korsakovs alcoholic psychosis wernickekorsakov syndrome delirium and peripheral neuritis
['4018'],ergocalciferol,for use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism as well as for the treatment of familial hypophosphatemia vitamin d resistant rickets this drug has also been used in the treatment of nutritional rickets or osteomalacia vitamin d dependent rickets rickets or osteomalacia secondary to longterm high dose anticonvulsant therapy early renal osteodystrophy osteoporosis in conjunction with calcium and hypophosphatemia associated with fanconi syndrome with treatment of acidosis
['2567'],lcitrulline,used for nutritional supplementation also for treating dietary shortage or imbalance
['10524'],lthreonine,lthreonine makes up collagen elastin and enamel protein it aids proper fat metabolism in the liver helps the digestive and intestinal tracts function more smoothly and assists in metabolism and assimilation
['7222'],nadh,some evidence suggests that nadh might be useful in treating parkinsons disease chronic fatigue syndrome alzheimers disease and cardiovascular disease
"['4511', '62356', '202634']",folic acid,for treatment of folic acid deficiency megaloblastic anemia and in anemias of nutritional supplements pregnancy infancy or childhood
['90'],icosapent,epa can be used for lowering elevated triglycerides in those who are hyperglyceridemic in addition epa may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy
['426'],lalanine,used for protein synthesis
['11115'],lvaline,promotes mental vigor muscle coordination and calm emotions may also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria
['1367187'],vitamin a,for the treatment of vitamin a deficiency
"['11256', '237099']",vitamin e,vitamin e known for its antioxidant activities is protective against cardiovascular disease and some forms of cancer and has also demonstrated immuneenhancing effects it may be of limited benefit in some with asthma and rheumatoid arthritis it may be helpful in some neurological diseases including alzheimers some eye disorders including cataracts and diabetes and premenstrual syndrome it may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging enhances male fertility and exercise performance are poorly supported it may help relieve some muscle cramps
"['42954', '684879']",pyridoxine,for the treatment of vitamin b6 deficiency and for the prophylaxis of isoniazidinduced peripheral neuropathy
['6417'],lipoic acid,for nutritional supplementation also for treating dietary shortage or imbalance
['6033'],lisoleucine,the branchedchain amino acids may have antihepatic encephalopathy activity in some they may also have anticatabolic and antitardive dyskinesia activity
['1311524'],aspartame,used as a diet supplement and sugar substitute
['2418'],cholecalciferol,for the treatment of vitamin d deficiency or insufficiency refractory rickets vitamin d resistant rickets familial hypophosphatemia and hypoparathyroidism and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis also used in conjunction with calcium in the management and prevention of primary or corticosteroidinduced osteoporosis
['6728'],menadione,the primary known function of vitamin k is to assist in the normal clotting of blood but it may also play a role in normal bone calcification
['318'],atp,for nutritional supplementation also for treating dietary shortage or imbalance
['8737'],lproline,lproline is extremely important for the proper functioning of joints and tendons and also helps maintain and strengthen heart muscles
['290'],adenine,for nutritional supplementation also for treating dietary shortage or imbalance
['1157'],lasparagine,used for nutritional supplementation also for treating dietary shortage or imbalance
['42463'],pravastatin,for the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease
['42355'],fluvoxamine,for management of depression and for obsessive compulsive disorder ocd has also been used in the management of bulimia nervosa
['69749'],valsartan,may be used as a first line agent to treat uncomplicated hypertension isolated systolic hypertension and left ventricular hypertrophy may be used as a first line agent to delay progression of diabetic nephropathy losartan may be also used as a second line agent in the treatment of congestive heart failure systolic dysfunction myocardial infarction and coronary artery disease in those intolerant of ace inhibitors
"['35296', '262418']",ramipril,for the management of mild to severe hypertension may be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction to reduce the rate of death myocardial infarction and stroke in individuals at high risk of cardiovascular events may be used to slow the progression of renal disease in individuals with hypertension diabetes mellitus and microalubinuria or overt nephropathy
['227239'],masoprocol,used for the treatment of actinic keratoses precancerous skin growths that can become malignant if left untreated
"['25120', '1546428']",flunisolide,for the maintenance treatment of asthma as a prophylactic therapy
['1292'],baclofen,for the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis particularly for the relief of flexor spasms and concomitant pain clonus and muscular rigidity
['725'],amphetamine,for treatment of attention deficit disorder with hyperactivity addh narcolepsy and exogenous obesity as a short term a few weeks adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy
['7993'],pentagastrin,used as a diagnostic aid for evaluation of gastric acid secretory function
"['7407', '31765']",nicotine,for the relief of nicotine withdrawal symptoms and as an aid to smoking cessation
['44281'],cevimeline,for the treatment of symptoms of dry mouth in patients with sjoumlgrens syndrome
['6470'],lorazepam,for the management of anxiety disorders and for treatment of status epilepticus
['49737'],esmolol,for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative postoperative or other emergent circumstances where short term control of ventricular rate with a shortacting agent is desirable also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention
['358258'],bortezomib,for treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies
['4118'],ethchlorvynol,used for shortterm hypnotic therapy in the management of insomnia for periods of up to one week in duration however this medication generally has been replaced by other sedativehypnotic agents
['2019'],carbidopa,for treatment of the symptoms of idiopathic parkinsons disease paralysis agitans postencephalitic parkinsonism
"['8152', '221138']",phentermine,for the treatment and management of obesity
['10689'],tramadol,indicated in the treatment of moderate to severe pain consider for those prone to constipation or respiratory depression tramadol is used to treat postoperative dental cancer and acute musculosketetal pain and as an adjuvant to nsaid therapy in patients with osteoarthritis
['11194'],vidarabine,for treatment of chickenpox varicella herpes zoster and herpes simplex
['1520'],betaxolol,for the management of hypertension
['4450'],fluconazole,for the treatment of fungal infections
['72610'],troglitazone,for the treatment of type ii diabetes mellitus it is used alone or in combination with a sulfonylurea metformin or insulin as an adjunct to diet and exercise
['260101'],oseltamivir,oseltamivir tamiflu is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days it is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older
['4053'],erythromycin,for use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases respiratory tract infections upper and lower of mild to moderate degree pertussis whooping cough as adjunct to antitoxin in infections due to icorynebacterium diphtheriaei in the treatment of infections due to icorynebacterium minutissimumi intestinal amebiasis caused by ientamoeba histolyticai acute pelvic inflammatory disease caused by ineisseria gonorrhoeaei skin and soft tissue infections of mild to moderate severity caused by istreptococcus pyogenesi and istaphylococcus aureusi primary syphilis caused by itreponema pallidumi infections caused by ichlamydia trachomatisi nongonococcal urethritis caused by iureaplasma urealyticumi and legionnaires disease caused by ilegionella pneumophilai
['5514'],hydroxocobalamin,for treatment of pernicious anemia and the prevention and treatment of vitamin b12 deficiency arising from alcoholism malabsorption tapeworm infestation celiac hyperthyroidism hepaticbiliary tract disease persistent diarrhea ileal resection pancreatic cancer renal disease prolonged stress vegan diets macrobiotic diets or other restrictive diets also for the treatment of known or suspected cyanide poisoning
['1886'],caffeine,for management of fatigue orthostatic hypotension and for the short term treatment of apnea of prematurity in infants
['10154'],succinylcholine,used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed includes intubation endoscopies and ect
['136411'],sildenafil,for the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension pah
['49247'],dofetilide,for the maintenance of normal sinus rhythm delay in time to recurrence of atrial fibrillationatrial flutter afafl in patients with atrial fibrillationatrial flutter of greater than one week duration who have been converted to normal sinus rhythm
['9010'],pyrimethamine,for the treatment of toxoplasmosis and acute malaria for the prevention of malaria in areas nonresistant to pyrimethamine
['9260'],reserpine,foe the treatment of hypertension
['18631'],azithromycin,for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions ih influenzaei im catarrhalisi is pneumoniaei ic pneumoniaei im pneumoniaei is pyogenesi is aureusi is agali
['10594'],ticlopidine,used in patients who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked to try to prevent another thrombotic stroke
['236778'],trospium,for the treatment of overactive bladder with symptoms of urge urinary incontinence urgency and urinary frequency detrusor instability and frequency of micturition
"['60223', '153184']",adapalene,for the topical treatment of comedo papular and pustular acne acne vulgaris of the face chest or back
['6963'],midodrine,for the treatment of symptomatic orthostatic hypotension oh
['40790'],pantoprazole,shortterm up to 16 weeks treatment of erosive esophagitis
['38413'],torasemide,for the treatment of edema associated with congestive heart failure renal disease or hepatic disease also for the treatment of hypertension alone or in combination with other antihypertensive agents
['2556'],citalopram,for the treatment of depression unlabeled indications include treatment of mild dementiaassociated agitation in nonpsychotic patients smoking cessation ethanol abuse obsessivecompulsive disorder ocd in children and diabetic neuropathy
['231049'],eletriptan,for the acute treatment of migraine with or without aura in adults
['1523'],bethanidine,for the treatment of hypertension
['139462'],moxifloxacin,for the treatment of sinus and lung infections such as sinusitis pneumonia and secondary infections in chronic bronchitis also for the treatment of bacterial conjunctivitis pinkeye
