index,Class,Drug,generics
112,alkylating agents,Myleran,generic name: busulfan
113,alkylating agents,Cytoxan,generic name: cyclophosphamide
114,alkylating agents,Treanda,generic name: bendamustine
115,alkylating agents,Paraplatin,generic name: carboplatin
116,alkylating agents,Leukeran,generic name: chlorambucil
117,alkylating agents,Neosar,generic name: cyclophosphamide
118,alkylating agents,Platinol,generic name: cisplatin
119,alkylating agents,Temodar,generic name: temozolomide
120,alkylating agents,Alkeran,generic name: melphalan
121,alkylating agents,Busulfex,generic name: busulfan
122,alkylating agents,Bendeka,generic name: bendamustine
123,alkylating agents,BiCNU,generic name: carmustine
124,alkylating agents,CCNSB Capsules,generic name: lomustine
125,alkylating agents,CeeNU,generic name: lomustine
126,alkylating agents,Cytoxan Lyophilized,generic name: cyclophosphamide
127,alkylating agents,DTIC-Dome,generic name: dacarbazine
128,alkylating agents,Eloxatin,generic name: oxaliplatin
129,alkylating agents,Evomela,generic name: melphalan
130,alkylating agents,Gleostine,generic name: lomustine
131,alkylating agents,Gliadel,generic name: carmustine
132,alkylating agents,Mustargen,generic name: mechlorethamine
133,alkylating agents,Platinol-AQ,generic name: cisplatin
134,alkylating agents,Tepadina,generic name: thiotepa
135,alkylating agents,Thioplex,generic name: thiotepa
136,alkylating agents,Yondelis,generic name: trabectedin
137,alkylating agents,Zanosar,generic name: streptozocin
138,allergenics,Grastek,generic name: timothy grass pollen allergen extract
139,allergenics,Odactra,generic name: house dust mite allergen extract
140,allergenics,Oralair,generic name: mixed grass pollens allergen extract
141,allergenics,Ragwitek,generic name: ragweed pollen allergen extract
142,alpha-glucosidase inhibitors,Glyset,generic name: miglitol
143,alpha-glucosidase inhibitors,Precose,generic name: acarbose
145,amebicides,Alinia,generic name: nitazoxanide
146,amebicides,Aralen Phosphate,generic name: chloroquine
147,amebicides,Paromycin,generic name: paromomycin
148,amebicides,Flagyl ER,generic name: metronidazole
149,amebicides,Flagyl,generic name: metronidazole
150,amebicides,Tindamax,generic name: tinidazole
151,amebicides,Flagyl IV,generic name: metronidazole
152,amebicides,Humatin,generic name: paromomycin
153,amebicides,Aralen,generic name: chloroquine
154,amebicides,Diquinol,generic name: iodoquinol
155,amebicides,Flagyl 375,generic name: metronidazole
156,amebicides,Solosec,generic name: secnidazole
157,amebicides,Yodoxin,generic name: iodoquinol
158,aminoglycosides,Paromycin,generic name: paromomycin
159,aminoglycosides,Tobi,generic name: tobramycin
160,aminoglycosides,Garamycin,generic name: gentamicin
161,aminoglycosides,Humatin,generic name: paromomycin
162,aminoglycosides,Amikin,generic name: amikacin
163,aminoglycosides,Amikin Pediatric,generic name: amikacin
164,aminoglycosides,Bethkis,generic name: tobramycin
165,aminoglycosides,Kantrex,generic name: kanamycin
166,aminoglycosides,Kitabis Pak,generic name: tobramycin
167,aminoglycosides,Nebcin,generic name: tobramycin
168,aminoglycosides,Neo-Fradin,generic name: neomycin
169,aminoglycosides,Neo-Tab,generic name: neomycin
170,aminoglycosides,TOBI Podhaler,generic name: tobramycin
171,aminopenicillins,Amoxicot,generic name: amoxicillin
172,aminopenicillins,Principen,generic name: ampicillin
173,aminopenicillins,Moxatag,generic name: amoxicillin
174,aminopenicillins,Moxilin,generic name: amoxicillin
175,aminopenicillins,Totacillin-N,generic name: ampicillin
176,aminopenicillins,Amoxil,generic name: amoxicillin
177,aminopenicillins,Apo-Amoxi,generic name: amoxicillin
178,aminopenicillins,DisperMox,generic name: amoxicillin
179,aminopenicillins,Omnipen-N,generic name: ampicillin
180,aminopenicillins,Trimox,generic name: amoxicillin
181,aminosalicylates,Paser,generic name: aminosalicylic acid
182,AMPA receptor antagonists,Fycompa,generic name: perampanel
183,amylin analogs,SymlinPen 60,generic name: pramlintide
184,amylin analogs,Symlin,generic name: pramlintide
185,amylin analogs,Symlin Pen,generic name: pramlintide
186,amylin analogs,SymlinPen 120,generic name: pramlintide
187,analgesic combinations,Goody's Body Pain,generic name: acetaminophen/aspirin
188,analgesic combinations,KneeRelief,generic name: acetaminophen/caffeine/magnesium salicylate
189,analgesic combinations,Micrainin,generic name: aspirin/meprobamate
190,analgesic combinations,Phrenilin,generic name: acetaminophen/butalbital
191,analgesic combinations,Vanquish,generic name: acetaminophen/aspirin/caffeine
192,analgesic combinations,BC Fast Pain Relief,generic name: aspirin/caffeine/salicylamide
193,analgesic combinations,Esgic,generic name: acetaminophen/butalbital/caffeine
194,analgesic combinations,MigraTen,generic name: acetaminophen/caffeine/isometheptene mucate
195,analgesic combinations,Esgic-Plus,generic name: acetaminophen/butalbital/caffeine
196,analgesic combinations,Percogesic,generic name: acetaminophen/phenyltoloxamine
197,analgesic combinations,Bupap,generic name: acetaminophen/butalbital
198,analgesic combinations,Excedrin Quick Tab,generic name: acetaminophen/caffeine
199,analgesic combinations,Midol Complete,generic name: acetaminophen/caffeine/pyrilamine
200,analgesic combinations,Painaid,generic name: acetaminophen/aspirin/caffeine/salicylamide
201,analgesic combinations,Premsyn PMS,generic name: acetaminophen/pamabrom/pyrilamine
202,analgesic combinations,Zebutal,generic name: acetaminophen/butalbital/caffeine
203,analgesic combinations,Butalbital Compound,generic name: aspirin/butalbital/caffeine
204,analgesic combinations,Fioricet,generic name: acetaminophen/butalbital/caffeine
205,analgesic combinations,Fiorinal,generic name: aspirin/butalbital/caffeine
206,analgesic combinations,Dolgic Plus,generic name: acetaminophen/butalbital/caffeine
207,analgesic combinations,Midol PM,generic name: acetaminophen/diphenhydramine
208,analgesic combinations,Excedrin Tension Headache,generic name: acetaminophen/caffeine
209,analgesic combinations,Prodrin,generic name: acetaminophen/caffeine/isometheptene mucate
210,analgesic combinations,Goody's Extra-Strength Headache Powders,generic name: acetaminophen/aspirin/caffeine
211,analgesic combinations,Goody's Headache Powders,generic name: acetaminophen/aspirin/caffeine
212,analgesic combinations,Lagesic,generic name: acetaminophen/phenyltoloxamine
213,analgesic combinations,Myophen,generic name: acetaminophen/phenyltoloxamine
214,analgesic combinations,Excedrin Back & Body,generic name: acetaminophen/aspirin
215,analgesic combinations,Excedrin,generic name: acetaminophen/aspirin/caffeine
216,analgesic combinations,Aleve PM,generic name: diphenhydramine/naproxen
217,analgesic combinations,Tylenol PM,generic name: acetaminophen/diphenhydramine
218,analgesic combinations,Excedrin PM,generic name: acetaminophen/diphenhydramine
219,analgesic combinations,Goody's Extra Strength,generic name: acetaminophen/aspirin/caffeine
220,analgesic combinations,Headache Relief PM,generic name: acetaminophen/diphenhydramine
221,analgesic combinations,Dolgic LQ,generic name: acetaminophen/butalbital/caffeine
222,analgesic combinations,Advil PM,generic name: diphenhydramine/ibuprofen
223,analgesic combinations,Orbivan,generic name: acetaminophen/butalbital/caffeine
224,analgesic combinations,Aceta-Gesic,generic name: acetaminophen/diphenhydramine
225,analgesic combinations,Dologesic,generic name: acetaminophen/phenyltoloxamine
226,analgesic combinations,Levacet,generic name: acetaminophen/aspirin/caffeine/salicylamide
227,analgesic combinations,Unisom PM Pain,generic name: acetaminophen/diphenhydramine
228,analgesic combinations,Acuflex,generic name: acetaminophen/phenyltoloxamine
229,analgesic combinations,Alagesic LQ,generic name: acetaminophen/butalbital/caffeine
230,analgesic combinations,Ali-Flex,generic name: acetaminophen/phenyltoloxamine
231,analgesic combinations,Alka-Seltzer Wake-Up Call!,generic name: aspirin/caffeine
232,analgesic combinations,Allzital,generic name: acetaminophen/butalbital
233,analgesic combinations,Anacin Advanced Headache Formula,generic name: acetaminophen/aspirin/caffeine
234,analgesic combinations,Anolor 300,generic name: acetaminophen/butalbital/caffeine
235,analgesic combinations,Arthriten,generic name: acetaminophen/aspirin/caffeine
236,analgesic combinations,Backaid Inflammatory Pain Formula,generic name: acetaminophen/aspirin/caffeine
237,analgesic combinations,Bayer Extra Strength Back & Body,generic name: aspirin/caffeine
238,analgesic combinations,Bayer PM,generic name: aspirin/diphenhydramine
239,analgesic combinations,BC Arthritis,generic name: aspirin/caffeine
240,analgesic combinations,Be-Flex Plus,generic name: acetaminophen/phenyltoloxamine/salicylamide
241,analgesic combinations,Capacet,generic name: acetaminophen/butalbital/caffeine
242,analgesic combinations,Cope,generic name: aspirin/caffeine
243,analgesic combinations,Coricidin Night Time Cold Relief,generic name: acetaminophen/diphenhydramine
244,analgesic combinations,Cramp Tabs,generic name: acetaminophen/pamabrom
245,analgesic combinations,Doans PM,generic name: diphenhydramine/magnesium salicylate
246,analgesic combinations,Dologesic DF,generic name: acetaminophen/phenyltoloxamine
247,analgesic combinations,Duraxin,generic name: acetaminophen/phenyltoloxamine/salicylamide
248,analgesic combinations,Ed-Flex,generic name: acetaminophen/phenyltoloxamine/salicylamide
249,analgesic combinations,Equagesic,generic name: aspirin/meprobamate
250,analgesic combinations,Ezol,generic name: acetaminophen/butalbital/caffeine
251,analgesic combinations,Flextra,generic name: acetaminophen/caffeine/phenyltoloxamine
252,analgesic combinations,Flextra-650,generic name: acetaminophen/phenyltoloxamine
253,analgesic combinations,Genace,generic name: acetaminophen/aspirin/caffeine
254,analgesic combinations,Geone,generic name: acetaminophen/butalbital/caffeine
255,analgesic combinations,HistaFlex,generic name: acetaminophen/pyrilamine
256,analgesic combinations,Ibuprofen PM,generic name: diphenhydramine/ibuprofen
257,analgesic combinations,Legatrin PM,generic name: acetaminophen/diphenhydramine
258,analgesic combinations,Mapap PM,generic name: acetaminophen/diphenhydramine
259,analgesic combinations,Margesic,generic name: acetaminophen/butalbital/caffeine
260,analgesic combinations,Marten-Tab,generic name: acetaminophen/butalbital
261,analgesic combinations,Medigesic,generic name: acetaminophen/butalbital/caffeine
262,analgesic combinations,Menstrual Pain Relief,generic name: acetaminophen/pamabrom/pyrilamine
263,analgesic combinations,Menstrual PMS,generic name: acetaminophen/pamabrom/pyrilamine
264,analgesic combinations,Midol,generic name: acetaminophen/pamabrom
265,analgesic combinations,Midol PMS Maximum Strength,generic name: acetaminophen/pamabrom/pyrilamine
266,analgesic combinations,Midol Teen,generic name: acetaminophen/pamabrom
267,analgesic combinations,Motrin PM,generic name: diphenhydramine/ibuprofen
268,analgesic combinations,Night Time Pain,generic name: acetaminophen/diphenhydramine
269,analgesic combinations,Nonbac,generic name: acetaminophen/butalbital/caffeine
270,analgesic combinations,Orbivan CF,generic name: acetaminophen/butalbital
271,analgesic combinations,P-A-C,generic name: aspirin/caffeine
272,analgesic combinations,P-A-C Analgesic,generic name: aspirin/caffeine
273,analgesic combinations,Pacaps,generic name: acetaminophen/butalbital/caffeine
274,analgesic combinations,Pain Relief PM Extra Strength,generic name: acetaminophen/diphenhydramine
275,analgesic combinations,Pamprin Cramp Menstrual Pain Relief,generic name: acetaminophen/magnesium salicylate/pamabrom
276,analgesic combinations,Pamprin Maximum Pain,generic name: acetaminophen/pamabrom/pyrilamine
277,analgesic combinations,Pamprin Max Menstrual Pain Relief,generic name: acetaminophen/aspirin/caffeine
278,analgesic combinations,Pamprin Multi-Symptom Menstrual Relief,generic name: acetaminophen/pamabrom/pyrilamine
279,analgesic combinations,Percogesic Extra Strength,generic name: acetaminophen/diphenhydramine
280,analgesic combinations,Relagesic,generic name: acetaminophen/phenyltoloxamine
281,analgesic combinations,Repan,generic name: acetaminophen/butalbital/caffeine
282,analgesic combinations,RhinoFlex 650,generic name: acetaminophen/phenyltoloxamine
283,analgesic combinations,Stanback,generic name: aspirin/caffeine
284,analgesic combinations,Stanback Fast Pain Relief,generic name: aspirin/caffeine/salicylamide
285,analgesic combinations,Tencon,generic name: acetaminophen/butalbital
286,analgesic combinations,Tylenol Severe Allergy,generic name: acetaminophen/diphenhydramine
287,analgesic combinations,Tylenol Sore Throat Nighttime,generic name: acetaminophen/diphenhydramine
288,analgesic combinations,Tylenol Women's Menstrual Relief,generic name: acetaminophen/pamabrom
289,analgesic combinations,Uricalm Intensive,generic name: acetaminophen/aspirin/caffeine
290,analgesic combinations,Vanatol LQ,generic name: acetaminophen/butalbital/caffeine
291,analgesic combinations,Vanatol S,generic name: acetaminophen/butalbital/caffeine
292,analgesic combinations,Zflex,generic name: acetaminophen/phenyltoloxamine
293,analgesic combinations,Zgesic,generic name: acetaminophen/phenyltoloxamine
295,androgens and anabolic steroids,Anadrol-50,generic name: oxymetholone
296,androgens and anabolic steroids,Methitest,generic name: methyltestosterone
297,androgens and anabolic steroids,Depo-Testosterone,generic name: testosterone
298,androgens and anabolic steroids,Delatestryl,generic name: testosterone
299,androgens and anabolic steroids,Natesto,generic name: testosterone
300,androgens and anabolic steroids,Axiron,generic name: testosterone
301,androgens and anabolic steroids,AndroGel,generic name: testosterone
302,androgens and anabolic steroids,Fortesta,generic name: testosterone
303,androgens and anabolic steroids,Striant,generic name: testosterone
304,androgens and anabolic steroids,Androderm,generic name: testosterone
305,androgens and anabolic steroids,Testopel,generic name: testosterone
306,androgens and anabolic steroids,Testim,generic name: testosterone
307,androgens and anabolic steroids,Aveed,generic name: testosterone
308,androgens and anabolic steroids,Android,generic name: methyltestosterone
309,androgens and anabolic steroids,Androxy,generic name: fluoxymesterone
310,androgens and anabolic steroids,FIRST-Testosterone,generic name: testosterone
311,androgens and anabolic steroids,Halotestin,generic name: fluoxymesterone
312,androgens and anabolic steroids,Oxandrin,generic name: oxandrolone
313,androgens and anabolic steroids,Testo-100,generic name: testosterone
314,androgens and anabolic steroids,Testred,generic name: methyltestosterone
315,androgens and anabolic steroids,Testro AQ,generic name: testosterone
316,androgens and anabolic steroids,Vogelxo,generic name: testosterone
317,Angiotensin Converting Enzyme Inhibitors,Monopril,generic name: fosinopril
318,Angiotensin Converting Enzyme Inhibitors,Capoten,generic name: captopril
319,Angiotensin Converting Enzyme Inhibitors,Univasc,generic name: moexipril
320,Angiotensin Converting Enzyme Inhibitors,Altace,generic name: ramipril
321,Angiotensin Converting Enzyme Inhibitors,Zestril,generic name: lisinopril
322,Angiotensin Converting Enzyme Inhibitors,Vasotec,generic name: enalapril
323,Angiotensin Converting Enzyme Inhibitors,Accupril,generic name: quinapril
324,Angiotensin Converting Enzyme Inhibitors,Mavik,generic name: trandolapril
325,Angiotensin Converting Enzyme Inhibitors,Lotensin,generic name: benazepril
326,Angiotensin Converting Enzyme Inhibitors,Prinivil,generic name: lisinopril
327,Angiotensin Converting Enzyme Inhibitors,Aceon,generic name: perindopril
328,angiotensin II inhibitors with calcium channel blockers,Azor,generic name: amlodipine/olmesartan
329,angiotensin II inhibitors with calcium channel blockers,Twynsta,generic name: amlodipine/telmisartan
330,angiotensin II inhibitors with calcium channel blockers,Exforge,generic name: amlodipine/valsartan
331,angiotensin II inhibitors with thiazides,Teveten HCT,generic name: eprosartan/hydrochlorothiazide
332,angiotensin II inhibitors with thiazides,Avalide,generic name: hydrochlorothiazide/irbesartan
333,angiotensin II inhibitors with thiazides,Micardis HCT,generic name: hydrochlorothiazide/telmisartan
334,angiotensin II inhibitors with thiazides,Benicar HCT,generic name: hydrochlorothiazide/olmesartan
335,angiotensin II inhibitors with thiazides,Hyzaar,generic name: hydrochlorothiazide/losartan
336,angiotensin II inhibitors with thiazides,Edarbyclor,generic name: azilsartan medoxomil/chlorthalidone
337,angiotensin II inhibitors with thiazides,Diovan HCT,generic name: hydrochlorothiazide/valsartan
338,angiotensin II inhibitors with thiazides,Atacand HCT,generic name: candesartan/hydrochlorothiazide
339,angiotensin receptor blockers,Teveten,generic name: eprosartan
340,angiotensin receptor blockers,Benicar,generic name: olmesartan
341,angiotensin receptor blockers,Diovan,generic name: valsartan
342,angiotensin receptor blockers,Cozaar,generic name: losartan
343,angiotensin receptor blockers,Micardis,generic name: telmisartan
344,angiotensin receptor blockers,Atacand,generic name: candesartan
345,angiotensin receptor blockers,Edarbi,generic name: azilsartan medoxomil
346,angiotensin receptor blockers,Avapro,generic name: irbesartan
347,angiotensin receptor blockers,Prexxartan,generic name: valsartan
348,angiotensin receptor blockers and neprilysin inhibitors,Entresto,generic name: sacubitril/valsartan
349,anorectal preparations,Tronolane Anesthetic for Hemorrhoids,generic name: pramoxine/zinc oxide
350,anorectal preparations,Veregen,generic name: sinecatechins
351,anorectal preparations,Proctofoam HC,generic name: hydrocortisone/pramoxine
352,anorectal preparations,Epifoam,generic name: hydrocortisone/pramoxine
353,anorectal preparations,Pramosone,generic name: hydrocortisone/pramoxine
354,anorectal preparations,Analpram-HC,generic name: hydrocortisone/pramoxine
355,anorectal preparations,Analpram Advanced,generic name: diosmiplex/hydrocortisone/pramoxine
356,anorectal preparations,Analpram E,generic name: hydrocortisone/pramoxine
357,anorectal preparations,Anu-Med,generic name: phenylephrine
358,anorectal preparations,Formulation R,generic name: phenylephrine
359,anorectal preparations,HC Pram,generic name: hydrocortisone/pramoxine
360,anorectal preparations,Hemorid,generic name: phenylephrine
361,anorectal preparations,Hemorrhoidal,generic name: phenylephrine
362,anorectal preparations,Hemorrhoidal Cooling Gel,generic name: phenylephrine
363,anorectal preparations,Hemorrhoidal Hygiene Pads,generic name: glycerin/witch hazel
364,anorectal preparations,Medicone Hemorrhoidal,generic name: phenylephrine
365,anorectal preparations,Novacort,generic name: hydrocortisone/pramoxine
366,anorectal preparations,Pramcort,generic name: hydrocortisone/pramoxine
367,anorectal preparations,Pramosone E,generic name: hydrocortisone/pramoxine
368,anorectal preparations,Prep-Hem,generic name: phenylephrine
369,anorectal preparations,Preparation H Cooling Gel,generic name: phenylephrine
370,anorectal preparations,Preparation H Suppositories,generic name: phenylephrine
371,anorectal preparations,Procort,generic name: hydrocortisone/pramoxine
372,anorectal preparations,Sani-pads with Aloe,generic name: glycerin/witch hazel
373,anorectal preparations,Tucks Hemorrhoidal Ointment,generic name: pramoxine/zinc oxide
374,anorectal preparations,Zypram,generic name: hydrocortisone/pramoxine
375,anorexiants,Prelu-2,generic name: phendimetrazine
376,anorexiants,Suprenza,generic name: phentermine
377,anorexiants,T-Diet,generic name: phentermine
378,anorexiants,Zantryl,generic name: phentermine
379,anorexiants,Phentercot,generic name: phentermine
380,anorexiants,Adipost,generic name: phendimetrazine
381,anorexiants,Desoxyn,generic name: methamphetamine
382,anorexiants,Tenuate,generic name: diethylpropion
383,anorexiants,Adipex-P,generic name: phentermine
384,anorexiants,Phendiet,generic name: phendimetrazine
385,anorexiants,Ionamin,generic name: phentermine
386,anorexiants,Meridia,generic name: sibutramine
387,anorexiants,Tenuate Dospan,generic name: diethylpropion
388,anorexiants,Belviq,generic name: lorcaserin
389,anorexiants,Phentride,generic name: phentermine
390,anorexiants,Bontril Slow Release,generic name: phendimetrazine
391,anorexiants,Didrex,generic name: benzphetamine
392,anorexiants,Lomaira,generic name: phentermine
393,anorexiants,Belviq XR,generic name: lorcaserin
394,anorexiants,Fastin,generic name: phentermine
395,anorexiants,Qsymia,generic name: phentermine/topiramate
396,anorexiants,Bontril PDM,generic name: phendimetrazine
397,anorexiants,Contrave,generic name: bupropion/naltrexone
398,anorexiants,Atti-Plex P,generic name: phentermine
399,anorexiants,Melfiat,generic name: phendimetrazine
400,anorexiants,Obezine,generic name: phendimetrazine
401,anorexiants,Oby-Cap,generic name: phentermine
402,anorexiants,Phendiet-105,generic name: phendimetrazine
403,anorexiants,Tepanil,generic name: diethylpropion
404,antacids,Acid Gone,generic name: aluminum hydroxide/magnesium carbonate
405,antacids,Di-Gel,generic name: aluminum hydroxide/magnesium hydroxide/simethicone
406,antacids,Gaviscon Extra Strength,generic name: aluminum hydroxide/magnesium carbonate
407,antacids,Mylanta,generic name: aluminum hydroxide/magnesium hydroxide/simethicone
408,antacids,Neut,generic name: sodium bicarbonate
409,antacids,Titralac,generic name: calcium carbonate
410,antacids,Phillips' Milk of Magnesia,generic name: magnesium hydroxide
411,antacids,Gelusil,generic name: aluminum hydroxide/magnesium hydroxide/simethicone
412,antacids,Milk of Magnesia,generic name: magnesium hydroxide
413,antacids,Calci-Chew,generic name: calcium carbonate
414,antacids,Caltrate,generic name: calcium carbonate
415,antacids,Tums Regular Strength,generic name: calcium carbonate
416,antacids,Alamag,generic name: aluminum hydroxide/magnesium hydroxide
417,antacids,Tums Smoothies,generic name: calcium carbonate
418,antacids,Alamag Plus,generic name: aluminum hydroxide/magnesium hydroxide/simethicone
419,antacids,Alka-Seltzer Heartburn + Gas,generic name: calcium carbonate/simethicone
420,antacids,Almacone,generic name: aluminum hydroxide/magnesium hydroxide/simethicone
421,antacids,Amphojel,generic name: aluminum hydroxide
422,antacids,Cal-Mint,generic name: calcium carbonate
423,antacids,Dulcolax Milk of Magnesia,generic name: magnesium hydroxide
