['341248'],ezetimibe,"***For use as adjunctive therapy to diet and exercise for the reduction of elevated total cholesterol, LDL-cholesterol, Apo-B, and non-HDL-cholesterol in patients with primary (heterozygous familial and non-familial) hyperlipidemia; reduction of elevated sitosterol and campesterol in patients with homozygous familial sitosterolemia; in combination with atorvastatin or simvastatin for reduction of elevated total cholesterol and LDL-cholesterol in patients with homozygous familial hypercholesterolemia:. <br />        NOTE: The effects of ezetimibe given either alone or in addition to an HMG-CoA reductase inhibitor or fenofibrate on cardiovascular morbidity and mortality have not been established.<br />     ***For monotherapy.***For use in combination with a HMG-CoA reductase inhibitor (statin"").***For use in combination with fenofibrate as adjunctive therapy to diet for the treatment of hypercholesterolemia in patients with mixed hyperlipoproteinemia. <br />          NOTE: Administration of ezetimibe with fenofibrate is effective in improving serum total cholesterol",LDL cholesterol,Apo-B,"and non-HDL cholesterol concentrations in patients with mixed hyperlipidemia compared to monotherapy with either treatment. The percent decrease in triglycerides and percent increase in HDL-cholesterol for ezetimibe coadministered with fenofibrate are comparable to values achieved by fenofibrate monotherapy.<br />       """,***General Information***Hepatic disease***Myopathy***Geriatric***Pregnancy***Breast-feeding***Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,varicella virus vaccine live,***For varicella (chickenpox) infection prophylaxis to provide active immunity against the varicella (chickenpox) virus in susceptible adults and children >= 12 months old.***For varicella prophylaxis for outbreak control� of local epidemics of wild-type varicella virus in susceptible persons following varicella exposure.***For herpes zoster (shingles) infection prophylaxis among patients who have had varicella exposure either naturally or through vaccination.,"***Gelatin hypersensitivity, neomycin hypersensitivity***Intramuscular administration, intravenous administration***Fever, respiratory infection, tuberculosis***Acquired immunodeficiency syndrome (AIDS), agammaglobulinemia, bone marrow suppression, chemotherapy, corticosteroid therapy, human immunodeficiency virus (HIV) infection, hypogammaglobulinemia, IgA deficiency, immunosuppression, leukemia, lymphoma, neoplastic disease, radiation therapy, severe combined immunodeficiency (SCID)***Pregnancy***Breast-feeding***Children, infants, neonates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BCG live,"***For the treatment and prophylaxis of bladder cancer <em>in situ</em> (CIS) or the prophylaxis of primary or recurrent stage Ta or T1 papillary tumors following transurethral resection. <br />        NOTE: The optimal dose and treatment regimen has not been determined. Therefore, dosing may vary from protocol to protocol. If questions arise, clinicians should consult the appropriate references to verify the dose.<br />NOTE: There are no data to support the interchangeability of the BCG live products.<br />NOTE: Neither TICE BCG nor TheraCys are recommended for stage TaG1 papillary tumors unless the patient is judged to be at high risk of tumor recurrence","***Infection, trauma***Mycobacterial infection, tuberculosis***Aneurysm, fever, hematuria, prosthetic heart valves, urinary tract infection (UTI)***Acquired immunodeficiency syndrome (AIDS), bone marrow suppression, chemotherapy, corticosteroid therapy, diabetes mellitus, human immunodeficiency virus (HIV) infection, immunosuppression, leukemia, lymphoma, myasthenia gravis, radiation therapy, renal failure, severe combined immunodeficiency (SCID)***Accidental exposure***Latex hypersensitivity***Intravenous administration, subcutaneous administration***Irritable bladder***Pregnancy***Breast-feeding***Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['18343']['847728'],artemether/lumefantrine,"***For the treatment of malaria in patients with acute, uncomplicated infections due to <em>Plasmodium falciparum</em>.","***General Information***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, diabetes mellitus, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, QT prolongation, thyroid disease, torsade de pointes***Children, infants, neonates***Pregnancy***Breast-feeding***Geriatric***Hepatic disease, renal failure, renal impairment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2540']['5690', '1545986']",cilastatin/imipenem,"***For the treatment of intraabdominal infections (e.g., perforated appendicitis, peritonitis).***For the treatment of peritonitis in patients undergoing peritoneal dialysis�.***For the treatment of urinary tract infection (UTI).***For the treatment of lower respiratory tract infections (e.g., pneumonia, community-acquired pneumonia (CAP), nosocomial pneumonia).***For the treatment of skin and skin structure infections (e.g., abscesses, cellulitis, infected diabetic foot ulcer, wound infections).***For the treatment of bone and joint infections.***For the treatment of gynecologic infections.***For the treatment of sepsis.***For the treatment of endocarditis.***For the empiric treatment of febrile neutropenia�.***For the treatment of febrile neutropenia in adults.***For the treatment of febrile neutropenia in pediatric patients.***For the treatment of pulmonary exacerbations in patients with cystic fibrosis�.***For the treatment of systemic anthrax� infection.","***General Information***Carbapenem hypersensitivity, cephalosporin hypersensitivity, penicillin hypersensitivity***Head trauma, neurological disease, seizure disorder, seizures***Dialysis, renal failure, renal impairment***Colitis, diarrhea, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Amide local anesthetic hypersensitivity, AV block, shock***Pregnancy***Breast-feeding***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,alendronate sodium/cholecalciferol,***For the treatment of osteoporosis in postmenopausal women and to increase bone mass in adult men with osteoporosis.,"***General Information***Lactase deficiency***Achalasia, dysphagia, esophageal stricture, esophagitis, gastritis, gastroesophageal reflux disease (GERD), GI disease, GI perforation, hiatal hernia, inability to stand or sit upright***Geriatric***Corticosteroid therapy***Hypocalcemia, vitamin D deficiency***Hyperphosphatemia***Hypercalcemia, hypervitaminosis D***Nephrolithiasis, renal failure, renal impairment***Children***Hypoparathyroidism***Pregnancy***Breast-feeding***Phosphonate hypersensitivity***Sunlight (UV) exposure***Anemia, chemotherapy, coagulopathy, dental disease, dental work, infection***Malabsorption syndrome***Leukemia, lymphoma, sarcoidosis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['1114326'],indacaterol,"***For the maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema.***Formoterol***Formoterol; Mometasone","***General Information***Asthma, monotherapy treatment of asthma***Acute bronchospasm, asthma-related death, paradoxical bronchospasm, status asthmaticus***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, QT prolongation, tachycardia***Hyperthyroidism, pheochromocytoma, seizure disorder, seizures, thyroid disease, thyrotoxicosis***Diabetes mellitus, diabetic ketoacidosis***Milk protein hypersensitivity***MAOI therapy***Hepatic disease***Children, infants***Labor, obstetric delivery, pregnancy***Breast-feeding***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['196102'],basiliximab,"***For acute kidney transplant rejection prophylaxis when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids. <br />        NOTE: Basiliximab should only be administered once it has been determined that the patient will receive the graft and concomitant immunosuppression.<br />NOTE: Do not give the second basiliximab dose on day 4 after transplantation if graft loss or a severe hypersensitivity reaction occurs after the initial dose.<br />NOTE: Patients previously administered basiliximab should only be re-exposed to a subsequent course of therapy with extreme caution. The potential risks of another treatment course, specifically those associated with immunosuppression and/or the occurrence of anaphylaxis/anaphylactoid reactions, are not known***For acute liver transplant rejection prophylaxis� when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.","***Fungal infection, herpes infection, infection, lymphoma, neoplastic disease, requires a specialized care setting, requires an experienced clinician, varicella, viral infection***Pregnancy***Breast-feeding***Children***Human anti-murine antibody (HAMA), mannitol hypersensitivity, murine protein hypersensitivity***Vaccination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['73178', '848723']",iloperidone,***For the treatment of schizophrenia.***For the treatment of severe behavioral or psychological symptoms of dementia� (BPSD)�.***Formoterol***Formoterol; Mometasone,"***General Information***CNS depression, coadministration with other CNS depressants, driving or operating machinery, ethanol ingestion***Agranulocytosis, hematological disease, leukopenia, neutropenia***Suicidal ideation***Abrupt discontinuation***Tardive dyskinesia***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, QT prolongation, thyroid disease***Cerebrovascular disease, hypovolemia, orthostatic hypotension***Seizure disorder, seizures***Hepatic disease, poor metabolizers***Ambient temperature increase, dehydration, hyperthermia, hypothermia, strenuous exercise***Dysphagia***Neurological disease, Parkinson's disease***Dementia, geriatric, stroke***Diabetes mellitus, diabetic ketoacidosis, hyperglycemia***Hypercholesterolemia, hyperlipidemia, hypertriglyceridemia, obesity***Priapism***Breast cancer, hyperprolactinemia, infertility***Neonates, pregnancy, pregnancy testing***Breast-feeding***Children, infants***Substance abuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2540']['5690', '1545986']",cilastatin/imipenem,"***For the treatment of intraabdominal infections (e.g., perforated appendicitis, peritonitis).***For the treatment of peritonitis in patients undergoing peritoneal dialysis�.***For the treatment of urinary tract infection (UTI).***For the treatment of lower respiratory tract infections (e.g., pneumonia, community-acquired pneumonia (CAP), nosocomial pneumonia).***For the treatment of skin and skin structure infections (e.g., abscesses, cellulitis, infected diabetic foot ulcer, wound infections).***For the treatment of bone and joint infections.***For the treatment of gynecologic infections.***For the treatment of sepsis.***For the treatment of endocarditis.***For the empiric treatment of febrile neutropenia�.***For the treatment of febrile neutropenia in adults.***For the treatment of febrile neutropenia in pediatric patients.***For the treatment of pulmonary exacerbations in patients with cystic fibrosis�.***For the treatment of systemic anthrax� infection.","***General Information***Carbapenem hypersensitivity, cephalosporin hypersensitivity, penicillin hypersensitivity***Head trauma, neurological disease, seizure disorder, seizures***Dialysis, renal failure, renal impairment***Colitis, diarrhea, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Amide local anesthetic hypersensitivity, AV block, shock***Pregnancy***Breast-feeding***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['1012892'],fingolimod,***For the treatment of relapsing forms of multiple sclerosis to reduce the frequency of clinical exacerbations and to delay the accumulation of physical disability. <br />        NOTE: Doses greater than 0.5 mg once daily are associated with a greater incidence of adverse reactions without additional benefit.<br />     ***Formoterol***Formoterol; Mometasone,"***General Information***Diabetes mellitus, uveitis***Asthma, chronic obstructive pulmonary disease (COPD), respiratory insufficiency***Hepatic disease***Alcoholism, angina, AV block, bradycardia, cardiac arrest, cardiac arrhythmias, cardiac disease, cerebrovascular disease, coronary artery disease, females, geriatric, heart failure, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, QT prolongation, sick sinus syndrome, sleep apnea, stroke, syncope, thyroid disease***Acquired immunodeficiency syndrome (AIDS), chemotherapy, corticosteroid therapy, human immunodeficiency virus (HIV) infection, immunosuppression, leukemia, lymphoma***Hypertension***Children, infants, neonates***Pregnancy***Breast-feeding***Encephalopathy, progressive multifocal leukoencephalopathy***Sunlight (UV) exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1mL diluent) (interferon alfa-2b, recombinant","***For the treatment of hairy-cell leukemia.***For the adjuvant treatment of malignant melanoma in patients who are disease free and at high risk for systemic recurrence within 56 days of surgery.***For the treatment of aggressive, follicular non-Hodgkin's lymphoma (NHL) in conjunction with an anthracycline-containing combination chemotherapy regimen.***For the treatment of condylomata acuminata (genital or venereal warts), due to the human papillomavirus (HPV) infection, involving the external surfaces of the genital and perianal areas.***For the treatment of AIDS-related Kaposi's sarcoma. <br />        NOTE: Interferon alfa-2b should not be used for the treatment of visceral AIDS-related Kaposi's sarcoma associated with rapidly progressive disease.<br />NOTE: Interferon alfa-2b has been designated an orphan drug by the FDA for this indication***For the treatment of chronic hepatitis B infection in patients with compensated liver disease. <br />        NOTE: Patients who have been serum HBsAg positive for at least 6 months and have evidence of HBV replication (serum HBeAg positive) with elevated serum ALT are candidates for treatment.<br />NOTE: Evaluate liver function tests, HBeAg, and HBsAg before treatment initiation, at therapy cessation, and at both 3 and 6 months after therapy cessation. In clinical studies, 15 of 38 responding adults lost HBeAg 1 to 6 months after interferon alfa-2b cessation. Further, 7 of 12 responding adults lost HBsAg 1 to 6 months after interferon alfa-2b cessation***For the treatment of hepatitis C infection in patients with compensated liver disease.***For the treatment of West Nile virus infection� (i.e., symptomatic flavivirus infections). <br />  NOTE: Other than supportive care, there is no established treatment for symptomatic flavivirus infections. The use of interferon alfa-2b for the treatment of West Nile virus is suggested by in vitro data only.<br />***For the treatment of St. Louis encephalitis� (i.e., symptomatic flavivirus infections).***For the first-line treatment of Philadelphia chromosome positive, chronic phase, chronic myelogenous leukemia (CML)�, in combination with cytarabine.***For the treatment of renal cell cancer� in combination with bevacizumab for previously untreated metastatic disease. <br />        NOTE: Bevacizumab is FDA-approved for this indication.<br />     ***For the maintenance treatment for multiple myeloma�.***For the treatment of hypereosinophilic syndrome�.***For the treatment of hemangioma� of infancy or pulmonary hemangiomatosis�.***For the treatment of adult T-cell leukemia/lymphoma� in combination with zidovudine in patients infected with human T-lymphotropic virus type I (HTLV-I).","***Acute bronchospasm, albumin hypersensitivity, E. coli protein hypersensitivity, urticaria***Alcoholism, depression, driving or operating machinery, psychiatric event, seizure disorder, substance abuse, suicidal ideation***Stroke, thrombophlebitis***Anemia, angina, cardiac arrhythmias, cardiac disease, chronic obstructive pulmonary disease (COPD), heart failure, myocardial infarction, neoplastic disease, pulmonary disease, use with ribavirin***Diabetes mellitus, diabetic ketoacidosis***Geriatric***Ascites, bleeding, hepatic disease, hepatic encephalopathy, hepatitis, immunosuppression, jaundice, organ transplant***Children, growth inhibition, infants, neonates***Colitis, pancreatitis, ulcerative colitis***Kaposi's sarcoma***Autoimmune disease, psoriasis, rheumatoid arthritis, systemic lupus erythematosus (SLE), thrombocytopenia***Infection, neutropenia***Bone marrow suppression, radiation therapy***Renal failure, renal impairment***Intramuscular injections***Dental disease, dental work***Hyperthyroidism, hypothyroidism, thyroid disease***Pregnancy***Breast-feeding***Coronary artery disease, diabetic retinopathy, hyperlipidemia, hypertension, non-arteritic anterior ischemic optic neuropathy, ocular disease, visual disturbance***Hepatitis B exacerbation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['3008'],cyclosporine,"***For kidney transplant rejection prophylaxis.***For kidney transplant rejection prophylaxis in combination with sirolimus and corticosteroids in patients who are considered low to moderate immunologic risk.***For kidney transplant rejection prophylaxis in combination with sirolimus and corticosteroids in patients who are considered high immunologic risk. <br />          NOTE: Black transplant recipients, repeat renal transplant recipients who lost a previous allograft for immunologic reason, or patients with high-panel reactive antibodies (PRA; peak PRA level greater than 80%) are considered high immunologic risk.<br />NOTE: The protocol-specified target Cmin range for cyclosporine was 200 to 300 ng/mL up to week 2, 150 to 200 ng/mL for weeks 2 to 26, and 100 to 150 ng/mL for weeks 26 to 52, and for sirolimus was 10 to 15 ng/mL***For the treatment of severe, plaque-type psoriasis in immunocompetent patients who failed to respond to at least one systemic therapy (e.g., PUVA, retinoids, methotrexate) or in patients for whom other systemic therapies are contraindicated or cannot be tolerated.***For the treatment of severe rheumatoid arthritis (RA) in patients unresponsive to conventional therapy, alone or in combination with methotrexate when the disease has not adequately responded to methotrexate.***For early rheumatoid arthritis (RA).***For the treatment of xerophthalmia by increasing tear production in patients whose tear production is presumed to be suppressed due to ocular inflammation associated with keratoconjunctivitis sicca.***For the treatment of heart transplant rejection prophylaxis, liver transplant rejection prophylaxis, and the treatment of acute and chronic graft-versus-host disease (GVHD)� and graft-versus-host disease (GVHD) prophylaxis�. <br />        NOTE: In general, children may undergo the same dosing regimen as adults but often require and tolerate higher doses.<br />NOTE: In the prevention of organ transplant rejection, cyclosporine is intended to be used in combination with corticosteroid therapy***For the treatment of severe atopic dermatitis�.***For the treatment of severe aplastic anemia�.***For the treatment of chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (ITP)�.***For the treatment of myasthenia gravis� in patients who are poorly controlled with cholinesterase inhibitor therapy.***For the treatment of psoriatic arthritis�.***For the treatment of lupus nephritis� in patients with systemic lupus erythematosus (SLE) unresponsive to conventional therapy, or for the treatment of children with idiopathic nephrotic syndrome�.","***General Information***Fungal infection, herpes infection, immunosuppression, infection, requires a specialized care setting, requires an experienced clinician, varicella, viral infection***Herpes simplex keratitis (dendritic keratitis), ocular infection***Lymphoma, new primary malignancy, radiation therapy, skin cancer, sunlight (UV) exposure***Nephrotoxicity, renal disease, renal failure, renal impairment***Hyperkalemia, hypertension***Electrolyte imbalance***Polyoxyethylated castor oil hypersensitivity***Children, infants***Pregnancy***Breast-feeding***Geriatric***Alcoholism, biliary tract disease, hepatic disease, jaundice***Gout, hyperuricemia***Encephalopathy, hypomagnesemia***Vaccination***Contact lenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['2019']['60307'],carbidopa/entacapone/levodopa,***For the treatment of idiopathic Parkinson's disease.,"***General Information***Abrupt discontinuation, hyperthermia, mental status changes, surgery***MAOI therapy***Depression, psychosis, seizure disorder, suicidal ideation***Geriatric***Closed-angle glaucoma***Cardiac arrhythmias, cardiac disease, coronary artery disease, heart failure, myocardial infarction, thromboembolic disease, ventricular arrhythmias***GI bleeding, peptic ulcer disease***Driving or operating machinery***Asthma, chronic obstructive pulmonary disease (COPD), emphysema, pulmonary disease, status asthmaticus***Renal disease, renal failure, renal impairment***Diabetes mellitus, endocrine disease***Biliary cirrhosis, biliary obstruction, biliary tract disease, hepatic disease, jaundice***Melanoma***Orthostatic hypotension, syncope***Pregnancy***Breast-feeding***Children, infants, neonates***Pheochromocytoma***Impulse control symptoms***Prostate cancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latrodectus Mactans) (black widow spider antivenin (equine),"***For the management of black widow spider bites (<em>Latrodectus mactans</em>) or other <em>Latrodectus</em> species bites. <br />        NOTE: Patients should be observed for serum sickness for an average of 8�12 days following administration of antivenin.<br />     ***For sensitivity testing prior to antivenin administration. <br />          NOTE: Black widow spider antivenin is prepared from horse serum; skin or conjunctival sensitivity testing should be performed in all patients prior to treatment. For all sensitivity testing, Epinephrine and other emergency measures should be available in case of a severe reaction.<br />       ***For the treatment of black widow spider bites with antivenin following sensitivity testing. <br />          NOTE: If possible, the patient should be hospitalized.<br />NOTE: Due to the risk of anaphylactic reactions, the use of antivenin may be deferred in otherwise healthy patients between the ages of 16 and 60 years.<br />NOTE: Symptomatic treatment (e.g., calcium gluconate, warm baths, morphine) in otherwise healthy individuals may be sufficient. Applying a tourniquet or attempting to remove the venom by incision and suction provides no clinical benefit***For desensitization prior to administration of antivenin should allergy history be positive or if sensitivity tests are mildly or questionably positive.","***Equine protein hypersensitivity, requires a specialized care setting***Pregnancy***Breast-feeding***Children, infants, neonates***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['37776'],temozolomide,***For the treatment of glioblastoma multiforme.***For the treatment of refractory anaplastic astrocytoma in patients who have experienced disease progression on a chemotherapy regimen containing a nitrosourea or procarbazine.***For the treatment of malignant glioma�. <br />        NOTE: Temozolomide has been designated an orphan drug by the FDA for this indication.<br />     ***For the treatment of high-grade glioma in pediatric patients�.***For the treatment of newly diagnosed diffuse intrinsic brainstem glioma in pediatric patients�.***For the first-line treatment of metastatic malignant melanoma�. <br />        NOTE: Temozolomide has been designated an orphan drug by the FDA for this indication.<br />     ,"***Aplastic anemia, bone marrow suppression, females, geriatric, neutropenia, thrombocytopenia***Dacarbazine (DTIC) hypersensitivity, gelatin hypersensitivity, mannitol hypersensitivity, serious rash, urticaria***Hepatic disease, hepatotoxicity***Renal disease, renal impairment***Infection***Children, infants, neonates***Contraception requirements, infertility, male-mediated teratogenicity, reproductive risk***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,octreotide acetate,"***For the treatment of acromegaly. <br />        NOTE: Octreotide has been designated an orphan drug by the FDA for this indication.<br />     ***For the treatment of symptoms associated with carcinoid tumors, specifically, diarrhea and cutaneous flushing. <br />  NOTE: Octreotide has been designated an orphan drug by the FDA for this indication.�<br /***For the treatment of symptoms associated with vasoactive intestinal peptide tumors (e.g., VIPoma) (i.e., to reduce plasma concentrations of vasoactive intestinal peptide). <br />        NOTE: Octreotide has been designated an orphan drug by the FDA for this indication.<br />     ***For the management of intractable diarrhea� or ileostomy-associated diarrhea�.***For the management of chemotherapy-induced diarrhea� in pediatric patients.***For the control of diarrhea secondary to AIDS-associated enteropathy�.***For the treatment of dumping syndrome�.***For the treatment of short bowel syndrome�.***For the treatment of enterocutaneous fistula�.***For reducing output from a pancreatic fistula�.***For adjunct therapy to endoscopic variceal ligation in the treatment of upper GI bleeding� or variceal bleeding� in patients with esophageal varices�.***For the treatment of hyperthyroidism� secondary to thyrotropinoma�.***For the treatment of hypoglycemia in patients with hyperinsulinism, including patients with benign or malignant insulinoma�.***For the treatment of neurogenic orthostatic hypotension�.***For the treatment of hepatorenal syndrome� in combination with midodrine and albumin.***For the treatment of acute cluster headache�.","***General Information***Biliary obstruction, biliary tract disease, cholangitis, cholelithiasis, gallbladder disease***Pancreatitis***Hepatic disease***Dialysis, renal failure***Diabetes mellitus, gastroparesis, hyperglycemia, hypoglycemia***Goiter, hypothyroidism***Fat malabsorption, vitamin B12 deficiency***Pregnancy***Breast-feeding***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, electrolyte imbalance, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, malnutrition, myocardial infarction, QT prolongation, thyroid disease***Growth inhibition, infants, necrotizing enterocolitis, neonates, premature neonates***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clindamycin phosphate/tretinoin,***For the treatment of acne vulgaris caused by <em>Propionibacterium acnes</em>.,"***General Information***Clindamycin hypersensitivity, retinoid hypersensitivity***Colitis, Crohn's disease, diarrhea, gastroenteritis, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Sunburn, sunlight (UV) exposure***Children, infants, neonates***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['1111103'],fidaxomicin,***For the treatment of pseudomembranous colitis or <em>Clostridium difficile</em>-associated diarrhea (CDAD).,"***Children, infants, neonates***Pregnancy***Breast-feeding***Macrolide hypersensitivity***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['9601', '9603']",scopolamine,"***For the treatment of nausea/vomiting.***For nausea/vomiting prophylaxis due to motion sickness.***For use in aspiration prophylaxis prior to anesthesia and intubation; for treatment of bradycardia during surgery.***For obstetric amnesia induction.***For procedural sedation.***For use as a sedative or tranquilizer for sedation induction.***For the adjunct treatment of alcohol withdrawal (i.e., delirium tremens).***For the treatment of mania.***For cycloplegia induction or mydriasis induction during ophthalmologic examination.***For the treatment of iritis or uveitis.***For the treatment of sialorrhea�.","***General Information***Anticholinergic medications***Closed-angle glaucoma, contact lenses, open-angle glaucoma***Prostatic hypertrophy, urinary tract obstruction***Gastroesophageal reflux disease (GERD), GI obstruction, hiatal hernia, ileus, toxic megacolon, ulcerative colitis***Asthma, chronic obstructive pulmonary disease (COPD)***Autonomic neuropathy, myasthenia gravis***Cardiac arrhythmias, coronary artery disease, heart failure, hypertension, hyperthyroidism***Hepatic disease***Renal impairment***Pregnancy***Breast-feeding***Geriatric***Magnetic resonance imaging (MRI)***Children, infants, neonates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
