"DrugClass_DrugClass_name","DrugClass_DrugClass_drugNames_name","DrugClass_DrugClass_drugNames_generic"
"analgesic combinations","Fiorinal","generic name: aspirin/butalbital/caffeine"
"analgesic combinations","Dolgic Plus","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Midol PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Excedrin Tension Headache","generic name: acetaminophen/caffeine"
"analgesic combinations","Prodrin","generic name: acetaminophen/caffeine/isometheptene mucate"
"analgesic combinations","Goody's Extra-Strength Headache Powders","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Goody's Headache Powders","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Lagesic","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Myophen","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Excedrin Back & Body","generic name: acetaminophen/aspirin"
"analgesic combinations","Excedrin","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Aleve PM","generic name: diphenhydramine/naproxen"
"analgesic combinations","Tylenol PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Excedrin PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Goody's Extra Strength","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Headache Relief PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Dolgic LQ","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Advil PM","generic name: diphenhydramine/ibuprofen"
"analgesic combinations","Orbivan","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Aceta-Gesic","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Dologesic","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Levacet","generic name: acetaminophen/aspirin/caffeine/salicylamide"
"analgesic combinations","Unisom PM Pain","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Acuflex","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Alagesic LQ","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Ali-Flex","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Alka-Seltzer Wake-Up Call!","generic name: aspirin/caffeine"
"analgesic combinations","Allzital","generic name: acetaminophen/butalbital"
"analgesic combinations","Anacin Advanced Headache Formula","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Anolor 300","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Arthriten","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Backaid Inflammatory Pain Formula","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Bayer Extra Strength Back & Body","generic name: aspirin/caffeine"
"analgesic combinations","Bayer PM","generic name: aspirin/diphenhydramine"
"analgesic combinations","BC Arthritis","generic name: aspirin/caffeine"
"analgesic combinations","Be-Flex Plus","generic name: acetaminophen/phenyltoloxamine/salicylamide"
"analgesic combinations","Capacet","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Cope","generic name: aspirin/caffeine"
"analgesic combinations","Coricidin Night Time Cold Relief","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Cramp Tabs","generic name: acetaminophen/pamabrom"
"analgesic combinations","Doans PM","generic name: diphenhydramine/magnesium salicylate"
"analgesic combinations","Dologesic DF","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Duraxin","generic name: acetaminophen/phenyltoloxamine/salicylamide"
"analgesic combinations","Ed-Flex","generic name: acetaminophen/phenyltoloxamine/salicylamide"
"analgesic combinations","Equagesic","generic name: aspirin/meprobamate"
"analgesic combinations","Ezol","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Flextra","generic name: acetaminophen/caffeine/phenyltoloxamine"
"analgesic combinations","Flextra-650","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Genace","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Geone","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","HistaFlex","generic name: acetaminophen/pyrilamine"
"analgesic combinations","Ibuprofen PM","generic name: diphenhydramine/ibuprofen"
"analgesic combinations","Legatrin PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Mapap PM","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Margesic","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Marten-Tab","generic name: acetaminophen/butalbital"
"analgesic combinations","Medigesic","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Menstrual Pain Relief","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Menstrual PMS","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Midol","generic name: acetaminophen/pamabrom"
"analgesic combinations","Midol PMS Maximum Strength","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Midol Teen","generic name: acetaminophen/pamabrom"
"analgesic combinations","Motrin PM","generic name: diphenhydramine/ibuprofen"
"analgesic combinations","Night Time Pain","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Nonbac","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Orbivan CF","generic name: acetaminophen/butalbital"
"analgesic combinations","P-A-C","generic name: aspirin/caffeine"
"analgesic combinations","P-A-C Analgesic","generic name: aspirin/caffeine"
"analgesic combinations","Pacaps","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Pain Relief PM Extra Strength","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Pamprin Cramp Menstrual Pain Relief","generic name: acetaminophen/magnesium salicylate/pamabrom"
"analgesic combinations","Pamprin Maximum Pain","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Pamprin Max Menstrual Pain Relief","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Pamprin Multi-Symptom Menstrual Relief","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Percogesic Extra Strength","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Relagesic","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Repan","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","RhinoFlex 650","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Stanback","generic name: aspirin/caffeine"
"analgesic combinations","Stanback Fast Pain Relief","generic name: aspirin/caffeine/salicylamide"
"analgesic combinations","Tencon","generic name: acetaminophen/butalbital"
"analgesic combinations","Tylenol Severe Allergy","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Tylenol Sore Throat Nighttime","generic name: acetaminophen/diphenhydramine"
"analgesic combinations","Tylenol Women's Menstrual Relief","generic name: acetaminophen/pamabrom"
"analgesic combinations","Uricalm Intensive","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","Vanatol LQ","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Vanatol S","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Zflex","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Zgesic","generic name: acetaminophen/phenyltoloxamine"
"analgesics","",""
"androgens and anabolic steroids","Anadrol-50","generic name: oxymetholone"
"androgens and anabolic steroids","Methitest","generic name: methyltestosterone"
"androgens and anabolic steroids","Depo-Testosterone","generic name: testosterone"
"androgens and anabolic steroids","Delatestryl","generic name: testosterone"
"androgens and anabolic steroids","Natesto","generic name: testosterone"
"androgens and anabolic steroids","Axiron","generic name: testosterone"
"androgens and anabolic steroids","AndroGel","generic name: testosterone"
"androgens and anabolic steroids","Fortesta","generic name: testosterone"
"androgens and anabolic steroids","Striant","generic name: testosterone"
"androgens and anabolic steroids","Androderm","generic name: testosterone"
"androgens and anabolic steroids","Testopel","generic name: testosterone"
"androgens and anabolic steroids","Testim","generic name: testosterone"
"androgens and anabolic steroids","Aveed","generic name: testosterone"
"androgens and anabolic steroids","Android","generic name: methyltestosterone"
"androgens and anabolic steroids","Androxy","generic name: fluoxymesterone"
"androgens and anabolic steroids","FIRST-Testosterone","generic name: testosterone"
"androgens and anabolic steroids","Halotestin","generic name: fluoxymesterone"
"androgens and anabolic steroids","Oxandrin","generic name: oxandrolone"
"androgens and anabolic steroids","Testo-100","generic name: testosterone"
"androgens and anabolic steroids","Testred","generic name: methyltestosterone"
"androgens and anabolic steroids","Testro AQ","generic name: testosterone"
"androgens and anabolic steroids","Vogelxo","generic name: testosterone"
"Angiotensin Converting Enzyme Inhibitors","Monopril","generic name: fosinopril"
"Angiotensin Converting Enzyme Inhibitors","Capoten","generic name: captopril"
"Angiotensin Converting Enzyme Inhibitors","Univasc","generic name: moexipril"
"Angiotensin Converting Enzyme Inhibitors","Altace","generic name: ramipril"
"Angiotensin Converting Enzyme Inhibitors","Zestril","generic name: lisinopril"
"Angiotensin Converting Enzyme Inhibitors","Vasotec","generic name: enalapril"
"Angiotensin Converting Enzyme Inhibitors","Accupril","generic name: quinapril"
"Angiotensin Converting Enzyme Inhibitors","Mavik","generic name: trandolapril"
"Angiotensin Converting Enzyme Inhibitors","Lotensin","generic name: benazepril"
"Angiotensin Converting Enzyme Inhibitors","Prinivil","generic name: lisinopril"
"Angiotensin Converting Enzyme Inhibitors","Aceon","generic name: perindopril"
"angiotensin II inhibitors with calcium channel blockers","Azor","generic name: amlodipine/olmesartan"
"angiotensin II inhibitors with calcium channel blockers","Twynsta","generic name: amlodipine/telmisartan"
"angiotensin II inhibitors with calcium channel blockers","Exforge","generic name: amlodipine/valsartan"
"angiotensin II inhibitors with thiazides","Teveten HCT","generic name: eprosartan/hydrochlorothiazide"
"angiotensin II inhibitors with thiazides","Avalide","generic name: hydrochlorothiazide/irbesartan"
"angiotensin II inhibitors with thiazides","Micardis HCT","generic name: hydrochlorothiazide/telmisartan"
"angiotensin II inhibitors with thiazides","Benicar HCT","generic name: hydrochlorothiazide/olmesartan"
"angiotensin II inhibitors with thiazides","Hyzaar","generic name: hydrochlorothiazide/losartan"
"angiotensin II inhibitors with thiazides","Edarbyclor","generic name: azilsartan medoxomil/chlorthalidone"
"angiotensin II inhibitors with thiazides","Diovan HCT","generic name: hydrochlorothiazide/valsartan"
"angiotensin II inhibitors with thiazides","Atacand HCT","generic name: candesartan/hydrochlorothiazide"
"angiotensin receptor blockers","Teveten","generic name: eprosartan"
"angiotensin receptor blockers","Benicar","generic name: olmesartan"
"angiotensin receptor blockers","Diovan","generic name: valsartan"
"angiotensin receptor blockers","Cozaar","generic name: losartan"
"angiotensin receptor blockers","Micardis","generic name: telmisartan"
"angiotensin receptor blockers","Atacand","generic name: candesartan"
"angiotensin receptor blockers","Edarbi","generic name: azilsartan medoxomil"
"angiotensin receptor blockers","Avapro","generic name: irbesartan"
"angiotensin receptor blockers","Prexxartan","generic name: valsartan"
"angiotensin receptor blockers and neprilysin inhibitors","Entresto","generic name: sacubitril/valsartan"
"anorectal preparations","Tronolane Anesthetic for Hemorrhoids","generic name: pramoxine/zinc oxide"
"anorectal preparations","Veregen","generic name: sinecatechins"
"anorectal preparations","Proctofoam HC","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Epifoam","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Pramosone","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Analpram-HC","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Analpram Advanced","generic name: diosmiplex/hydrocortisone/pramoxine"
"anorectal preparations","Analpram E","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Anu-Med","generic name: phenylephrine"
"anorectal preparations","Formulation R","generic name: phenylephrine"
"anorectal preparations","HC Pram","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Hemorid","generic name: phenylephrine"
"anorectal preparations","Hemorrhoidal","generic name: phenylephrine"
"anorectal preparations","Hemorrhoidal Cooling Gel","generic name: phenylephrine"
"anorectal preparations","Hemorrhoidal Hygiene Pads","generic name: glycerin/witch hazel"
"anorectal preparations","Medicone Hemorrhoidal","generic name: phenylephrine"
"anorectal preparations","Novacort","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Pramcort","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Pramosone E","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Prep-Hem","generic name: phenylephrine"
"anorectal preparations","Preparation H Cooling Gel","generic name: phenylephrine"
"anorectal preparations","Preparation H Suppositories","generic name: phenylephrine"
"anorectal preparations","Procort","generic name: hydrocortisone/pramoxine"
"anorectal preparations","Sani-pads with Aloe","generic name: glycerin/witch hazel"
"anorectal preparations","Tucks Hemorrhoidal Ointment","generic name: pramoxine/zinc oxide"
"anorectal preparations","Zypram","generic name: hydrocortisone/pramoxine"
"anorexiants","Prelu-2","generic name: phendimetrazine"
"anorexiants","Suprenza","generic name: phentermine"
"anorexiants","T-Diet","generic name: phentermine"
"anorexiants","Zantryl","generic name: phentermine"
"anorexiants","Phentercot","generic name: phentermine"
"anorexiants","Adipost","generic name: phendimetrazine"
"anorexiants","Desoxyn","generic name: methamphetamine"
"anorexiants","Tenuate","generic name: diethylpropion"
"anorexiants","Adipex-P","generic name: phentermine"
"anorexiants","Phendiet","generic name: phendimetrazine"
"anorexiants","Ionamin","generic name: phentermine"
"anorexiants","Meridia","generic name: sibutramine"
"anorexiants","Tenuate Dospan","generic name: diethylpropion"
"anorexiants","Belviq","generic name: lorcaserin"
"anorexiants","Phentride","generic name: phentermine"
"anorexiants","Bontril Slow Release","generic name: phendimetrazine"
"anorexiants","Didrex","generic name: benzphetamine"
"anorexiants","Lomaira","generic name: phentermine"
"anorexiants","Belviq XR","generic name: lorcaserin"
"anorexiants","Fastin","generic name: phentermine"
"anorexiants","Qsymia","generic name: phentermine/topiramate"
"anorexiants","Bontril PDM","generic name: phendimetrazine"
"anorexiants","Contrave","generic name: bupropion/naltrexone"
"anorexiants","Atti-Plex P","generic name: phentermine"
"anorexiants","Melfiat","generic name: phendimetrazine"
"anorexiants","Obezine","generic name: phendimetrazine"
"anorexiants","Oby-Cap","generic name: phentermine"
"anorexiants","Phendiet-105","generic name: phendimetrazine"
"anorexiants","Tepanil","generic name: diethylpropion"
"antacids","Acid Gone","generic name: aluminum hydroxide/magnesium carbonate"
"antacids","Di-Gel","generic name: aluminum hydroxide/magnesium hydroxide/simethicone"
"antacids","Gaviscon Extra Strength","generic name: aluminum hydroxide/magnesium carbonate"
"antacids","Mylanta","generic name: aluminum hydroxide/magnesium hydroxide/simethicone"
"antacids","Neut","generic name: sodium bicarbonate"
"antacids","Titralac","generic name: calcium carbonate"
"antacids","Phillips' Milk of Magnesia","generic name: magnesium hydroxide"
"antacids","Gelusil","generic name: aluminum hydroxide/magnesium hydroxide/simethicone"
"antacids","Milk of Magnesia","generic name: magnesium hydroxide"
"antacids","Calci-Chew","generic name: calcium carbonate"
"antacids","Caltrate","generic name: calcium carbonate"
"antacids","Tums Regular Strength","generic name: calcium carbonate"
"antacids","Alamag","generic name: aluminum hydroxide/magnesium hydroxide"
"antacids","Tums Smoothies","generic name: calcium carbonate"
"antacids","Alamag Plus","generic name: aluminum hydroxide/magnesium hydroxide/simethicone"
"antacids","Alka-Seltzer Heartburn + Gas","generic name: calcium carbonate/simethicone"
"antacids","Almacone","generic name: aluminum hydroxide/magnesium hydroxide/simethicone"
