['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['3251'],Desmopressin,"Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. "
"['4256', '253149', '314620']",Coagulation factor VIIa Recombinant Human,For treatment of hemorrhagic complications in hemophilia A and B
['139994'],Oprelvekin,Increases reduced platelet levels due to chemotherapy
['196319'],Palifermin,For treatment of oral mucositis associated with chemotherapy and radiation therapy.
"['4832', '261716']",Glucagon recombinant,"For treatment of severe hypoglycemia, also used in gastrointestinal imaging"
['70223'],Aldesleukin,For treatment of adults with metastatic renal cell carcinoma.
['860178'],Botulinum Toxin Type B,For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.
['302379'],Omalizumab,For treatment of asthma caused by allergies
['388084'],Lutropin alfa,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
['54214'],Lyme disease vaccine (recombinant OspA),For prophylactic treatment of Lyme Disease
"['86009', '314684']",Insulin Lispro,For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump.
['274783'],Insulin Glargine,For the treatment of Type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin for the control of hyperglycemia. May be used in pediatric patients with Type 1 diabetes mellitus who require a long-acting (basal) insulin for glycemic control.
"['58939', '898492']",Collagenase clostridium histolyticum,Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.
['283821'],Rasburicase,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)"
['68147'],Cetrorelix,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation
['327361'],Adalimumab,"For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease."
['61148'],Somatotropin,"For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss"
['84959'],Imiglucerase,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
['83929'],Abciximab,Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.
['352374'],Drotrecogin alfa,For reduction of mortality in patients with severe sepsis.
['1294580'],Gemtuzumab ozogamicin,Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory).
"['535', '991743']",Alpha-1-proteinase inhibitor,For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.
['34132'],Pegaspargase,For treatment of acute lymphoblastic leukemia
['75917'],Interferon beta-1a,"For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum"
['59768'],Pegademase bovine,For treatment of adenosine deaminase deficiency
"['828529', '1370439']",Human Serum Albumin,"For treatment of severe blood loss, hypervolemia, and hypoproteinemia."
"['75635', '288688']",Eptifibatide,For treatment of myocardial infarction and acute coronary syndrome.
"['191831', '1790539', '1927283']",Infliximab,"* Indicated for reducing signs and symptoms and inducing and maintaining clinical remission in adult or pediatric (≥ 6 years of age) patients with moderately to severely active **Crohn’s disease** who have had an inadequate response to conventional therapy * Indicated for reducing the number of draining enterocutaneous and rectovaginal fistulas and maintaining fistula closure in adult patients with fistulizing **Crohn’s disease**. * Indicated for reducing signs and symptoms, inducing and maintaining clinical remission and mucosal healing, and eliminating corticosteroid use in adult or pediatric (≥ 6 years of age) patients with moderately to severely active **ulcerative colitis** who have had an inadequate response to conventional therapy. * Indicated for, in combination with methotrexate, reducing signs and symptoms, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active **rheumatoid arthritis**. * Indicated for reducing signs and symptoms in patients with active **ankylosing spondylitis**. * Indicated for reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function in patients with **psoriatic arthritis**. * Indicated for the treatment of adult patients with chronic severe (i.e., extensive and/or disabling) **plaque psoriasis** who are candidates for systemic therapy and when other systemic therapies are medically less appropriate."
"['25357', '227518', '386938']",Follitropin,"In women having been diagnosed with primary ovarian failure, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. In men with hypogonadotrophic hypogonadism, it is used to induce spermatogenesis. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF)."
['11149'],Vasopressin,"For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding"
"['72257', '72258']",Interferon beta-1b,Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.
['59744'],Interferon alfacon-1,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma"
"['5464', '486164']",Hyaluronidase,For increase of absorption and distribution of other injected drugs and for rehydration.
"['221109', '1309342']",Insulin Pork,For the treatment of type I and II diabetes mellitus.
['224905'],Trastuzumab,"For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2."
['121191'],Rituximab,"For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis."
['196102'],Basiliximab,For prophylactic treatment of kidney transplant rejection
['42405'],Muromonab,"For treatment of organ transplant recipients, prevention of organ rejection"
['1745257'],Digoxin Immune Fab (Ovine),For treatment of digitoxin overdose or digitalis glycoside toxicity.
['262323'],Ibritumomab tiuxetan,For treatment of non-Hodgkin's lymphoma
['22299'],Daptomycin,For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.
['263010'],Tositumomab,"For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)"
['278739'],Pegvisomant,Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.
"['1712', '860168', '860189', '1000104']",Botulinum Toxin Type A,"For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating."
"['7880', '235379']",Pancrelipase,"For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa™), chronic pancreatitis (Viokace™ in combination with a proton pump inhibitor), and pancreatectomy (Viokace™ in combination with a proton pump inhibitor)."
['10106'],Streptokinase,"For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae"
['117055'],Alemtuzumab,Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.
['46049'],Alglucerase,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
['136300'],Capromab pendetide,For diagnosis of prostate cancer and detection of intra-pelvic metastases.
['392509'],Laronidase,For the treatment of mucopolysaccharidosis
['3008'],Cyclosporine,"For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. "
['299635'],Alefacept,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis"
['4319'],Felypressin,"For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential."
['134404'],Urofollitropin,For treatment of female infertility
['356988'],Efalizumab,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy."
['283550'],Choriogonadotropin alfa,For the treatment of female infertility
"['107044', '225741']",Antithymocyte immunoglobulin (rabbit),For prevention of renal transplant rejection
"['68442', '1433764', '1605064']",Filgrastim,"Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies."
['1300488'],Coagulation Factor IX (Recombinant),For treatment of hemophilia (Christmas disease).
['115238'],Becaplermin,For topical treatment of skin ulcers (from diabetes)
"['259351', '338817']",Agalsidase beta,For treatment of Fabry's disease (alpha-galactosidase A deficiency)
['7617'],Octreotide,For treatment of acromegaly and reduction of side effects from cancer chemotherapy
['5880'],"Interferon Alfa-2b, Recombinant","For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma."
['301739'],Abarelix,For palliative treatment of advanced prostate cancer.
['7824'],Oxytocin,"Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. "
['354770'],Natalizumab,For treatment of multiple sclerosis.
['139896'],Enfuvirtide,Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.
['194279'],Palivizumab,For prophylaxis of respiratory diseases casued by respiratory syncytial virus.
['190353'],Daclizumab,Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection
['253337'],Bevacizumab,As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.
['230435'],Technetium Tc-99m arcitumomab,For imaging colorectal tumors
"['9004', '1599827']",Pyridoxal Phosphate,For nutritional supplementation and for treating dietary shortage or imbalance.
['11248'],Cyanocobalamin,For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.
['5340'],Histidine,The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.
['9504'],Ademetionine,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being."
['35161'],Pyruvic acid,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['8156'],L-Phenylalanine,L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.
"['1588', '314583']",Biotin,"For nutritional supplementation, also for treating dietary shortage or imbalance."
['2449'],Choline,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['6536'],L-Lysine,Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.
['1091'],L-Arginine,"Used for nutritional supplementation, also for treating dietary shortage or imbalance."
"['1151', '1370460']",Vitamin C,"Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent."
['1483263'],Spermine,"For nutritional supplementation, also for treating dietary shortage or imbalance"
"['1169', '42543']",L-Aspartic Acid,"There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids."
"['7704', '314709']",Ornithine,"Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing."
['4885'],L-Glutamine,"Used for nutritional supplementation, also for treating dietary shortage or imbalance. Used to reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older [FDA Label]."
['309'],Adenosine monophosphate,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['52071'],Alpha-Linolenic Acid,For nutritional supplementation and for treating dietary shortage or imbalance.
['9671'],Serine,Used as a natural moisturizing agent in some cosmetics and skin care products.
['6837'],L-Methionine,"Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate."
['10962'],L-Tyrosine,"Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies."
['1894'],Calcitriol,"Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
['11359'],Lutein,"Xanthophylls are taken for nutritional supplementation, and also for treating dietary shortage or imbalance."
['3036'],Cystine,"It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models."
"['37255', '1307106']",Succinic acid,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['9346'],Riboflavin,For the treatment of ariboflavinosis (vitamin B2 deficiency).
['1362871'],N-Acetylglucosamine,"For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate."
"['25916', '70602']",Glutamic Acid,"Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar."
['4890'],Glutathione,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['89959'],Phosphatidyl serine,"Phosphatidylserine has demonstrated some usefulness in treating cognitive impairment, including Alzheimer's disease, age-associated memory impairment and some non-Alzheimer's dementias. More research is needed before phosphatidylserine can be indicated for immune enhancement or for reduction of exercise stress."
['4919'],Glycine,Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.
"['1889', '1855064']",Calcidiol,"Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
['9002'],Pyridoxal,"Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances."
['2907'],Creatine,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['6308'],L-Leucine,Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress.
['10898'],L-Tryptophan,"Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight."
['3024'],L-Cysteine,For the prevention of liver damage and kidney damage associated with overdoses of acetaminophen
['10454'],Thiamine,"For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis."
['4018'],Ergocalciferol,"For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis)."
['2567'],L-Citrulline,"Used for nutritional supplementation, also for treating dietary shortage or imbalance."
['10524'],L-Threonine,"L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation."
['7222'],NADH,"Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease."
"['4511', '62356', '202634']",Folic Acid,"For treatment of folic acid deficiency, megaloblastic anemia and in anemias of nutritional supplements, pregnancy, infancy, or childhood."
['90'],Icosapent,"EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy."
['426'],L-Alanine,Used for protein synthesis.
['11115'],L-Valine,"Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria."
['1367187'],Vitamin A,For the treatment of vitamin A deficiency.
"['11256', '237099']",Vitamin E,"Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps."
"['42954', '684879']",Pyridoxine,For the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy.
['6417'],Lipoic Acid,"For nutritional supplementation, also for treating dietary shortage or imbalance."
['6033'],L-Isoleucine,The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity.
['1311524'],Aspartame,Used as a diet supplement and sugar substitute.
['2418'],Cholecalciferol,"For the treatment of vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
['6728'],Menadione,"The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification."
['318'],ATP,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['8737'],L-Proline,L-Proline is extremely important for the proper functioning of joints and tendons and also helps maintain and strengthen heart muscles.
['290'],Adenine,"For nutritional supplementation, also for treating dietary shortage or imbalance"
['1157'],L-Asparagine,"Used for nutritional supplementation, also for treating dietary shortage or imbalance."
['42463'],Pravastatin,For the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease.
['42355'],Fluvoxamine,For management of depression and for Obsessive Compulsive Disorder (OCD). Has also been used in the management of bulimia nervosa.
['69749'],Valsartan,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
"['35296', '262418']",Ramipril,"For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy.   "
['227239'],Masoprocol,Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).
"['25120', '1546428']",Flunisolide,For the maintenance treatment of asthma as a prophylactic therapy.
['1292'],Baclofen,"For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity."
['725'],Amphetamine,"For treatment of Attention Deficit Disorder with Hyperactivity (ADDH), narcolepsy, and exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy."
['7993'],Pentagastrin,Used as a diagnostic aid for evaluation of gastric acid secretory function
"['7407', '31765']",Nicotine,For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.
['44281'],Cevimeline,For the treatment of symptoms of dry mouth in patients with Sj&ouml;gren's Syndrome.
['6470'],Lorazepam,"For the management of anxiety disorders, and for treatment of status epilepticus."
['49737'],Esmolol,"For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention."
['358258'],Bortezomib,For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies.
['4118'],Ethchlorvynol,"Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents."
['2019'],Carbidopa,"For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism"
"['8152', '221138']",Phentermine,For the treatment and management of obesity.
['10689'],Tramadol,"Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis."
['11194'],Vidarabine,"For treatment of chickenpox - varicella, herpes zoster and herpes simplex"
['1520'],Betaxolol,For the management of hypertension.
['4450'],Fluconazole,For the treatment of fungal infections.
['72610'],Troglitazone,"For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise."
['260101'],Oseltamivir,Oseltamivir (Tamiflu) is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days. It is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older.
