Id,Names,Indications,Counter-Indications
/drug/id/580,"['Matulane (Sigma-Tau)', 'Natulan']","['Hodgkin\\xe2\\x80\\x99s disease', 'lymphomas']","['Aldesleukin', 'Methotrexate']"
/drug/id/887,"['Alamast (Johnson & Johnson)', 'Alegysal']",['Pruritus of allergic conjunctivitis'],['None known']
/drug/id/2607,['Xalkori (Pfizer)'],['Advanced or metastatic non-small cell lung cancer in ALK-positive patients'],"['Alfentanil', 'Atazanavir', 'Carbamazepine', 'Clarithromycin', 'Cyclosporine', 'CYP3A4 inducers', 'inhibitors or substrates', 'Dihydroergotamine', 'Efavirenz', 'Ergotamine', 'Fentanyl', 'Grapefruit Juice', 'Indinavir', 'Itraconazole', 'Ketoconazole', 'Nefazodone', 'Nelfinavir', 'Neratinib', 'Olaparib', 'Phenobarbital', 'Phenytoin', 'Pimozide', 'Quinidine', 'Rifabutin', 'Rifampin', 'Ritonavir', 'Saquinavir', 'Sirolimus', ""St John\\'s Wort"", 'Tacrolimus', 'Telithromycin', 'Troleandomycin', 'Voriconazole']"
/drug/id/879,"['Alyrane', 'Efrane', 'Ethrane (Baxter)', 'Etrane']",['Maintenance of general anesthesia'],"['Cisatracurium', 'Doxacurium', 'Mivacurium', 'Pancuronium', 'Rapacuronium']"
/drug/id/279,"['Antilak', 'Ecridoxan', 'Edolan', 'Elderin', 'Lodine (Wyeth)', 'Lonine', 'Tedolan', 'Utradol', 'Zedolac']",['Pain'],"['Aspirin', 'Methotrexate']"
/drug/id/281,['Famvir (Novartis)'],"['Acute herpes zoster', 'recurrent genital herpes']",['None known']
/drug/id/553,"['Agoral', 'Alophen', 'Bom-Bon', 'Bonomint', 'Caroid', 'Correctol', 'Darmol', 'Doxidan', 'Easylax', 'Espotabs', 'Evac-U-Gen', 'Ex-Lax (Novartis)', 'Feen-A-Mint', 'Medilax', 'Phenolax', 'Prulet', 'Purganol', 'Ruguletts', 'Trilax']",['Constipation'],['None known']
/drug/id/716,"['Dumozolam', 'Halcion (Pfizer)', 'Novo-Triolam', 'Nu-Triazo', 'Nuctane', 'Somese', 'Somniton', 'Songar', 'Trialam']",['Insomnia'],"['Amprenavir', 'Atazanavir', 'Boceprevir', 'Clarithromycin', 'Darunavir', 'Dasabuvir/Ombitasvir/Paritaprevir/Ritonavir', 'Delavirdine', 'Efavirenz', 'Erythromycin', 'Fosamprenavir', 'Indinavir', 'Itraconazole', 'Ketoconazole', 'Lopinavir', 'Nelfinavir', 'Ombitasvir/Paritaprevir/Ritonavir', 'Paclitaxel', 'Posaconazole', 'Rifampin', 'Ritonavir', 'Telaprevir', 'Telithromycin', 'Tipranavir']"
/drug/id/31,"['Aratac', 'Corbionax', 'Cordarex', 'Cordarone (Wyeth)', 'Cordarone X', 'Pacerone (Upsher-Smith)', 'Tachydaron']","['Ventricular fibrillation', 'ventricular tachycardia']","['Abarelix', 'Acebutolol', 'Acenocoumarol', 'Afatinib', 'Amisulpride', 'Amitriptyline', 'Amprenavir', 'Anisindione', 'Anticoagulants', 'Arsenic', 'Artemether/Lumefantrine', 'Asenapine', 'Astemizole', 'Atazanavir', 'Atorvastatin', 'Azoles', 'Betrixaban', 'Boceprevir', 'Bosentan', 'Carbimazole', 'Celiprolol', 'Cholestyramine', 'Cimetidine', 'Ciprofloxacin', 'Clopidogrel', 'Cobicistat/Elvitegravir/Emtricitabine/Tenofovir Alafenamide', 'Cobicistat/Elvitegravir/Emtricitabine/Tenofovir Disoproxil', 'Colchicine', 'Cyclosporine', 'Dabigatran', 'Daclatasvir', 'Darunavir', 'Degarelix', 'Delavirdine', 'Dextromethorphan', 'Dicumarol', 'Digoxin', 'Diltiazem', 'Disopyramide', 'Dronedarone', 'Droperidol', 'Echinacea', 'Enoxacin', 'Fentanyl', 'Flecainide', 'Fosamprenavir', 'Gatifloxacin', 'Grapefruit Juice', 'Indinavir', 'Ledipasvir & Sofosbuvir', 'Lesinurad', 'Letermovir', 'Levofloxacin', 'Levomepromazine', 'Lidocaine', 'Lomefloxacin', 'Lopinavir', 'Loratadine', 'Macrolide antibiotics', 'Methotrexate', 'Moxifloxacin', 'Naldemedine', 'Nelfinavir', 'Nevirapine', 'Nilotinib', 'Norfloxacin', 'Ofloxacin', 'Orlistat', 'Oxprenolol', 'Pentamidine', 'Phenytoin', 'Pimavanserin', 'Procainamide', 'Propranolol', 'Quinidine', 'Quinine', 'Quinolones', 'Ribociclib', 'Rifabutin', 'Rifampin', 'Rifapentine', 'Ritonavir', 'Ropivacaine', 'Rosuvastatin', 'Simvastatin', 'Sofosbuvir & Velpatasvir', 'Sofosbuvir/Velpatasvir/Voxilaprevir', 'Sotalol', 'Sparfloxacin', ""St John\\'s Wort"", 'Sulpiride', 'Tacrolimus', 'Telaprevir', 'Tetrabenazine', 'Thalidomide', 'Tipranavir', 'Trazodone', 'Vandetanib', 'Venetoclax', 'Verapamil', 'Warfarin', 'Zuclopenthixol']"
/drug/id/505,"['Barazan', 'Chibroxin (Merck)', 'Chibroxine', 'Chibroxol', 'Lexinor', 'Noroxin (Merck)', 'Oranor', 'Utinor', 'Zoroxin']","['Various urinary tract infections caused by susceptible organisms', 'conjunctivitis']","['Aminophylline', 'Amiodarone', 'Antacids', 'Arsenic', 'Artemether/Lumefantrine', 'Bepridil', 'Bretylium', 'Caffeine', 'Ciprofibrate', 'Clozapine', 'Cyclosporine', 'Dairy products', 'Didanosine', 'Disopyramide', 'Erythromycin', 'Glyburide', 'Lanthanum', 'Mycophenolate', 'Nitrofurantoin', 'NSAIDs', 'Oral iron', 'Oral typhoid vaccine', 'Oxtriphylline', 'Phenothiazines', 'Probenecid', 'Procainamide', 'Quinidine', 'Ropinirole', 'Sotalol', 'Strontium Ranelate', 'Sucralfate', 'Tacrine', 'Tamoxifen', 'Tizanidine', 'Tricyclic antidepressants', 'Warfarin', 'Zinc', 'Zolmitriptan']"
/drug/id/1055,"['Apokyn (Ipsen)', 'Uprima (AbbVie)']","['Parkinsonism', 'erectile dysfunction']","['5HT3 antagonists', 'Alcohol', 'Alosetron', 'Antihypertensives', 'Dolasetron', 'Granisetron', 'Levomepromazine', 'Ondansetron', 'Palonosetron', 'Risperidone', 'Vasodilators', 'Zuclopenthixol']"
/drug/id/4077,['Cotellic (Genentech)'],"['Melanoma (unresectable or metastatic) in patients with BRAF V600E or V600K mutations', 'in combination with vemurafenib']","['Carbamazepine', 'Efavirenz', 'Itraconazole', 'Phenytoin', 'Rifampin', ""St John\\'s Wort"", 'Strong or moderate CYP3A4 inducers or inhibitors']"
/drug/id/1481,"['Saxenda (Novo Nordisk)', 'Victoza (Novo Nordisk)', 'Xultophy (Novo Nordisk)']",['To improve glycemic control in adults with Type II diabetes mellitus (Victoza); adjunct to diet and exercise for chronic weight management (Saxenda)'],"['Acetaminophen', 'Atorvastatin', 'Digoxin', 'Griseofulvin', 'Lisinopril', 'Warfarin']"
/drug/id/743,"['Acaren', 'Acon', 'Afaxin', 'Aquasol A (aaiPharma)', 'Arovit', 'Avipur', 'Avitin', 'Axerol', 'Dolce', 'Palmitate A', 'Vogan']",['Vitamin A deficiency'],"['Acitretin', 'Alitretinoin', 'Bexarotene', 'Cholestyramine', 'Fish oil supplements', 'Isotretinoin', 'Minocycline', 'Orlistat', 'Prednisone', 'Tetracycline', 'Warfarin']"
/drug/id/2475,"['Glyxambi (Boehringer Ingelheim)', 'Tradjenta (Boehringer Ingelheim)']",['Type II diabetes mellitus'],"['Efavirenz', 'Rifampin']"
/drug/id/734,"['Actigall (Watson)', 'Adursall', 'Arsacol', 'Biliepar', 'Cholacid', 'Cholit-Ursan', 'Cholofalk', 'Coledos', 'Delursan', 'Desocol', 'Desoxil', 'Destolit (Norgine)', 'Deurcil', 'Dexo', 'Estazor', 'Fraurs', 'Galmax', 'Lentorsil', 'Litanin', 'Litocure', 'Litoff', 'Litursol', 'Lyeton', 'Peptaron', 'Solutrat', 'UDC', 'UDC Hexal', 'Urdox (Wockhardt)', 'Urso 250 (Aptalis)', 'Urso Forte (Aptalis)', 'Urso Heumann', 'Urso Vinas', 'Ursochol', 'Ursofal', 'Ursofalk', 'Ursoflor', 'Ursogal (Galen)', 'Ursolac', 'Ursolism', 'Ursolvan', 'Urson', 'Ursoproge', 'Ursosan', 'Ursotan', 'USCA']",['The dissolution of radiolucent (i.e. non-radio opaque) cholesterol gallstones in patients with a functioning gallbladder; primary biliary cirrhosis; biliary calculus; cholelithiasis'],"['Aluminum based antacids', 'Aluminum hydroxide', 'Charcoal', 'Cholestyramine', 'Clofibrate', 'Colestimide', 'Colestipol', 'Cyclosporine', 'Dapsone', 'Estradiol', 'Estrogens', 'Nitrendipine', 'Oral Contraceptives', 'P4503A substrates']"
/drug/id/3165,['Juxtapid (Aegerion)'],['Homozygous familial hypercholesterolemia'],"['Bile acid sequestrants', 'Boceprevir', 'Clarithromycin', 'Conivaptan', 'Grapefruit Juice', 'Indinavir', 'Itraconazole', 'Ketoconazole', 'Lopinavir', 'Lovastatin', 'Mibefradil', 'Nefazodone', 'Nelfinavir', 'Oral Contraceptives', 'P-glycoprotein substrates', 'Posaconazole', 'Ritonavir', 'Saquinavir', 'Simvastatin', 'Strong or moderate CYP3A4 inhibitors', 'Telaprevir', 'Telithromycin', 'Voriconazole', 'Warfarin']"
/drug/id/1312,"['Bifril (Menarini)', 'Zantipres (Menarini)', 'Zofenil  (Menarini)', 'Zofepril (Menarini)', 'Zofil (Menarini)', 'Zopranol (Menarini)']","['Hypertension', 'myocardial infarction']","['Allopurinol', 'Amiloride', 'Cimetidine', 'corticosteroids', 'Cyclosporine', 'Insulin', 'Lithium', 'potassium sparing diuretics', 'potassium supplements', 'Procainamide', 'Spironolactone', 'Triamterene']"
/drug/id/3135,['Signifor (Novartis)'],"[""Cushing's disease""]","['Antiarrhythmics', 'Bromocriptine', 'Cyclosporine', 'Drugs prolonging the QT interval']"
/drug/id/144,"['AL-R', 'Aller-Chlor', 'Chlo-Amine', 'Chlor-Pro', 'Chlor-Trimeton (Schering)', 'Chlor-Tripolon', 'Chlorate', 'Ornade', 'Phenetron', 'Telachlor', 'Teldrin', 'Triaminic (Novartis)']","['Allergic rhinitis', 'urticaria']","['Alcohol', 'Anticholinergics', 'Barbiturates', 'Benzodiazepines', 'Butabarbital', 'Chloral Hydrate', 'Chlordiazepoxide', 'Chlorpromazine', 'Clonazepam', 'Clorazepate', 'Diazepam', 'Ethchlorvynol', 'Fluphenazine', 'Flurazepam', 'Hypnotics', 'Lopinavir', 'Lorazepam', 'MAO inhibitors', 'Mephobarbital', 'Mesoridazine', 'Midazolam', 'Narcotics', 'Oxazepam', 'Pentobarbital', 'Phenobarbital', 'Phenothiazines', 'Phenylbutazone', 'Primidone', 'Prochlorperazine', 'Promethazine', 'Quazepam', 'Secobarbital', 'Sedatives', 'Temazepam', 'Thioridazine', 'Tranquilizers', 'Trifluoperazine', 'Zolpidem']"
/drug/id/539,"['NebuPent (Astellas)', 'Pentacarinat (Sanofi-Aventis)', 'Pentam 300 (Astellas)']","['Pneumocystis jiroveci', ' infection', 'trypanosomiasis', 'leishmaniasis']","['Adefovir', 'Aminoglycosides', 'Amiodarone', 'Amisulpride', 'Amitriptyline', 'Amphotericin B', 'Cisplatin', 'Droperidol', 'Erythromycin', 'Foscarnet', 'Insulin Aspart', 'Insulin Degludec', 'Insulin Detemir', 'Insulin Glargine', 'Insulin Glulisine', 'Ivabradine', 'Levomepromazine', 'Moxifloxacin', 'Phenothiazines', 'Saquinavir', 'Sparfloxacin', 'Sulpiride', 'Tricyclic antidepressants', 'Trifluoperazine', 'Vancomycin']"
/drug/id/92,"['Biforal', 'Busphen', 'Stadol (Bristol-Myers Squibb)', 'Stadol NS']","['Pain', 'migraine']","['Cimetidine', 'Hydrocodone', 'Hydromorphone', 'Oxymorphone', 'Tapentadol']"
/drug/id/1265,"['Cardipril', 'Novarok', 'Tanatril']",['Hypertension'],"['Allopurinol', 'Azathioprine', 'Procainamide']"
/drug/id/1429,['Arzerra (Novartis)'],['Chronic lymphocytic leukemia'],['Live vaccines']
/drug/id/437,['Skelaxin (Elan)'],['Muscle spasm'],"['Alcohol', 'Barbiturates', 'Conivaptan', 'Droperidol', 'Interferon Alfa', 'Levomepromazine', ""St John\\'s Wort"", 'Tricyclic antidepressants']"
/drug/id/3577,['Kerydin'],['Onychomycosis'],['None known']
/drug/id/671,"['Apo-Tamox', 'Bilim', 'Istubol', 'Kessar', 'Mamofen', 'Nolvadex (AstraZeneca)', 'Novofen', 'Tamaxin', 'Tamofen', 'Tamoxan', 'Taxus', 'Valodex']",['Advanced breast cancer'],"['Anastrozole', 'Bexarotene', 'Cinacalcet', 'Delavirdine', 'Droperidol', 'Duloxetine', 'Gadobenate', 'Paroxetine Hydrochloride', 'Rifapentine', 'Terbinafine', 'Tipranavir']"
/drug/id/620,"['Abrifam', 'Corifam', 'Ramicin', 'Rifadin (Sanofi-Aventis)', 'Rifaldin', 'Rifamed', 'Rimactane (Novartis)', 'Rimpin', 'Rimycin', 'Rofact']",['Tuberculosis'],"['Abacavir', 'Abiraterone', 'Acalabrutinib', 'Afatinib', 'Amiodarone', 'Amprenavir', 'Anisindione', 'Antacids', 'Anticoagulants', 'Apixaban', 'Apremilast', 'Aprepitant', 'Artemether/Lumefantrine', 'Atazanavir', 'Atorvastatin', 'Atovaquone', 'Atovaquone/Proguanil', 'Beclomethasone', 'Bedaquiline', 'Betamethasone', 'Bictegravir/Emtricitabine/Tenofovir Alafenamide', 'Bisoprolol', 'Boceprevir', 'Bosentan', 'Brentuximab Vedotin', 'Brigatinib', 'Brivaracetam', 'Buprenorphine', 'Cabazitaxel', 'Cabozantinib', 'Canagliflozin', 'Caspofungin', 'Ceritinib', 'Clobazam', 'Clozapine', 'Cobimetinib', 'Copanlisib', 'Corticosteroids', 'Cortisone', 'Crizotinib', 'Cyclosporine', 'Cyproterone', 'Dabigatran', 'Daclatasvir', 'Dapsone', 'Darunavir', 'Dasabuvir/Ombitasvir/Paritaprevir/Ritonavir', 'Dasatinib', 'Deferasirox', 'Deflazacort', 'Delavirdine', 'Dexamethasone', 'Diclofenac', 'Dicumarol', 'Digoxin', 'Doxycycline', 'Dronedarone', 'Edoxaban', 'Efavirenz', 'Elbasvir & Grazoprevir', 'Eliglustat', 'Eluxadoline', 'Emtricitabine/Rilpivirine/Tenofovir Alafenamide', 'Enzalutamide', 'Estradiol', 'Eszopiclone', 'Etoricoxib', 'Etravirine', 'Everolimus', 'Fesoterodine', 'Flibanserin', 'Fludrocortisone', 'Flunisolide', 'Fosamprenavir', 'Gadoxetate', 'Gefitinib', 'Gestrinone', 'Glecaprevir & Pibrentasvir', 'Halothane', 'Hydrocortisone', 'Ibrutinib', 'Idelalisib', 'Imatinib', 'Indinavir', 'Isavuconazonium Sulfate', 'Isoniazid', 'Itraconazole', 'Ixabepilone', 'Ixazomib', 'Ketoconazole', 'Lapatinib', 'Ledipasvir & Sofosbuvir', 'Leflunomide', 'Lesinurad', 'Letermovir', 'Levodopa', 'Levonorgestrel', 'Linagliptin', 'Linezolid', 'Lopinavir', 'Lorcainide ', 'Losartan', 'Lumacaftor/Ivacaftor', 'Lurasidone', 'Macitentan', 'Maraviroc', 'Methylprednisolone', 'Midazolam', 'Midostaurin', 'Mifepristone', 'Naldemedine', 'Nelfinavir', 'Neratinib', 'Netupitant & Palonosetron', 'Nevirapine', 'Nifedipine', 'Nilotinib', 'Olaparib', 'Ombitasvir/Paritaprevir/Ritonavir', 'Ondansetron', 'Oral Contraceptives', 'Osimertinib', 'Ospemifene', 'Oxtriphylline', 'Paclitaxel', 'Palbociclib', 'Pazopanib', 'Perampanel', 'Phenylbutazone', 'Pimavanserin', 'Pioglitazone', 'Pitavastatin', 'Pomalidomide', 'Ponatinib', 'Praziquantel', 'Prednisolone', 'Prednisone', 'Propranolol', 'Propyphenazone', 'Protease inhibitors', 'Pyrazinamide', 'Quinine', 'Raltegravir', 'Ramelteon', 'Ranolazine', 'Regorafenib', 'Ribociclib', 'Rilpivirine', 'Riociguat', 'Ritonavir', 'Rivaroxaban', 'Roflumilast', 'Romidepsin', 'Rosiglitazone', 'Saquinavir', 'Simeprevir', 'Simvastatin', 'Sofosbuvir', 'Sofosbuvir & Velpatasvir', 'Sofosbuvir/Velpatasvir/Voxilaprevir', 'Solifenacin', 'Sonidegib', 'Sorafenib', 'Sunitinib', 'Tacrolimus', 'Tadalafil', 'Tasimelteon', 'Telaprevir', 'Telithromycin', 'Temsirolimus', 'Tenofovir Alafenamide', 'Terbinafine', 'Tezacaftor/Ivacaftor', 'Thalidomide', 'Ticagrelor', 'Tipranavir', 'Tofacitinib', 'Tolvaptan', 'Trabectedin', 'Treprostinil', 'Triamcinolone', 'Triazolam', 'Trimethoprim', 'Troleandomycin', 'Ulipristal', 'Valbenazine', 'Vandetanib', 'Vemurafenib', 'Venetoclax', 'Vorapaxar', 'Voriconazole', 'Vortioxetine', 'Warfarin', 'Zaleplon', 'Zidovudine', 'Zolpidem']"
/drug/id/1340,['Meptid (Wyeth)'],['Pain'],"['Antipsychotics', 'Anxiolytics', 'Cimetidine', 'Ciprofloxacin', 'Domperidone', 'Hypnotics', 'MAO inhibitors', 'Metoclopramide', 'Ritonavir', 'Tricyclic Antidepressants']"
/drug/id/1209,"['Calamine', 'Cold-Eeze (The Quigley Corp)', 'Galzin', 'Zicam']",['Supplement to intravenous solutions given for total parenteral nutrition (TPN)'],"['Chlorothiazide', 'Chlortetracycline', 'Chlorthalidone', 'Ciprofloxacin', 'Cisplatin', 'Deferoxamine', 'Demeclocycline', 'Doxycycline', 'Eltrombopag', 'Ethambutol', 'Ferrous Sulfate', 'Gatifloxacin', 'Gemifloxacin', 'Hydrochlorothiazide', 'Indapamide', 'Levofloxacin', 'Lymecycline', 'metolozone', 'Minocycline', 'Moxifloxacin', 'Norfloxacin', 'Ofloxacin', 'Oxytetracycline', 'Propofol', 'Tetracycline', 'Valproic Acid']"
/drug/id/1281,"['Deniban (Sanofi-Aventis)', 'Solian (Sanofi-Aventis)']","['Psychoses', 'schizophrenia']","['Amiodarone', 'Bepridil', 'Cisapride', 'Disopyramide', 'Droperidol', 'Erythromycin', 'Flecainide', 'Levodopa', 'Pentamidine', 'Procainamide', 'Quinidine', 'Sotalol', 'Sparfloxacin', 'Terfenadine', 'Thioridazine']"
/drug/id/1037,['Sabril (Lundbeck)'],"[""Epilepsy; infantile spasms (West\\'s syndrome)""]","['Antipsychotics', 'Chloroquine', 'Hydroxychloroquine', 'MAO inhibitors', 'Mefloquine', 'Orlistat', 'Phenytoin', 'Rufinamide', 'SSRIs', ""St John\\'s Wort"", 'Tricyclic antidepressants']"
/drug/id/3817,['Opdivo (Bristol-Myers Squibb)'],"['Metastatic squamous non-small cell lung cancer with progression on or after platinum-based chemotherapy; unresectable or metastatic melanoma and disease progression following ipilimumab and', 'if BRAF V600 mutation positive', 'a BRAF inhibitor; advanced renal cell carcinoma with prior anti-angiogenic therapy; Hodgkin lymphoma that has relapsed or progressed after autologous hematopoietic stem cell transplantation and post-transplantation brentuximab vedotin']",['None known']
/drug/id/207,"['Adderall (Shire)', 'Dexamphetamine', 'Dexamphetamini', 'Dexedrine (Alliant)', 'Dextrostat', 'Ferndex', 'Mydayis (Shire)', 'Oxydess']","['Narcolepsy', 'attention deficit disorder (ADD)']","['Fluoxetine', 'Fluvoxamine', 'MAO inhibitors', 'Paroxetine Hydrochloride', 'Phenelzine', 'Sertraline', 'Tranylcypromine']"
/drug/id/215,"['Antispaz', 'Bemote', 'Bentyl (Aptalis)', 'Bentylol', 'Byclomine', 'Di-Spaz', 'Dibent', 'Formulex', 'Lomine', 'Merbentyl', 'Neoquess', 'Notensyl', 'OrTyl', 'Panakiron', 'Spasmoban', 'Spasmoject', 'Swityl']",['Irritable bowel syndrome'],"['Antacids', 'Anticholinergics', 'Antiglaucoma agents', 'Arbutamine']"
/drug/id/852,['Natrecor (Scios)'],['Acutely decompensated congestive heart failure'],['Hypotensives']
/drug/id/4822,['Verzenio (Lilly)'],"['Hormone receptor-positive', 'human epidermal growth factor 2-negative advanced or metastatic breast cancer', 'either as monotherapy or in combination with fulvestrant; or as inital endocrine-based therapy with an aromatase inhibitor']","['Grapefruit Juice', 'Ketoconazole', 'Strong CYP3A4 inducers or inhibitors']"
/drug/id/442,['Methazolamide'],['Glaucoma'],['None known']
/drug/id/1196,['Vectibix (Amgen)'],['Metastatic colorectal carcinoma progression'],['None known']
/drug/id/140,['Trancopal'],['Anxiety'],['None known']
/drug/id/1011,['Plenaxis (Praecis)'],['Prostate cancer (advanced)'],"['Amiodarone', 'Procainamide', 'Quinidine', 'Sotalol']"
/drug/id/1303,"['Cervene', 'Revex (Baxter)']","['Reversal of opioid depression.  Also used for alcohol dependence', 'impulse control disorders such as pathological gambling', 'pruritus of cholestasis.']",['Flumazenil']
/drug/id/663,"['Bactrim (Women First)', 'Septra (Monarch)', 'Sinomin', 'Urobak']",['Various infections caused by susceptible organisms'],"['Anticoagulants', 'Azathioprine', 'Cyclosporine', 'Methotrexate', 'Pralatrexate', 'Probenecid', 'Warfarin']"
/drug/id/244,"['Alfadil', 'Cardoxan', 'Cardular', 'Cardura (Pfizer)', 'Dedralen', 'Diblocin', 'Supressin']",['Hypertension'],"['Tadalafil', 'Vardenafil', 'Zuclopenthixol']"
/drug/id/2527,['Nulojix (Bristol-Myers Squibb)'],['Prophylaxis of organ rejection in kidney transplantation'],"['Live vaccines', 'Mycophenolate']"
/drug/id/411,"['Alavert (Wyeth)', 'Civeran', 'Claratyne', 'Claritin (Schering)', 'Claritin-D (Schering)', 'Claritine', 'Lisino', 'Lorastine', 'Velodan', 'Zeos']","['Allergic rhinitis', 'urticaria']",['Amiodarone']
/drug/id/1309,['Ozex (Toyama)'],"['Respiratory tract infections', 'urinary tract infections', 'purulent otitis media']","['Aluminum hydroxide gel', 'Calcium containing preparations', 'Iron preparations', 'Magnesium preparations', 'NSAIDs']"
/drug/id/704,['Tasmar (Roche)'],['Parkinsonism'],['None known']
/drug/id/1134,['Revlimid (Celgene)'],"['Transfusion-dependent anemia due to myeloplastic syndromes', 'multiple myeloma (in combination with dexamethasone)']","['Abatacept', 'Anakinra', 'Canakinumab', 'Certolizumab', 'Denosumab', 'Dexamethasone', 'Digoxin', 'Erythropoietin stimulating agents', 'Estrogen containing therapies', 'Leflunomide', 'Natalizumab', 'Pimecrolimus', 'Rilonacept', 'Sipuleucel-T', 'Tacrolimus', 'Trastuzumab', 'Vaccines']"
/drug/id/819,['Rescula (Novartis)'],['Open-angle glaucoma'],['None known']
/drug/id/622,['Rilutek (Sanofi-Aventis)'],['Amyotrophic lateral sclerosis'],['None known']
/drug/id/717,"['Anatran', 'Aquacot', 'Carvacron', 'Diurese', 'Doqua', 'Esmarin', 'Flute', 'Iopran', 'Naqua', 'Niazide', 'Trichlon', 'Trichlorex']","['Edema', 'hypertension']","['Digoxin', 'Lithium']"
/drug/id/516,"['Alli (GSK)', 'Xenical (Roche)']","['Obesity', 'weight reduction']","['Acarbose', 'Amiodarone', 'Antiepileptics', 'Coumarins', 'Cyclosporine', 'Ergocalciferol', 'Ethosuximide', 'Lacosamide', 'Levothyroxine', 'Oxcarbazepine', 'Paricalcitol', 'Phytonadione', 'Tiagabine', 'Vigabatrin', 'Vitamin A', 'Vitamin E', 'Warfarin']"
/drug/id/1290,"['Corlanor (Amgen)', 'Procoralan (Servier)']",['Chronic stable angina pectoris'],"['Azole antifungals', 'Clarithromycin', 'CYP3A4 inducers', 'Diltiazem', 'Grapefruit Juice', 'Itraconazole', 'Ketoconazole', 'Macrolide antibiotics', 'Nefazodone', 'Nelfinavir', 'Pentamidine', 'Phenytoin', 'Rifampin', 'Ritonavir', 'Sotalol', ""St John\\'s Wort"", 'Strong or moderate CYP3A4 inhibitors', 'Telithromycin', 'Verapamil']"
/drug/id/417,,"['Nausea and vomiting', 'substance abuse drug']",['Atazanavir']
/drug/id/644,['Meridia (AbbVie)'],['Obesity'],"['Amitriptyline', 'Citalopram', 'Desvenlafaxine', 'Dextromethorphan', 'Dihydroergotamine', 'Duloxetine', 'Ephedra', 'Ergot', 'Fluoxetine', 'Fluvoxamine', 'Isocarboxazid', 'Linezolid', 'Lithium', 'MAO inhibitors', 'Meperidine', 'Methysergide', 'Milnacipran', 'Naratriptan', 'Nefazodone', 'Paroxetine Hydrochloride', 'Phenelzine', 'Rizatriptan', 'Sertraline', 'Sumatriptan', 'Tapentadol', 'Tranylcypromine', 'Tryptophan', 'Venlafaxine', 'Verapamil', 'Zolmitriptan', 'Zuclopenthixol']"
/drug/id/116,"['Cefobid (Pfizer)', 'Cefobis', 'Cefogram', 'Cefozone', 'CPZ', 'Mediper', 'Tomabef', 'Zoncef']",['Various infections caused by susceptible organisms'],['None known']
/drug/id/957,['Abreva (GSK)'],['Herpes simplex (labialis)'],['None known']
